parameter_set,model_type,condition,keyword,variable_key
Chen2020,DFN,DC03,stoichiometry,Average negative particle stoichiometry
Chen2020,DFN,DC03,stoichiometry,Average positive particle stoichiometry
Chen2020,DFN,DC03,stoichiometry,Maximum negative particle stoichiometry
Chen2020,DFN,DC03,stoichiometry,Maximum negative particle surface stoichiometry
Chen2020,DFN,DC03,stoichiometry,Maximum positive particle stoichiometry
Chen2020,DFN,DC03,stoichiometry,Maximum positive particle surface stoichiometry
Chen2020,DFN,DC03,stoichiometry,Minimum negative particle stoichiometry
Chen2020,DFN,DC03,stoichiometry,Minimum negative particle surface stoichiometry
Chen2020,DFN,DC03,stoichiometry,Minimum positive particle stoichiometry
Chen2020,DFN,DC03,stoichiometry,Minimum positive particle surface stoichiometry
Chen2020,DFN,DC03,stoichiometry,Negative electrode stoichiometry
Chen2020,DFN,DC03,stoichiometry,Negative particle stoichiometry
Chen2020,DFN,DC03,stoichiometry,Negative particle surface stoichiometry
Chen2020,DFN,DC03,stoichiometry,Positive electrode stoichiometry
Chen2020,DFN,DC03,stoichiometry,Positive particle stoichiometry
Chen2020,DFN,DC03,stoichiometry,Positive particle surface stoichiometry
Chen2020,DFN,DC03,stoichiometry,R-averaged negative particle stoichiometry
Chen2020,DFN,DC03,stoichiometry,R-averaged positive particle stoichiometry
Chen2020,DFN,DC03,stoichiometry,X-averaged negative particle stoichiometry
Chen2020,DFN,DC03,stoichiometry,X-averaged negative particle surface stoichiometry
Chen2020,DFN,DC03,stoichiometry,X-averaged positive particle stoichiometry
Chen2020,DFN,DC03,stoichiometry,X-averaged positive particle surface stoichiometry
Chen2020,DFN,DC03,particle concentration,Average negative particle concentration
Chen2020,DFN,DC03,particle concentration,Average negative particle concentration [mol.m-3]
Chen2020,DFN,DC03,particle concentration,Average positive particle concentration
Chen2020,DFN,DC03,particle concentration,Average positive particle concentration [mol.m-3]
Chen2020,DFN,DC03,particle concentration,Battery negative particle concentration overpotential [V]
Chen2020,DFN,DC03,particle concentration,Battery particle concentration overpotential [V]
Chen2020,DFN,DC03,particle concentration,Battery positive particle concentration overpotential [V]
Chen2020,DFN,DC03,particle concentration,Maximum negative particle concentration
Chen2020,DFN,DC03,particle concentration,Maximum negative particle concentration [mol.m-3]
Chen2020,DFN,DC03,particle concentration,Maximum positive particle concentration
Chen2020,DFN,DC03,particle concentration,Maximum positive particle concentration [mol.m-3]
Chen2020,DFN,DC03,particle concentration,Minimum negative particle concentration
Chen2020,DFN,DC03,particle concentration,Minimum negative particle concentration [mol.m-3]
Chen2020,DFN,DC03,particle concentration,Minimum positive particle concentration
Chen2020,DFN,DC03,particle concentration,Minimum positive particle concentration [mol.m-3]
Chen2020,DFN,DC03,particle concentration,Negative particle concentration
Chen2020,DFN,DC03,particle concentration,Negative particle concentration [mol.m-3]
Chen2020,DFN,DC03,particle concentration,Negative particle concentration overpotential [V]
Chen2020,DFN,DC03,particle concentration,Particle concentration overpotential [V]
Chen2020,DFN,DC03,particle concentration,Positive particle concentration
Chen2020,DFN,DC03,particle concentration,Positive particle concentration [mol.m-3]
Chen2020,DFN,DC03,particle concentration,Positive particle concentration overpotential [V]
Chen2020,DFN,DC03,particle concentration,R-averaged negative particle concentration
Chen2020,DFN,DC03,particle concentration,R-averaged negative particle concentration [mol.m-3]
Chen2020,DFN,DC03,particle concentration,R-averaged positive particle concentration
Chen2020,DFN,DC03,particle concentration,R-averaged positive particle concentration [mol.m-3]
Chen2020,DFN,DC03,particle concentration,X-averaged negative particle concentration
Chen2020,DFN,DC03,particle concentration,X-averaged negative particle concentration [mol.m-3]
Chen2020,DFN,DC03,particle concentration,X-averaged positive particle concentration
Chen2020,DFN,DC03,particle concentration,X-averaged positive particle concentration [mol.m-3]
Chen2020,DFN,DC03,surface concentration,Maximum negative particle surface concentration
Chen2020,DFN,DC03,surface concentration,Maximum negative particle surface concentration [mol.m-3]
Chen2020,DFN,DC03,surface concentration,Maximum positive particle surface concentration
Chen2020,DFN,DC03,surface concentration,Maximum positive particle surface concentration [mol.m-3]
Chen2020,DFN,DC03,surface concentration,Minimum negative particle Minimum negative particle surface concentration [mol.m-3]
Chen2020,DFN,DC03,surface concentration,Minimum negative particle surface concentration
Chen2020,DFN,DC03,surface concentration,Minimum positive particle Minimum positive particle surface concentration [mol.m-3]
Chen2020,DFN,DC03,surface concentration,Minimum positive particle surface concentration
Chen2020,DFN,DC03,surface concentration,Negative particle surface concentration
Chen2020,DFN,DC03,surface concentration,Negative particle surface concentration [mol.m-3]
Chen2020,DFN,DC03,surface concentration,Positive particle surface concentration
Chen2020,DFN,DC03,surface concentration,Positive particle surface concentration [mol.m-3]
Chen2020,DFN,DC03,surface concentration,X-averaged negative particle surface concentration
Chen2020,DFN,DC03,surface concentration,X-averaged negative particle surface concentration [mol.m-3]
Chen2020,DFN,DC03,surface concentration,X-averaged positive particle surface concentration
Chen2020,DFN,DC03,surface concentration,X-averaged positive particle surface concentration [mol.m-3]
Chen2020,DFN,DC03,electrolyte concentration,Electrolyte concentration [Molar]
Chen2020,DFN,DC03,electrolyte concentration,Electrolyte concentration [mol.m-3]
Chen2020,DFN,DC03,electrolyte concentration,Electrolyte concentration concatenation [mol.m-3]
Chen2020,DFN,DC03,electrolyte concentration,Negative electrolyte concentration [Molar]
Chen2020,DFN,DC03,electrolyte concentration,Negative electrolyte concentration [mol.m-3]
Chen2020,DFN,DC03,electrolyte concentration,Positive electrolyte concentration [Molar]
Chen2020,DFN,DC03,electrolyte concentration,Positive electrolyte concentration [mol.m-3]
Chen2020,DFN,DC03,electrolyte concentration,Separator electrolyte concentration [Molar]
Chen2020,DFN,DC03,electrolyte concentration,Separator electrolyte concentration [mol.m-3]
Chen2020,DFN,DC03,electrolyte concentration,X-averaged electrolyte concentration [Molar]
Chen2020,DFN,DC03,electrolyte concentration,X-averaged electrolyte concentration [mol.m-3]
Chen2020,DFN,DC03,electrolyte concentration,X-averaged negative electrolyte concentration [Molar]
Chen2020,DFN,DC03,electrolyte concentration,X-averaged negative electrolyte concentration [mol.m-3]
Chen2020,DFN,DC03,electrolyte concentration,X-averaged positive electrolyte concentration [Molar]
Chen2020,DFN,DC03,electrolyte concentration,X-averaged positive electrolyte concentration [mol.m-3]
Chen2020,DFN,DC03,electrolyte concentration,X-averaged separator electrolyte concentration [Molar]
Chen2020,DFN,DC03,electrolyte concentration,X-averaged separator electrolyte concentration [mol.m-3]
Chen2020,DFN,DC03,overpotential,Battery negative particle concentration overpotential [V]
Chen2020,DFN,DC03,overpotential,Battery particle concentration overpotential [V]
Chen2020,DFN,DC03,overpotential,Battery positive particle concentration overpotential [V]
Chen2020,DFN,DC03,overpotential,Contact overpotential [V]
Chen2020,DFN,DC03,overpotential,Negative electrode SEI film overpotential [V]
Chen2020,DFN,DC03,overpotential,Negative electrode lithium plating reaction overpotential [V]
Chen2020,DFN,DC03,overpotential,Negative electrode reaction overpotential [V]
Chen2020,DFN,DC03,overpotential,Negative particle concentration overpotential [V]
Chen2020,DFN,DC03,overpotential,Particle concentration overpotential [V]
Chen2020,DFN,DC03,overpotential,Positive electrode SEI film overpotential [V]
Chen2020,DFN,DC03,overpotential,Positive electrode lithium plating reaction overpotential [V]
Chen2020,DFN,DC03,overpotential,Positive electrode reaction overpotential [V]
Chen2020,DFN,DC03,overpotential,Positive particle concentration overpotential [V]
Chen2020,DFN,DC03,overpotential,X-averaged SEI film overpotential [V]
Chen2020,DFN,DC03,overpotential,X-averaged battery concentration overpotential [V]
Chen2020,DFN,DC03,overpotential,X-averaged battery negative reaction overpotential [V]
