condition,protocol_type,dc_c,ac_c,peak_c,tau_factor_set,Q_Ah,t_q_s,U_NE_min_mV,I_charge_A,V_terminal_V,margin_class_at_Q
Chen2020_DFN_amp_DC03,DC,0.3,0.0,0.3,,0.2,479.9999999999992,314.6922874093739,1.5,3.3608002326152184,safe_margin
Chen2020_DFN_amp_DC03,DC,0.3,0.0,0.3,,0.23285095504712852,558.8422921131074,296.3743658036935,1.5,3.3826079903171014,safe_margin
Chen2020_DFN_amp_DC03,DC,0.3,0.0,0.3,,0.26570191009425703,637.6845842262156,277.93799809062074,1.5,3.404432595996411,safe_margin
Chen2020_DFN_amp_DC03,DC,0.3,0.0,0.3,,0.29855286514138557,716.5268763393238,259.9427460226698,1.5,3.425738672001215,safe_margin
Chen2020_DFN_amp_DC03,DC,0.3,0.0,0.3,,0.33140382018851405,795.3691684524325,243.0594449138618,1.5,3.4458734601649583,safe_margin
Chen2020_DFN_amp_DC03,DC,0.3,0.0,0.3,,0.36425477523564254,874.2114605655402,227.88575199211175,1.5,3.4642527733547133,safe_margin
Chen2020_DFN_amp_DC03,DC,0.3,0.0,0.3,,0.3971057302827711,953.0537526786494,214.80753341987145,1.5,3.4805010604235394,safe_margin
Chen2020_DFN_amp_DC03,DC,0.3,0.0,0.3,,0.4299566853298996,1031.896044791758,203.947588885172,1.5,3.4945034615586454,safe_margin
Chen2020_DFN_amp_DC03,DC,0.3,0.0,0.3,,0.4628076403770281,1110.7383369048662,195.20054815808095,1.5,3.506371553424912,safe_margin
Chen2020_DFN_amp_DC03,DC,0.3,0.0,0.3,,0.49565859542415663,1189.5806290179742,188.311174814845,1.5,3.5163654473819848,safe_margin
Chen2020_DFN_amp_DC03,DC,0.3,0.0,0.3,,0.5285095504712851,1268.4229211310821,182.9549134651702,1.5,3.52481357325983,safe_margin
Chen2020_DFN_amp_DC03,DC,0.3,0.0,0.3,,0.5613605055184137,1347.2652132441915,178.80064878300328,1.5,3.532050098660265,safe_margin
Chen2020_DFN_amp_DC03,DC,0.3,0.0,0.3,,0.5942114605655422,1426.1075053573,175.5458598236103,1.5,3.538380111971356,safe_margin
Chen2020_DFN_amp_DC03,DC,0.3,0.0,0.3,,0.6270624156126707,1504.9497974704093,172.93304130273236,1.5,3.5440631982940882,safe_margin
Chen2020_DFN_amp_DC03,DC,0.3,0.0,0.3,,0.6599133706597992,1583.792089583518,170.75208053578137,1.5,3.549311234220897,safe_margin
