condition,protocol_type,tau_factor_set,Q_Ah,Q_frac_of_common_hi,t_q_s,U_NE_min_V,U_NE_separator_V,U_NE_xavg_V,I_charge_A,V_terminal_V,U_NE_min_mV,margin_class_at_Q
Chen2020_DFN_DC03,DC,,0.2,0.059556035234040725,479.9999999999992,0.3146922874093739,0.3153283136027282,0.32415520725683356,1.5,3.3608002326152184,314.6922874093739,safe_margin
Chen2020_DFN_DC03,DC,,0.231900827347571,0.06905546922157565,556.5619856341694,0.29690798931257456,0.2975444254254589,0.30639203151021943,1.5,3.3819749884152746,296.90798931257456,safe_margin
Chen2020_DFN_DC03,DC,,0.263801654695142,0.0785549032091106,633.1239712683396,0.2789986739751337,0.27963531169599604,0.28849172882011087,1.5,3.403178240396541,278.9986739751337,safe_margin
Chen2020_DFN_DC03,DC,,0.295702482042713,0.08805433719664554,709.6859569025097,0.26146973528133055,0.26210634992730647,0.27095911714313353,1.5,3.423926985005636,261.46973528133054,safe_margin
Chen2020_DFN_DC03,DC,,0.32760330939028404,0.09755377118418049,786.2479425366804,0.2449349923436287,0.2455713749842756,0.2544092913565499,1.5,3.4436243237177617,244.9349923436287,safe_margin
Chen2020_DFN_DC03,DC,,0.359504136737855,0.10705320517171542,862.8099281708502,0.2299568417417864,0.23059281618928273,0.2394067954340427,1.5,3.461720525578535,229.9568417417864,safe_margin
Chen2020_DFN_DC03,DC,,0.391404964085426,0.11655263915925038,939.3719138050212,0.21691830091667275,0.21755372835740014,0.22633692698593003,1.5,3.477842351729395,216.91830091667273,safe_margin
Chen2020_DFN_DC03,DC,,0.423305791432997,0.12605207314678532,1015.9338994391916,0.20596958927250672,0.20660436750341335,0.21535204096013105,1.5,3.4918471587952045,205.9695892725067,safe_margin
Chen2020_DFN_DC03,DC,,0.455206618780568,0.13555150713432024,1092.495885073362,0.19704826413789606,0.19768232718602013,0.20639171049919644,1.5,3.5038033224059575,197.04826413789607,safe_margin
Chen2020_DFN_DC03,DC,,0.487107446128139,0.14505094112185518,1169.0578707075322,0.18994315307992654,0.1905764728892566,0.19924675492141233,1.5,3.513926719709261,189.94315307992653,safe_margin
Chen2020_DFN_DC03,DC,,0.51900827347571,0.15455037510939013,1245.6198563417022,0.1843662234470965,0.18499881277655605,0.19363116401717984,1.5,3.522509122503824,184.3662234470965,safe_margin
Chen2020_DFN_DC03,DC,,0.5509091008232809,0.16404980909692504,1322.1818419758727,0.1800111850967613,0.18064309925276617,0.18924065054023426,1.5,3.5298598243458295,180.01118509676132,safe_margin
Chen2020_DFN_DC03,DC,,0.5828099281708521,0.17354924308446004,1398.743827610043,0.17659067805923018,0.17722201356499723,0.18578972484624545,1.5,3.5362686390210065,176.59067805923019,safe_margin
Chen2020_DFN_DC03,DC,,0.614710755518423,0.18304867707199496,1475.3058132442143,0.1738544693641886,0.17448535917768282,0.18302977619020233,1.5,3.541987841203897,173.85446936418862,safe_margin
Chen2020_DFN_DC03,DC,,0.646611582865994,0.19254811105952988,1551.867798878385,0.17159471702437137,0.17222532294165044,0.18075425079426696,1.5,3.547226981797285,171.59471702437136,safe_margin
Chen2020_DFN_DC03,DC,,0.678512410213565,0.20204754504706485,1628.4297845125557,0.16964395669160678,0.1702744594699014,0.17879657134720647,1.5,3.552154996322284,169.64395669160677,safe_margin
Chen2020_DFN_DC03,DC,,0.7104132375611361,0.2115469790345998,1704.9917701467261,0.16786985976935828,0.16850044787219254,0.17702485785914354,1.5,3.5569055207377778,167.86985976935827,safe_margin
Chen2020_DFN_DC03,DC,,0.742314064908707,0.2210464130221347,1781.5537557808973,0.16616914204005134,0.166800000068307,0.1753358163950695,1.5,3.5615830264226473,166.16914204005136,safe_margin
Chen2020_DFN_DC03,DC,,0.7742148922562779,0.23054584700966965,1858.1157414150698,0.16446197346800778,0.1650932700442651,0.17364913539455573,1.5,3.566268485497756,164.46197346800778,safe_margin
Chen2020_DFN_DC03,DC,,0.8061157196038491,0.24004528099720462,1934.67772704924,0.1626872672029922,0.16331914577823434,0.17190280757691676,1.5,3.571024079610374,162.6872672029922,safe_margin
Chen2020_DFN_DC03,DC,,0.83801654695142,0.24954471498473954,2011.2397126834098,0.16079905813057074,0.16143162838471312,0.17004951815173794,1.5,3.57589685979443,160.79905813057076,safe_margin
Chen2020_DFN_DC03,DC,,0.869917374298991,0.25904414897227446,2087.801698317579,0.15876376871132833,0.15939710096898851,0.16805397749556236,1.5,3.580921504498989,158.76376871132834,safe_margin
Chen2020_DFN_DC03,DC,,0.9018182016465619,0.2685435829598094,2164.363683951749,0.1565582606473185,0.15719238343012717,0.16589106661523065,1.5,3.586122286261309,156.55826064731852,safe_margin
Chen2020_DFN_DC03,DC,,0.9337190289941331,0.2780430169473444,2240.9256695859217,0.15416853614928688,0.15480343685868697,0.16354465936105206,1.5,3.5915143877637346,154.1685361492869,safe_margin
