condition,reference_condition,tau_factor_set,Q_Ah,t_DC_s,t_DCAC_s,delta_t_raw_s,U_NE_min_DC_mV,U_NE_min_DCAC_mV,delta_U_NE_min_mV,I_charge_DCAC_A,margin_class_DCAC_at_Q
Chen2020_DFN_DC03_AC07_0p5tauSet,Chen2020_DFN_DC03,0.5,0.2,479.9999999999992,396.0674872465661,83.93251275343312,314.6922874093739,273.963684276686,-40.72860313268785,2.123510474733684,safe_margin
Chen2020_DFN_DC03_AC07_0p5tauSet,Chen2020_DFN_DC03,0.5,0.231900827347571,556.5619856341694,493.9847695592895,62.57721607487997,296.90798931257456,209.04686938451212,-87.86111992806244,4.568078171338101,safe_margin
Chen2020_DFN_DC03_AC07_0p5tauSet,Chen2020_DFN_DC03,0.5,0.263801654695142,633.1239712683396,596.5474247234944,36.5765465448452,278.9986739751337,197.64358963095813,-81.3550843441756,4.96775845227114,safe_margin
Chen2020_DFN_DC03_AC07_0p5tauSet,Chen2020_DFN_DC03,0.5,0.295702482042713,709.6859569025097,625.3923318565434,84.29362504596634,261.46973528133054,228.5216588800186,-32.94807640131194,1.9061920442446265,safe_margin
Chen2020_DFN_DC03_AC07_0p5tauSet,Chen2020_DFN_DC03,0.5,0.32760330939028404,786.2479425366804,722.6773085219728,63.57063401470759,244.9349923436287,162.0085329520729,-82.9264593915558,4.519608931338184,safe_margin
Chen2020_DFN_DC03_AC07_0p5tauSet,Chen2020_DFN_DC03,0.5,0.359504136737855,862.8099281708502,825.194254208804,37.61567396204623,229.9568417417864,152.43075678846796,-77.52608495331845,4.976663613496326,safe_margin
Chen2020_DFN_DC03_AC07_0p5tauSet,Chen2020_DFN_DC03,0.5,0.391404964085426,939.3719138050212,854.8681374983142,84.50377630670698,216.91830091667273,196.11158397175168,-20.80671694492105,1.6579988538789254,safe_margin
Chen2020_DFN_DC03_AC07_0p5tauSet,Chen2020_DFN_DC03,0.5,0.423305791432997,1015.9338994391916,951.3692666840209,64.56463275517069,205.9695892725067,131.53152752940218,-74.43806174310453,4.470862787617141,safe_margin
Chen2020_DFN_DC03_AC07_0p5tauSet,Chen2020_DFN_DC03,0.5,0.455206618780568,1092.495885073362,1053.8426228029623,38.65326227039964,197.04826413789607,124.9839485096162,-72.06431562827987,4.9861480409915675,safe_margin
Chen2020_DFN_DC03_AC07_0p5tauSet,Chen2020_DFN_DC03,0.5,0.487107446128139,1169.0578707075322,1084.592532058788,84.46533864874414,189.94315307992653,182.4707561467758,-7.472396933150719,1.3611188690463825,safe_margin
Chen2020_DFN_DC03_AC07_0p5tauSet,Chen2020_DFN_DC03,0.5,0.51900827347571,1245.6198563417022,1180.0869404131759,65.53291592852634,184.3662234470965,116.75508240774612,-67.61114103935039,4.409642669734521,safe_margin
Chen2020_DFN_DC03_AC07_0p5tauSet,Chen2020_DFN_DC03,0.5,0.5509091008232809,1322.1818419758727,1282.4875408957578,39.69430108011488,180.01118509676132,111.56912395385476,-68.44206114290657,4.99397895923146,safe_margin
Chen2020_DFN_DC03_AC07_0p5tauSet,Chen2020_DFN_DC03,0.5,0.5828099281708521,1398.743827610043,1314.785922060818,83.95790554922496,176.59067805923019,183.33873744297256,6.748059383742373,0.9761002479438305,safe_margin
Chen2020_DFN_DC03_AC07_0p5tauSet,Chen2020_DFN_DC03,0.5,0.614710755518423,1475.3058132442143,1408.7879968928896,66.51781635132465,173.85446936418862,109.77598763946217,-64.07848172472644,4.357125207577286,safe_margin
Chen2020_DFN_DC03_AC07_0p5tauSet,Chen2020_DFN_DC03,0.5,0.646611582865994,1551.867798878385,1511.1331859743311,40.73461290405385,171.59471702437136,104.72513651383493,-66.86958051053644,4.9963170670523045,safe_margin
Chen2020_DFN_DC03_AC07_0p5tauSet,Chen2020_DFN_DC03,0.5,0.678512410213565,1628.4297845125557,1546.4369197096698,81.99286480288583,169.64395669160677,198.9445307158885,29.30057402428173,0.3283609376371515,safe_margin
Chen2020_DFN_DC03_AC07_0p5tauSet,Chen2020_DFN_DC03,0.5,0.7104132375611361,1704.9917701467261,1637.4979315613336,67.4938385853925,167.86985976935827,105.25479964444322,-62.61506012491505,4.299313227684783,safe_margin
Chen2020_DFN_DC03_AC07_0p5tauSet,Chen2020_DFN_DC03,0.5,0.742314064908707,1781.5537557808973,1739.7769864751451,41.77676930575217,166.16914204005136,99.42870585647523,-66.74043618357612,4.999030757396192,safe_margin
Chen2020_DFN_DC03_AC07_0p5tauSet,Chen2020_DFN_DC03,0.5,0.7742148922562779,1858.1157414150698,1841.9986675861715,16.117073828898356,164.46197346800778,114.75742749820544,-49.70454596980234,4.258550890835735,safe_margin
Chen2020_DFN_DC03_AC07_0p5tauSet,Chen2020_DFN_DC03,0.5,0.8061157196038491,1934.67772704924,1866.234340436655,68.44338661258507,162.6872672029922,100.6024469520601,-62.08482025093208,4.230295241892781,safe_margin
Chen2020_DFN_DC03_AC07_0p5tauSet,Chen2020_DFN_DC03,0.5,0.83801654695142,2011.2397126834098,1968.4216112659233,42.81810141748656,160.79905813057076,93.48594195042858,-67.31311618014217,4.999390214105034,safe_margin
Chen2020_DFN_DC03_AC07_0p5tauSet,Chen2020_DFN_DC03,0.5,0.869917374298991,2087.801698317579,2070.7333162845925,17.068382032986392,158.76376871132834,107.79466011807314,-50.9691085932552,4.326790952190196,safe_margin
Chen2020_DFN_DC03_AC07_0p5tauSet,Chen2020_DFN_DC03,0.5,0.9018182016465619,2164.363683951749,2094.9577390521595,69.40594489958949,156.55826064731852,94.5723539157831,-61.98590673153542,4.166573417757394,safe_margin
Chen2020_DFN_DC03_AC07_0p5tauSet,Chen2020_DFN_DC03,0.5,0.9337190289941331,2240.9256695859217,2197.0677324591165,43.857937126805155,154.1685361492869,86.19668400550819,-67.9718521437787,4.9929071689120885,safe_margin
Chen2020_DFN_DC03_AC07_0p5tauSet,Chen2020_DFN_DC03,0.5,0.965619856341704,2317.4876552200917,2299.443605131101,18.044050088990844,151.58902195582544,99.4794425731513,-52.10957938267414,4.3851265278743625,safe_margin
Chen2020_DFN_DC03_AC07_0p5tauSet,Chen2020_DFN_DC03,0.5,0.9975206836892749,2394.049640854262,2323.6930513399475,70.35658951431469,148.8221867687066,87.1806460043185,-61.64154076438808,4.097856925779985,safe_margin
