condition,protocol_type,dc_c,ac_c,peak_c,tau_factor_set,Q_Ah,t_q_s,U_NE_min_mV,I_charge_A,V_terminal_V,margin_class_at_Q
Chen2020_DFN_fineAmp_DC03,DC,0.3,0.0,0.3,,0.2,479.9999999999992,314.6922874093739,1.5,3.3608002326152184,safe_margin
Chen2020_DFN_fineAmp_DC03,DC,0.3,0.0,0.3,,0.23542797241313346,565.0271337915192,294.92646467077867,1.5,3.3843250106741922,safe_margin
Chen2020_DFN_fineAmp_DC03,DC,0.3,0.0,0.3,,0.2708559448262669,650.0542675830394,275.0687771593863,1.5,3.407825848982339,safe_margin
Chen2020_DFN_fineAmp_DC03,DC,0.3,0.0,0.3,,0.3062839172394003,735.0814013745595,255.84477582117242,1.5,3.4306066173025016,safe_margin
Chen2020_DFN_fineAmp_DC03,DC,0.3,0.0,0.3,,0.34171188965253374,820.1085351660794,238.0907877478646,1.5,3.451852384199179,safe_margin
Chen2020_DFN_fineAmp_DC03,DC,0.3,0.0,0.3,,0.3771398620656672,905.1356689576002,222.49385502588402,1.5,3.470891816067872,safe_margin
Chen2020_DFN_fineAmp_DC03,DC,0.3,0.0,0.3,,0.41256783447880063,990.1628027491204,209.4215106505667,1.5,3.4873691835691294,safe_margin
Chen2020_DFN_fineAmp_DC03,DC,0.3,0.0,0.3,,0.4479958068919341,1075.1899365406402,198.89670676864222,1.5,3.5012704870377114,safe_margin
Chen2020_DFN_fineAmp_DC03,DC,0.3,0.0,0.3,,0.4834237793050675,1160.2170703321603,190.67982517963853,1.5,3.512842236111901,safe_margin
Chen2020_DFN_fineAmp_DC03,DC,0.3,0.0,0.3,,0.518851751718201,1245.2442041236804,184.3903493375566,1.5,3.522470276090544,safe_margin
Chen2020_DFN_fineAmp_DC03,DC,0.3,0.0,0.3,,0.5542797241313344,1330.271337915201,179.61028798310608,1.5,3.530576774881092,safe_margin
Chen2020_DFN_fineAmp_DC03,DC,0.3,0.0,0.3,,0.5897076965444679,1415.2984717067206,175.94888045621923,1.5,3.5375558227560115,safe_margin
Chen2020_DFN_fineAmp_DC03,DC,0.3,0.0,0.3,,0.6251356689576013,1500.3256054982428,173.0725353587288,1.5,3.5437437329975907,safe_margin
Chen2020_DFN_fineAmp_DC03,DC,0.3,0.0,0.3,,0.6605636413707348,1585.3527392897633,170.71206055316372,1.5,3.549411943802602,safe_margin
Chen2020_DFN_fineAmp_DC03,DC,0.3,0.0,0.3,,0.6959916137838682,1670.3798730812834,168.65721662873267,1.5,3.554772614677738,safe_margin
Chen2020_DFN_fineAmp_DC03,DC,0.3,0.0,0.3,,0.7314195861970016,1755.4070068728042,166.7470980752419,1.5,3.559988352039579,safe_margin
Chen2020_DFN_fineAmp_DC03,DC,0.3,0.0,0.3,,0.7668475586101351,1840.4341406643262,164.8602735558379,1.5,3.5651821732632403,safe_margin
Chen2020_DFN_fineAmp_DC03,DC,0.3,0.0,0.3,,0.8022755310232685,1925.4612744558472,162.90612999293066,1.5,3.5704462071206615,safe_margin
