search_term,variable_key
surface potential difference,Negative electrode surface potential difference [V]
surface potential difference,Negative electrode surface potential difference at separator interface [V]
surface potential difference,Positive electrode surface potential difference [V]
surface potential difference,Positive electrode surface potential difference at separator interface [V]
surface potential difference,X-averaged negative electrode surface potential difference [V]
surface potential difference,X-averaged positive electrode surface potential difference [V]
negative electrode potential,Gradient of negative electrode potential [V.m-1]
negative electrode potential,Negative electrode potential [V]
negative electrode potential,X-averaged negative electrode potential [V]
negative electrode surface potential,Negative electrode surface potential difference [V]
negative electrode surface potential,Negative electrode surface potential difference at separator interface [V]
negative electrode surface potential,X-averaged negative electrode surface potential difference [V]
electrolyte potential,Electrolyte potential [V]
electrolyte potential,Gradient of electrolyte potential [V.m-1]
electrolyte potential,Gradient of negative electrolyte potential [V.m-1]
electrolyte potential,Gradient of positive electrolyte potential [V.m-1]
electrolyte potential,Gradient of separator electrolyte potential [V.m-1]
electrolyte potential,Negative electrolyte potential [V]
electrolyte potential,Positive electrolyte potential [V]
electrolyte potential,Separator electrolyte potential [V]
electrolyte potential,X-averaged electrolyte potential [V]
electrolyte potential,X-averaged negative electrolyte potential [V]
electrolyte potential,X-averaged positive electrolyte potential [V]
electrolyte potential,X-averaged separator electrolyte potential [V]
lithium plating,Loss of capacity to negative lithium plating [A.h]
lithium plating,Loss of capacity to positive lithium plating [A.h]
lithium plating,Loss of lithium to negative lithium plating [mol]
lithium plating,Loss of lithium to positive lithium plating [mol]
lithium plating,Negative electrode lithium plating interfacial current density [A.m-2]
lithium plating,Negative electrode lithium plating reaction overpotential [V]
lithium plating,Negative electrode lithium plating volumetric interfacial current density [A.m-3]
lithium plating,Negative lithium plating concentration [mol.m-3]
lithium plating,Negative lithium plating thickness [m]
lithium plating,Positive electrode lithium plating interfacial current density [A.m-2]
lithium plating,Positive electrode lithium plating reaction overpotential [V]
lithium plating,Positive electrode lithium plating volumetric interfacial current density [A.m-3]
lithium plating,Positive lithium plating concentration [mol.m-3]
lithium plating,Positive lithium plating thickness [m]
lithium plating,Volume-averaged negative lithium plating concentration [mol.m-3]
lithium plating,Volume-averaged negative lithium plating thickness [m]
lithium plating,Volume-averaged positive lithium plating concentration [mol.m-3]
lithium plating,Volume-averaged positive lithium plating thickness [m]
lithium plating,X-averaged negative electrode lithium plating interfacial current density [A.m-2]
lithium plating,X-averaged negative electrode lithium plating reaction overpotential [V]
lithium plating,X-averaged negative electrode lithium plating volumetric interfacial current density [A.m-3]
lithium plating,X-averaged negative lithium plating concentration [mol.m-3]
lithium plating,X-averaged negative lithium plating thickness [m]
lithium plating,X-averaged positive electrode lithium plating interfacial current density [A.m-2]
lithium plating,X-averaged positive electrode lithium plating reaction overpotential [V]
lithium plating,X-averaged positive electrode lithium plating volumetric interfacial current density [A.m-3]
lithium plating,X-averaged positive lithium plating concentration [mol.m-3]
lithium plating,X-averaged positive lithium plating thickness [m]
plating,Loss of capacity to negative lithium plating [A.h]
plating,Loss of capacity to positive lithium plating [A.h]
plating,Loss of lithium to negative lithium plating [mol]
plating,Loss of lithium to positive lithium plating [mol]
plating,Negative electrode lithium plating interfacial current density [A.m-2]
plating,Negative electrode lithium plating reaction overpotential [V]
plating,Negative electrode lithium plating volumetric interfacial current density [A.m-3]
plating,Negative lithium plating concentration [mol.m-3]
plating,Negative lithium plating thickness [m]
plating,Positive electrode lithium plating interfacial current density [A.m-2]
plating,Positive electrode lithium plating reaction overpotential [V]
plating,Positive electrode lithium plating volumetric interfacial current density [A.m-3]
plating,Positive lithium plating concentration [mol.m-3]
plating,Positive lithium plating thickness [m]
plating,Volume-averaged negative lithium plating concentration [mol.m-3]
plating,Volume-averaged negative lithium plating thickness [m]
plating,Volume-averaged positive lithium plating concentration [mol.m-3]
plating,Volume-averaged positive lithium plating thickness [m]
plating,X-averaged negative electrode lithium plating interfacial current density [A.m-2]
plating,X-averaged negative electrode lithium plating reaction overpotential [V]
plating,X-averaged negative electrode lithium plating volumetric interfacial current density [A.m-3]
plating,X-averaged negative lithium plating concentration [mol.m-3]
plating,X-averaged negative lithium plating thickness [m]
plating,X-averaged positive electrode lithium plating interfacial current density [A.m-2]
plating,X-averaged positive electrode lithium plating reaction overpotential [V]
plating,X-averaged positive electrode lithium plating volumetric interfacial current density [A.m-3]
plating,X-averaged positive lithium plating concentration [mol.m-3]
plating,X-averaged positive lithium plating thickness [m]
reaction overpotential,Negative electrode lithium plating reaction overpotential [V]
reaction overpotential,Negative electrode reaction overpotential [V]
reaction overpotential,Positive electrode lithium plating reaction overpotential [V]
reaction overpotential,Positive electrode reaction overpotential [V]
reaction overpotential,X-averaged battery negative reaction overpotential [V]
reaction overpotential,X-averaged battery positive reaction overpotential [V]
reaction overpotential,X-averaged battery reaction overpotential [V]
reaction overpotential,X-averaged negative electrode lithium plating reaction overpotential [V]
reaction overpotential,X-averaged negative electrode reaction overpotential [V]
reaction overpotential,X-averaged positive electrode lithium plating reaction overpotential [V]
reaction overpotential,X-averaged positive electrode reaction overpotential [V]
reaction overpotential,X-averaged reaction overpotential [V]
open-circuit potential,Battery negative electrode bulk open-circuit potential [V]
open-circuit potential,Battery positive electrode bulk open-circuit potential [V]
open-circuit potential,Negative electrode bulk open-circuit potential [V]
open-circuit potential,Negative electrode equilibrium open-circuit potential [V]
open-circuit potential,Negative electrode open-circuit potential [V]
open-circuit potential,Positive electrode bulk open-circuit potential [V]
open-circuit potential,Positive electrode equilibrium open-circuit potential [V]
open-circuit potential,Positive electrode open-circuit potential [V]
open-circuit potential,X-averaged negative electrode equilibrium open-circuit potential [V]
open-circuit potential,X-averaged negative electrode open-circuit potential [V]
open-circuit potential,X-averaged positive electrode equilibrium open-circuit potential [V]
open-circuit potential,X-averaged positive electrode open-circuit potential [V]
