parameter_set,condition,ac_c,peak_c,tau_factor_set,delta_t_raw_mean_s,delta_t_raw_min_s,delta_t_raw_max_s,delta_t_geom_mean_s,delta_t_geom_min_s,delta_t_geom_max_s,delta_t_resid_mean_s,delta_t_resid_min_s,delta_t_resid_max_s,resid_abs_mean_s,resid_max_abs_s,resid_over_raw_mean,dt_resid_class,min_U_NE_vs_Li_mV,fraction_time_below_50mV,fraction_time_below_0mV,margin_class,dc_margin_class,estimated_AC_C_at_0mV,estimated_peak_C_at_0mV,transfer_class,gain_margin_class
Chen2020,Chen2020_DFN_DC03_AC0p1_1p5tauSet,0.1,0.4,1.5,18.15548195575296,0.0010392893527750857,36.311195794572086,18.158347944661152,0.0009544888171149069,36.316314607216555,-0.0028659889081887966,-0.008121305017994018,0.001993991074755286,0.002961474277156526,0.008121305017994018,-0.00015785804613579235,geometry_dominated,25.760879376378664,0.15580177582150717,0.0,near_boundary,near_boundary,0.38610964808746384,0.6861096480874638,boundary_within_scan,geometry_gain__near_boundary
Chen2020,Chen2020_DFN_DC03_AC0p2_1p5tauSet,0.2,0.5,1.5,36.37060867805879,-0.0022898545075804577,72.59891886932587,36.37807726491718,0.0019155525778842275,72.60490460976439,-0.0074685868583912905,-0.03417739804444864,0.0026478413039967563,0.007544146305659752,0.03417739804444864,-0.00020534676569481907,geometry_dominated,15.144143738760315,0.1422462142456534,0.0,near_boundary,near_boundary,0.38610964808746384,0.6861096480874638,boundary_within_scan,geometry_gain__near_boundary
Chen2020,Chen2020_DFN_DC03_AC0p36_1p5tauSet,0.36,0.6599999999999999,1.5,66.9138992346499,-0.011621489971730625,130.3176040932209,66.92722023886425,0.0034671444573177723,130.3350091901117,-0.013321004214351433,-0.0539399923354722,0.006423453129855261,0.013449473276948539,0.0539399923354722,-0.00019907678922787152,geometry_dominated,1.4327017404097246,0.13088604067985513,0.0,near_boundary,near_boundary,0.38610964808746384,0.6861096480874638,boundary_within_scan,geometry_gain__near_boundary
Chen2020,Chen2020_DFN_DC03_AC0p38_1p5tauSet,0.38,0.6799999999999999,1.5,69.34950356756853,-0.015225784827634925,137.95676049557187,69.36341503333922,0.00366231011958007,138.00280071576344,-0.013911465770697191,-0.04604022019157128,0.005885354051770264,0.014029172851732597,0.04604022019157128,-0.00020059935623249251,geometry_dominated,0.5840363154033125,0.14506236648060092,0.0,near_boundary,near_boundary,0.38610964808746384,0.6861096480874638,boundary_within_scan,geometry_gain__near_boundary
Chen2020,Chen2020_DFN_DC03_AC0p3_1p5tauSet,0.3,0.6,1.5,53.95340082932985,-0.005049246395174123,108.88462653490569,53.970110012468304,0.0028832767602580134,108.90370158602218,-0.0167091831384505,-0.565159847889845,0.0017549954941387114,0.01676420077573766,0.565159847889845,-0.0003096965692914606,geometry_dominated,6.6610047008486255,0.12872123302132452,0.0,near_boundary,near_boundary,0.38610964808746384,0.6861096480874638,boundary_within_scan,geometry_gain__near_boundary
Chen2020,Chen2020_DFN_DC03_AC0p4_1p5tauSet,0.4,0.7,1.5,75.4168531294316,-0.01827524953569082,145.23691789136728,75.44581860661783,0.003857748516566062,145.2651364799758,-0.028965477186242764,-1.2815323954209816,0.002256481794120191,0.029010606822125168,1.2815323954209816,-0.00038407167608189315,geometry_dominated,-1.327812966396317,0.15614322809894765,0.0027333606669400026,risk_flag,near_boundary,0.38610964808746384,0.6861096480874638,boundary_within_scan,geometry_gain__risk
Chen2020,Chen2020_DFN_DC03_AC0p5_1p5tauSet,0.5,0.8,1.5,102.86247445320859,6.879782397148119,181.18789040780405,102.87860899519144,6.880399528351518,181.20147293989817,-0.016134541982846144,-0.1252527574756641,0.002746015508137134,0.016190714862763685,0.1252527574756641,-0.00015685547201361205,geometry_dominated,-9.38687529490361,0.1868433701847147,0.01854013596099705,risk_flag,near_boundary,0.38610964808746384,0.6861096480874638,boundary_within_scan,geometry_gain__risk
Chen2020,Chen2020_DFN_DC03_AC0p7_1p5tauSet,0.7,1.0,1.5,158.6709244162512,48.44708810035172,254.1681398763394,158.68593946498734,48.4606144926247,254.20025419414424,-0.015015048736129301,-0.05129446667160664,-0.0013044790499634473,0.015015048736129301,0.05129446667160664,-9.463012074436144e-05,geometry_dominated,-25.29869098240431,0.22230433322136378,0.03997312730937185,risk_flag,near_boundary,0.38610964808746384,0.6861096480874638,boundary_within_scan,geometry_gain__risk
Ecker2015,Ecker2015_DFN_DC03_AC0p1_1p5tauSet,0.1,0.4,1.5,8.450601772264463,0.04545334290378378,16.482190003551295,8.318226901022953,0.0010952597240247997,16.5152847303616,-0.028945386563236752,-0.0492616055689723,-0.017049784944902058,0.028945386563236752,0.0492616055689723,-0.0034252456030099275,geometry_dominated,70.98608236027336,0.0,0.0,safe_margin,safe_margin,,,all_scanned_amplitudes_admissible,geometry_gain__safe_margin
Ecker2015,Ecker2015_DFN_DC03_AC0p2_1p5tauSet,0.2,0.5,1.5,16.20174395934067,0.15743365210255433,33.02485293557584,16.698136969503576,0.0022025578527973266,33.02591801035487,0.010213388841955086,-0.001593431430592318,0.03361125536321197,0.010453180374911013,0.03361125536321197,0.0006303882389196032,geometry_dominated,68.76094560013837,0.0,0.0,safe_margin,safe_margin,,,all_scanned_amplitudes_admissible,geometry_gain__safe_margin
