condition,n_time,min_U_NE_mV,fraction_time_below_50mV,fraction_time_below_0mV,status
Chen2020_DFN_DC03,12159,37.28056183906979,0.21983715766099185,0.0,ok
Chen2020_DFN_DC03_AC0p1_1p5tauSet,13177,25.760879376378664,0.15580177582150717,0.0,ok
Chen2020_DFN_DC03_AC0p2_1p5tauSet,14264,15.144143738760315,0.1422462142456534,0.0,ok
Chen2020_DFN_DC03_AC0p3_1p5tauSet,14209,6.6610047008486255,0.12872123302132452,0.0,ok
Chen2020_DFN_DC03_AC0p36_1p5tauSet,14356,1.4327017404097246,0.13088604067985513,0.0,ok
Chen2020_DFN_DC03_AC0p38_1p5tauSet,14511,0.5840363154033125,0.14506236648060092,0.0,ok
Chen2020_DFN_DC03_AC0p4_1p5tauSet,14634,-1.327812966396317,0.15614322809894765,0.0027333606669400026,ok
Chen2020_DFN_DC03_AC0p5_1p5tauSet,14563,-9.38687529490361,0.1868433701847147,0.01854013596099705,ok
Chen2020_DFN_DC03_AC0p7_1p5tauSet,14885,-25.29869098240431,0.22230433322136378,0.03997312730937185,ok
Ecker2015_DFN_DC03,13806,73.6184215014089,0.0,0.0,ok
Ecker2015_DFN_DC03_AC0p1_1p5tauSet,14405,70.98608236027336,0.0,0.0,ok
Ecker2015_DFN_DC03_AC0p2_1p5tauSet,15751,68.76094560013837,0.0,0.0,ok
Ecker2015_DFN_DC03_AC0p3_1p5tauSet,16967,65.61323289972694,0.0,0.0,ok
Ecker2015_DFN_DC03_AC0p36_1p5tauSet,17487,63.6825301620645,0.0,0.0,ok
Ecker2015_DFN_DC03_AC0p38_1p5tauSet,17457,63.04906612248901,0.0,0.0,ok
Ecker2015_DFN_DC03_AC0p4_1p5tauSet,17618,62.74711052201496,0.0,0.0,ok
Ecker2015_DFN_DC03_AC0p5_1p5tauSet,18305,60.48346029703214,0.0,0.0,ok
Ecker2015_DFN_DC03_AC0p7_1p5tauSet,19396,55.59511938544273,0.0,0.0,ok
ORegan2022_DFN_DC03,14607,-98.368507578241,0.039433148490449786,0.001985349489970562,ok
ORegan2022_DFN_DC03_AC0p1_1p5tauSet,15109,-91.82468450455202,0.0545370309087299,0.0019855715136673506,ok
ORegan2022_DFN_DC03_AC0p2_1p5tauSet,15078,-99.28182117130216,0.056705133306804614,0.0031834460803820135,ok
ORegan2022_DFN_DC03_AC0p3_1p5tauSet,15434,-84.49177497324652,0.07269664377348711,0.007580666061941169,ok
ORegan2022_DFN_DC03_AC0p36_1p5tauSet,15783,-76.57898447066972,0.10276880187543559,0.0076031172780840145,ok
ORegan2022_DFN_DC03_AC0p38_1p5tauSet,15924,-73.75838479529367,0.10832705350414469,0.008477769404672193,ok
ORegan2022_DFN_DC03_AC0p4_1p5tauSet,16041,-71.18575387910582,0.1158905305155539,0.009164017205909855,ok
ORegan2022_DFN_DC03_AC0p5_1p5tauSet,16474,-58.36729594933244,0.13912832341872042,0.008316134514993323,ok
ORegan2022_DFN_DC03_AC0p7_1p5tauSet,12448,-295.65247937657074,0.12861503856041132,0.01695051413881748,ok
