parameter_set,chem_tag,model_type,condition,protocol_type,dc_c,ac_c,peak_c,tau_factor_set,tau_ref_set_s,f_Hz,period_s,t_end_min,Q_end_Ah,min_U_NE_vs_Li_mV,min_U_NE_separator_mV,min_U_NE_xavg_mV,t_at_min_U_NE_s,Q_at_min_U_NE_Ah,I_charge_at_min_U_NE_A,fraction_time_below_50mV,fraction_time_below_0mV,margin_class
Chen2020,LG M50 NMC811-Si,DFN,Chen2020_DFN_DC03,DC,0.3,0.0,0.3,,36.316532231592305,,,179.71516011214,4.4928790028035,37.28056183906979,37.91745153837418,46.709658513080605,10782.9096067284,4.4928790028035,1.5,0.21983715766099185,0.0,near_boundary
Chen2020,LG M50 NMC811-Si,DFN,Chen2020_DFN_DC03_AC0p1_1p5tauSet,DCAC,0.3,0.1,0.4,1.5,36.316532231592305,0.002921625190367048,342.27525258788194,177.55258885535696,4.441013431660316,25.760879376378664,26.58435399160024,37.7510841183531,10360.472094418883,4.325348232749463,1.9962838606980253,0.15580177582150717,0.0,near_boundary
Chen2020,LG M50 NMC811-Si,DFN,Chen2020_DFN_DC03_AC0p2_1p5tauSet,DCAC,0.3,0.2,0.5,1.5,36.316532231592305,0.002921625190367048,342.27525258788194,172.17244359008757,4.31311479101443,15.144143738760315,16.154976459736705,29.67925843822358,10019.030570535835,4.19179266229714,2.4905890459785667,0.1422462142456534,0.0,near_boundary
Chen2020,LG M50 NMC811-Si,DFN,Chen2020_DFN_DC03_AC0p3_1p5tauSet,DCAC,0.3,0.3,0.6,1.5,36.316532231592305,0.002921625190367048,342.27525258788194,161.0303277072308,4.045353228491462,6.6610047008486255,7.826374951294939,23.23644295075757,9661.819662433849,4.045353228491462,2.9859709048456686,0.12872123302132452,0.0,near_boundary
Chen2020,LG M50 NMC811-Si,DFN,Chen2020_DFN_DC03_AC0p36_1p5tauSet,DCAC,0.3,0.36,0.6599999999999999,1.5,36.316532231592305,0.002921625190367048,342.27525258788194,155.4254129730667,3.91212289706403,1.4327017404097246,2.723808614596864,19.69036394007353,9325.524778384002,3.91212289706403,3.2993394406412753,0.13088604067985513,0.0,near_boundary
Chen2020,LG M50 NMC811-Si,DFN,Chen2020_DFN_DC03_AC0p38_1p5tauSet,DCAC,0.3,0.38,0.6799999999999999,1.5,36.316532231592305,0.002921625190367048,342.27525258788194,155.2968944143975,3.9063328318012034,0.5840363154033125,1.8792116732723858,18.853794584447353,9317.81366486385,3.9063328318012034,3.3730445127283275,0.14506236648060092,0.0,near_boundary
Chen2020,LG M50 NMC811-Si,DFN,Chen2020_DFN_DC03_AC0p4_1p5tauSet,DCAC,0.3,0.4,0.7,1.5,36.316532231592305,0.002921625190367048,342.27525258788194,155.20831361102788,3.9024939672633794,-1.327812966396317,0.05330405836982688,18.103425737882688,8992.198439687936,3.78113537481487,3.481210103584456,0.15614322809894765,0.0027333606669400026,risk_flag
Chen2020,LG M50 NMC811-Si,DFN,Chen2020_DFN_DC03_AC0p5_1p5tauSet,DCAC,0.3,0.5,0.8,1.5,36.316532231592305,0.002921625190367048,342.27525258788194,149.59046790263588,3.7711499740918777,-9.38687529490361,-7.823620777971343,11.94641686002592,8648.750328937327,3.6458245853236275,3.9832989630810016,0.1868433701847147,0.01854013596099705,risk_flag
Chen2020,LG M50 NMC811-Si,DFN,Chen2020_DFN_DC03_AC0p7_1p5tauSet,DCAC,0.3,0.7,1.0,1.5,36.316532231592305,0.002921625190367048,342.27525258788194,143.79854350950947,3.6339416312270765,-25.29869098240431,-23.359654030040264,1.8300322633943924,8309.072265923156,3.5236683519377916,4.9534192555475896,0.22230433322136378,0.03997312730937185,risk_flag
Ecker2015,Kokam-Ecker Co-rich Mn-free,DFN,Ecker2015_DFN_DC03,DC,0.3,0.0,0.3,,16.51765434839429,,,204.72936780736654,0.15994481859950418,73.6184215014089,73.74735366382826,75.61782209512947,12283.762068441993,0.15994481859950418,0.046875,0.0,0.0,safe_margin
Ecker2015,Kokam-Ecker Co-rich Mn-free,DFN,Ecker2015_DFN_DC03_AC0p1_1p5tauSet,DCAC,0.3,0.1,0.4,1.5,16.51765434839429,0.006423629721063352,155.67522466635302,204.93373164279487,0.16010458464372826,70.98608236027336,71.1529460325511,73.5463180360925,12186.973531507248,0.158814886377371,0.06213210362591393,0.0,0.0,safe_margin
Ecker2015,Kokam-Ecker Co-rich Mn-free,DFN,Ecker2015_DFN_DC03_AC0p2_1p5tauSet,DCAC,0.3,0.2,0.5,1.5,16.51765434839429,0.006423629721063352,155.67522466635302,202.8719363445583,0.1586303572481875,68.76094560013837,68.96560904646667,71.74899754598424,12031.206241248248,0.15691716130924524,0.07741404631130042,0.0,0.0,safe_margin
Ecker2015,Kokam-Ecker Co-rich Mn-free,DFN,Ecker2015_DFN_DC03_AC0p3_1p5tauSet,DCAC,0.3,0.3,0.6,1.5,16.51765434839429,0.006423629721063352,155.67522466635302,202.7205949128329,0.15848116939831566,65.61323289972694,65.85588918274695,69.29432850123914,12031.931184136129,0.1570667050933902,0.09237311180945568,0.0,0.0,safe_margin
Ecker2015,Kokam-Ecker Co-rich Mn-free,DFN,Ecker2015_DFN_DC03_AC0p36_1p5tauSet,DCAC,0.3,0.36,0.6599999999999999,1.5,16.51765434839429,0.006423629721063352,155.67522466635302,202.67269509558494,0.15843321120147236,63.6825301620645,63.9478824939923,67.70615995766238,12031.860476552994,0.157144525169319,0.10151113334222746,0.0,0.0,safe_margin
Ecker2015,Kokam-Ecker Co-rich Mn-free,DFN,Ecker2015_DFN_DC03_AC0p38_1p5tauSet,DCAC,0.3,0.38,0.6799999999999999,1.5,16.51765434839429,0.006423629721063352,155.67522466635302,200.5186265371385,0.15714934795099555,63.04906612248901,63.32192288867679,67.18189719513468,12031.11759222831,0.15714934795099555,0.10494387370208906,0.0,0.0,safe_margin
Ecker2015,Kokam-Ecker Co-rich Mn-free,DFN,Ecker2015_DFN_DC03_AC0p4_1p5tauSet,DCAC,0.3,0.4,0.7,1.5,16.51765434839429,0.006423629721063352,155.67522466635302,200.43964638502788,0.15703174345916984,62.74711052201496,63.023391235408845,66.90724550663607,12026.378783101673,0.15703174345916984,0.10936386600433327,0.0,0.0,safe_margin
Ecker2015,Kokam-Ecker Co-rich Mn-free,DFN,Ecker2015_DFN_DC03_AC0p5_1p5tauSet,DCAC,0.3,0.5,0.8,1.5,16.51765434839429,0.006423629721063352,155.67522466635302,200.26832447537132,0.15678793167527105,60.48346029703214,60.80160128810493,65.27399561815918,11875.86700759279,0.15529051437066196,0.12299090199561606,0.0,0.0,safe_margin
Ecker2015,Kokam-Ecker Co-rich Mn-free,DFN,Ecker2015_DFN_DC03_AC0p7_1p5tauSet,DCAC,0.3,0.7,1.0,1.5,16.51765434839429,0.006423629721063352,155.67522466635302,197.77873684957004,0.15515903872373712,55.59511938544273,55.988487841970425,61.4920353763823,11721.72513347307,0.15359195871264,0.15170902038388082,0.0,0.0,safe_margin
ORegan2022,LG M50 NMC811-Si,DFN,ORegan2022_DFN_DC03,DC,0.3,0.0,0.3,,53.575426259434366,,,184.5472775815346,4.613681939538338,-98.368507578241,-97.4798794135894,-82.30763014208787,11072.836654892075,4.613681939538338,1.5,0.039433148490449786,0.001985349489970562,risk_flag
ORegan2022,LG M50 NMC811-Si,DFN,ORegan2022_DFN_DC03_AC0p1_1p5tauSet,DCAC,0.3,0.1,0.4,1.5,53.575426259434366,0.001980447059455969,504.9364966487421,185.57736934762855,4.640014453757634,-91.82468450455202,-90.88231949225062,-74.74476470681587,11134.642160857713,4.640014453757634,1.6591897914876244,0.0545370309087299,0.0019855715136673506,risk_flag
ORegan2022,LG M50 NMC811-Si,DFN,ORegan2022_DFN_DC03_AC0p2_1p5tauSet,DCAC,0.3,0.2,0.5,1.5,53.575426259434366,0.001980447059455969,504.9364966487421,180.51893646027239,4.5565483167051095,-99.28182117130216,-98.15227802280099,-78.83662137427095,10831.136187616343,4.5565483167051095,1.8060766122591818,0.056705133306804614,0.0031834460803820135,risk_flag
ORegan2022,LG M50 NMC811-Si,DFN,ORegan2022_DFN_DC03_AC0p3_1p5tauSet,DCAC,0.3,0.3,0.6,1.5,53.575426259434366,0.001980447059455969,504.9364966487421,179.78469929327602,4.549965824301288,-84.49177497324652,-82.8765138956647,-55.75894320571438,10787.081957596562,4.549965824301288,2.6360379770973585,0.07269664377348711,0.007580666061941169,risk_flag
ORegan2022,LG M50 NMC811-Si,DFN,ORegan2022_DFN_DC03_AC0p36_1p5tauSet,DCAC,0.3,0.36,0.6599999999999999,1.5,53.575426259434366,0.001980447059455969,504.9364966487421,179.65588236865298,4.554771547158307,-76.57898447066972,-74.77998977667627,-43.94586189289346,10779.35294211918,4.554771547158307,2.9698165995571255,0.10276880187543559,0.0076031172780840145,risk_flag
ORegan2022,LG M50 NMC811-Si,DFN,ORegan2022_DFN_DC03_AC0p38_1p5tauSet,DCAC,0.3,0.38,0.6799999999999999,1.5,53.575426259434366,0.001980447059455969,504.9364966487421,179.64792739467686,4.557886863841311,-73.75838479529367,-71.91071233706646,-40.15252438414727,10778.87564368061,4.557886863841311,3.0579597616737955,0.10832705350414469,0.008477769404672193,risk_flag
ORegan2022,LG M50 NMC811-Si,DFN,ORegan2022_DFN_DC03_AC0p4_1p5tauSet,DCAC,0.3,0.4,0.7,1.5,53.575426259434366,0.001980447059455969,504.9364966487421,179.60331854221576,4.559049455350613,-71.18575387910582,-69.26586417076467,-36.43233406531237,10776.199112532946,4.559049455350613,3.177168794197162,0.1158905305155539,0.009164017205909855,risk_flag
ORegan2022,LG M50 NMC811-Si,DFN,ORegan2022_DFN_DC03_AC0p5_1p5tauSet,DCAC,0.3,0.5,0.8,1.5,53.575426259434366,0.001980447059455969,504.9364966487421,179.5026589702193,4.570172255272522,-58.36729594933244,-56.1820260867012,-17.513610206176658,10770.159538213158,4.570172255272522,3.692800796658783,0.13912832341872042,0.008316134514993323,risk_flag
ORegan2022,LG M50 NMC811-Si,DFN,ORegan2022_DFN_DC03_AC0p7_1p5tauSet,DCAC,0.3,0.7,1.0,1.5,53.575426259434366,0.001980447059455969,504.9364966487421,128.41604984480176,3.293079416424299,-295.65247937657074,-292.9488525348342,-251.40566090546866,7704.962990688106,3.293079416424299,4.99406315019749,0.12861503856041132,0.01695051413881748,risk_flag
