parameter_set,condition,status,termination,t_end_s,t_end_min,Q_end_Ah,V_end_V,I_charge_min_A,I_charge_max_A,dc_c,ac_c,peak_c,tau_factor_set,error
Chen2020,Chen2020_DFN_DC03,ok,event: Maximum voltage [V],10782.9096067284,179.71516011214,4.4928790028035,4.2,1.5,1.5,0.3,0.0,0.3,,
Chen2020,Chen2020_DFN_DC03_AC0p1_1p5tauSet,ok,event: Maximum voltage [V],10653.155331321417,177.55258885535696,4.441013431660316,4.200000000000078,1.0000000489172183,1.999999989970143,0.3,0.1,0.4,1.5,
Chen2020,Chen2020_DFN_DC03_AC0p2_1p5tauSet,ok,event: Maximum voltage [V],10330.346615405255,172.17244359008757,4.31311479101443,4.200000000000037,0.5000000402675003,2.499999996303929,0.3,0.2,0.5,1.5,
Chen2020,Chen2020_DFN_DC03_AC0p3_1p5tauSet,ok,event: Maximum voltage [V],9661.819662433849,161.0303277072308,4.045353228491462,4.200000000000001,9.853115390257017e-08,2.9999998873219353,0.3,0.3,0.6,1.5,
Chen2020,Chen2020_DFN_DC03_AC0p36_1p5tauSet,ok,event: Maximum voltage [V],9325.524778384002,155.4254129730667,3.91212289706403,4.200000000000001,-0.29999998139726136,3.2999999880804634,0.3,0.36,0.6599999999999999,1.5,
Chen2020,Chen2020_DFN_DC03_AC0p38_1p5tauSet,ok,event: Maximum voltage [V],9317.81366486385,155.2968944143975,3.9063328318012034,4.200000000000002,-0.39999999904801364,3.399999857274451,0.3,0.38,0.6799999999999999,1.5,
Chen2020,Chen2020_DFN_DC03_AC0p4_1p5tauSet,ok,event: Maximum voltage [V],9312.498816661673,155.20831361102788,3.9024939672633794,4.200000000000002,-0.4999999627173102,3.49999984976258,0.3,0.4,0.7,1.5,
Chen2020,Chen2020_DFN_DC03_AC0p5_1p5tauSet,ok,event: Maximum voltage [V],8975.428074158153,149.59046790263588,3.7711499740918777,4.200000000000076,-0.9999998720823009,3.999999975044356,0.3,0.5,0.8,1.5,
Chen2020,Chen2020_DFN_DC03_AC0p7_1p5tauSet,ok,event: Maximum voltage [V],8627.912610570569,143.79854350950947,3.6339416312270765,4.2,-1.9999999999047784,4.999999988572077,0.3,0.7,1.0,1.5,
Ecker2015,Ecker2015_DFN_DC03,ok,event: Maximum voltage [V],12283.762068441993,204.72936780736654,0.15994481859950418,4.200000000000001,0.046875,0.046875,0.3,0.0,0.3,,
Ecker2015,Ecker2015_DFN_DC03_AC0p1_1p5tauSet,ok,event: Maximum voltage [V],12296.023898567692,204.93373164279487,0.16010458464372826,4.2,0.031250000012697975,0.06249999943259059,0.3,0.1,0.4,1.5,
Ecker2015,Ecker2015_DFN_DC03_AC0p2_1p5tauSet,ok,event: Maximum voltage [V],12172.316180673497,202.8719363445583,0.1586303572481875,4.200000000000038,0.015625000031226046,0.07812499985590407,0.3,0.2,0.5,1.5,
