notebook,cell_index,cell_type,matched_pattern,line_excerpt,status,error
30_microstate_dfn_spme_spm_dcac_audit.ipynb,15,code,Negative electrode reaction overpotential [V],"""Negative electrode reaction overpotential [V]"",",matched,
30_microstate_dfn_spme_spm_dcac_audit.ipynb,15,code,X-averaged negative electrode reaction overpotential [V],"""X-averaged negative electrode reaction overpotential [V]"",",matched,
30_microstate_dfn_spme_spm_dcac_audit.ipynb,15,code,Electrolyte concentration [mol.m-3],"""Electrolyte concentration [mol.m-3]"",",matched,
30_microstate_dfn_spme_spm_dcac_audit.ipynb,15,code,X-averaged electrolyte concentration [mol.m-3],"""X-averaged electrolyte concentration [mol.m-3]"",",matched,
30_microstate_dfn_spme_spm_dcac_audit.ipynb,15,code,Average negative particle surface stoichiometry,"""Average negative particle surface stoichiometry"",",matched,
30_microstate_dfn_spme_spm_dcac_audit.ipynb,15,code,X-averaged negative particle surface stoichiometry,"""X-averaged negative particle surface stoichiometry"",",matched,
30_microstate_dfn_spme_spm_dcac_audit.ipynb,15,code,Maximum negative particle surface stoichiometry,"""Maximum negative particle surface stoichiometry"",",matched,
30_microstate_dfn_spme_spm_dcac_audit.ipynb,15,code,Minimum negative particle surface stoichiometry,"""Minimum negative particle surface stoichiometry"",",matched,
31_negative_electrode_plating_margin_audit.ipynb,7,code,Negative electrode surface potential difference [V],"NE_SURFACE_KEY = ""Negative electrode surface potential difference [V]""",matched,
31_negative_electrode_plating_margin_audit.ipynb,7,code,Negative electrode surface potential difference at separator interface [V],"NE_SEPARATOR_KEY = ""Negative electrode surface potential difference at separator interface [V]""",matched,
31_negative_electrode_plating_margin_audit.ipynb,7,code,X-averaged negative electrode surface potential difference [V],"NE_XAVG_KEY = ""X-averaged negative electrode surface potential difference [V]""",matched,
32_cross_parameter_gain_margin_transfer.ipynb,5,code,Negative electrode surface potential difference [V],"""Negative electrode surface potential difference [V]"",",matched,
32_cross_parameter_gain_margin_transfer.ipynb,5,code,Negative electrode surface potential difference at separator interface [V],"""Negative electrode surface potential difference at separator interface [V]"",",matched,
32_cross_parameter_gain_margin_transfer.ipynb,5,code,X-averaged negative electrode surface potential difference [V],"""X-averaged negative electrode surface potential difference [V]"",",matched,
32_cross_parameter_gain_margin_transfer.ipynb,6,code,Negative electrode surface potential difference [V],"NE_SURFACE_KEY = ""Negative electrode surface potential difference [V]""",matched,
32_cross_parameter_gain_margin_transfer.ipynb,6,code,Negative electrode surface potential difference at separator interface [V],"NE_SEPARATOR_KEY = ""Negative electrode surface potential difference at separator interface [V]""",matched,
32_cross_parameter_gain_margin_transfer.ipynb,6,code,X-averaged negative electrode surface potential difference [V],"NE_XAVG_KEY = ""X-averaged negative electrode surface potential difference [V]""",matched,
