keyword_group,search_term,variable_key
kinetic_state,interfacial current density,Interfacial current density [A.m-2]
kinetic_state,interfacial current density,Negative electrode SEI interfacial current density [A.m-2]
kinetic_state,interfacial current density,Negative electrode SEI on cracks interfacial current density [A.m-2]
kinetic_state,interfacial current density,Negative electrode SEI on cracks volumetric interfacial current density [A.m-3]
kinetic_state,interfacial current density,Negative electrode SEI volumetric interfacial current density [A.m-3]
kinetic_state,interfacial current density,Negative electrode interfacial current density [A.m-2]
kinetic_state,interfacial current density,Negative electrode lithium plating interfacial current density [A.m-2]
kinetic_state,interfacial current density,Negative electrode lithium plating volumetric interfacial current density [A.m-3]
kinetic_state,interfacial current density,Negative electrode volumetric interfacial current density [A.m-3]
kinetic_state,interfacial current density,Positive electrode SEI interfacial current density [A.m-2]
kinetic_state,interfacial current density,Positive electrode SEI on cracks interfacial current density [A.m-2]
kinetic_state,interfacial current density,Positive electrode SEI on cracks volumetric interfacial current density [A.m-3]
kinetic_state,interfacial current density,Positive electrode SEI volumetric interfacial current density [A.m-3]
kinetic_state,interfacial current density,Positive electrode interfacial current density [A.m-2]
kinetic_state,interfacial current density,Positive electrode lithium plating interfacial current density [A.m-2]
kinetic_state,interfacial current density,Positive electrode lithium plating volumetric interfacial current density [A.m-3]
kinetic_state,interfacial current density,Positive electrode volumetric interfacial current density [A.m-3]
kinetic_state,interfacial current density,X-averaged negative electrode SEI interfacial current density [A.m-2]
kinetic_state,interfacial current density,X-averaged negative electrode SEI on cracks interfacial current density [A.m-2]
kinetic_state,interfacial current density,X-averaged negative electrode SEI on cracks volumetric interfacial current density [A.m-3]
kinetic_state,interfacial current density,X-averaged negative electrode SEI volumetric interfacial current density [A.m-3]
kinetic_state,interfacial current density,X-averaged negative electrode interfacial current density [A.m-2]
kinetic_state,interfacial current density,X-averaged negative electrode lithium plating interfacial current density [A.m-2]
kinetic_state,interfacial current density,X-averaged negative electrode lithium plating volumetric interfacial current density [A.m-3]
kinetic_state,interfacial current density,X-averaged negative electrode total interfacial current density [A.m-2]
