t_s,I_charge_A,I_py_A,Q_geom_Ah,AC_C_scheduled,condition
0.0,1.5,-1.5,0.0,0.0,Chen2020_DFN_Day34_DC03
0.5,1.5,-1.5,0.00020833333333333335,0.0,Chen2020_DFN_Day34_DC03
1.0,1.5,-1.5,0.0004166666666666667,0.0,Chen2020_DFN_Day34_DC03
1.5,1.5,-1.5,0.000625,0.0,Chen2020_DFN_Day34_DC03
2.0,1.5,-1.5,0.0008333333333333334,0.0,Chen2020_DFN_Day34_DC03
2.5,1.5,-1.5,0.0010416666666666667,0.0,Chen2020_DFN_Day34_DC03
3.0,1.5,-1.5,0.00125,0.0,Chen2020_DFN_Day34_DC03
3.5,1.5,-1.5,0.0014583333333333334,0.0,Chen2020_DFN_Day34_DC03
4.0,1.5,-1.5,0.0016666666666666668,0.0,Chen2020_DFN_Day34_DC03
4.5,1.5,-1.5,0.001875,0.0,Chen2020_DFN_Day34_DC03
5.0,1.5,-1.5,0.0020833333333333333,0.0,Chen2020_DFN_Day34_DC03
5.5,1.5,-1.5,0.0022916666666666667,0.0,Chen2020_DFN_Day34_DC03
6.0,1.5,-1.5,0.0025,0.0,Chen2020_DFN_Day34_DC03
6.5,1.5,-1.5,0.0027083333333333334,0.0,Chen2020_DFN_Day34_DC03
7.0,1.5,-1.5,0.002916666666666667,0.0,Chen2020_DFN_Day34_DC03
7.5,1.5,-1.5,0.003125,0.0,Chen2020_DFN_Day34_DC03
8.0,1.5,-1.5,0.0033333333333333335,0.0,Chen2020_DFN_Day34_DC03
8.5,1.5,-1.5,0.0035416666666666665,0.0,Chen2020_DFN_Day34_DC03
9.0,1.5,-1.5,0.00375,0.0,Chen2020_DFN_Day34_DC03
9.5,1.5,-1.5,0.003958333333333334,0.0,Chen2020_DFN_Day34_DC03
10.0,1.5,-1.5,0.004166666666666667,0.0,Chen2020_DFN_Day34_DC03
10.5,1.5,-1.5,0.004375,0.0,Chen2020_DFN_Day34_DC03
11.0,1.5,-1.5,0.004583333333333333,0.0,Chen2020_DFN_Day34_DC03
