protocol_id,Q_Ah,t_false_s,t_differential_s,delta_t_differential_minus_false_s,neg_avg_sto_false,neg_avg_sto_differential,delta_neg_avg_sto_diff_minus_false,neg_surface_sto_xavg_false,neg_surface_sto_xavg_differential,delta_neg_surface_sto_xavg_diff_minus_false,neg_surface_sto_range_false,neg_surface_sto_range_differential,delta_neg_surface_sto_range_diff_minus_false,pos_avg_sto_false,pos_avg_sto_differential,delta_pos_avg_sto_diff_minus_false,U_NE_min_mV_false,U_NE_min_mV_differential,delta_U_NE_min_mV_diff_minus_false,eta_n_V_false,eta_n_V_differential,delta_eta_n_V_diff_minus_false,c_e_range_molm3_false,c_e_range_molm3_differential,delta_c_e_range_molm3_diff_minus_false
DC03,0.2,479.9999999999992,479.99999999999943,2.2737367544323206e-13,0.10487875974534007,0.10487249252342801,-6.267221912062415e-06,0.10982824912880139,0.10982148597035687,-6.763158444514361e-06,0.00459436958194458,0.004595000069255944,6.304873113637324e-07,0.8015647773936018,0.8015654989710324,7.215774305846523e-07,314.6922874093739,314.7224447291002,0.030157319726299647,-0.04988222991147024,-0.04987528252726407,6.947384206167084e-06,351.3687757808939,351.5215783212581,0.15280254036423457
DC03,0.241090906158764,578.6181747810327,578.6181747810328,1.1368683772161603e-13,0.1119298270643302,0.11192282572329121,-7.00134103899519e-06,0.11687952307719666,0.11687200699772295,-7.516079473718351e-06,0.004720180650241817,0.004720732744624068,5.520943822511643e-07,0.7968591650110893,0.7968599685468697,8.035357803581888e-07,291.7427986367943,291.7762841637571,0.03348552696280649,-0.048855561771978834,-0.04884815849275711,7.403279221725179e-06,352.34895355142413,352.51455457297243,0.16560102154829792
DC03,0.282181812317528,677.2363495620662,677.236349562066,-1.1368683772161603e-13,0.11898089438332198,0.11897315888156752,-7.735501754452256e-06,0.12393062172436704,0.123922375127603,-8.246596764044378e-06,0.004860571674586616,0.00486066022794237,8.855335575409795e-08,0.7921535526285767,0.792154435311017,8.826824403618261e-07,268.8138489025371,268.84942715343186,0.035578250894786834,-0.0479025680254918,-0.047894858024284975,7.710001206827355e-06,352.7593517587967,352.9364692662678,0.17711750747110955
DC03,0.323272718476292,775.8545243430993,775.8545243431,6.821210263296962e-13,0.12603196170232137,0.12602353022741386,-8.431474907505399e-06,0.13098169370290727,0.13097278366301232,-8.910039894949318e-06,0.005129041131829215,0.005128627099765693,-4.1403206352177285e-07,0.7874479402460586,0.7874489000837906,9.598377320729767e-07,247.09944482373203,247.13486384186646,0.0354190181344336,-0.047014169741000096,-0.04700641461679826,7.755124201834496e-06,352.61218473101013,352.8012246066153,0.1890398756051468
DC03,0.364363624635056,874.4726991241325,874.4726991241331,5.684341886080801e-13,0.1330830290213164,0.13307397957949227,-9.0494418241438e-06,0.13803276171487577,0.13802329254630846,-9.469168567310948e-06,0.0056082536717041685,0.005607222119968909,-1.0315517352593381e-06,0.7827423278635434,0.7827433634211951,1.0355576517406817e-06,227.83882542617528,227.87172813992882,0.03290271375354337,-0.046183122761296484,-0.04617555707968127,7.565681615216702e-06,352.01501549200543,352.2153553995387,0.20033990753324815
DC03,0.40545453079382,973.0908739051673,973.0908739051667,-5.684341886080801e-13,0.14013409634030632,0.1401245329398169,-9.56340048943738e-06,0.14508382913729986,0.1450739202015181,-9.908935781760553e-06,0.006351015402483446,0.006349400428043337,-1.6149744401089405e-06,0.7780367154810325,0.7780378257160473,1.1102350148117779e-06,211.83822748537395,211.86704489998303,0.028817414609079606,-0.045403503021748934,-0.04539627389629141,7.2291254575237995e-06,351.0988311108926,351.30898145586,0.2101503449674169
DC03,0.446545436952584,1071.7090486862,1071.7090486862,0.0,0.14718516365927867,0.14717519632481388,-9.967334464788813e-06,0.15213489647157258,0.15212465946299505,-1.0237008577523854e-05,0.0073858545707254355,0.007383714173869094,-2.1403968563414935e-06,0.7733311030985328,0.7733322872533902,1.1841548573920946e-06,199.2799431463361,199.30418391224592,0.02424076590980917,-0.044670616371584974,-0.04466376898820653,6.847383378444372e-06,349.98457686907216,350.20246761586037,0.21789074678821407
DC03,0.48763634311134796,1170.3272234672336,1170.3272234672331,-4.547473508864641e-13,0.15423623097817757,0.15422595949722057,-1.0271480957002588e-05,0.1591859637927043,0.1591754900730711,-1.047371963319721e-05,0.008717953937526248,0.008715357493973407,-2.5964435528408325e-06,0.768625490716082,0.7686267482438481,1.2575277661408535e-06,189.83919718086977,189.85925168866592,0.02005450779614648,-0.04398118961615697,-0.04397469273118227,6.496884974699357e-06,348.7836746016264,349.0068672418145,0.223192640188131
DC03,0.5287272492701119,1268.9453982482664,1268.945398248266,-4.547473508864641e-13,0.1612872982971399,0.16127680364040084,-1.049465673905181e-05,0.16623703111207958,0.16622638814521318,-1.0642966866397652e-05,0.010327471697534747,0.010324605573973269,-2.866123561477696e-06,0.7639198783335892,0.7639212088448873,1.3305112981365497e-06,182.9237831933894,182.94043450656875,0.0166513131793522,-0.04333338002410662,-0.0433271669987393,6.213025367317326e-06,347.6051335949821,347.8314085461446,0.22627495116250884
DC03,0.5698181554288759,1367.5635730293009,1367.5635730293,-9.094947017729282e-13,0.16833836561618648,0.1683277082106902,-1.0657405496272698e-05,0.17328809843122706,0.17327733254485408,-1.0765886372970934e-05,0.012170058561529161,0.012166425654054347,-3.6329074748139845e-06,0.7592142659510398,0.7592156691759178,1.4032248779605183e-06,177.88791066481997,177.90206760040638,0.01415693558641351,-0.04272653851468855,-0.04272052487536675,6.013639321802988e-06,346.5556262841101,346.7828784483821,0.22725216427204487
DC03,0.6109090615876399,1466.1817478103346,1466.1817478103333,-1.3642420526593924e-12,0.17538943293529743,0.17537865475869138,-1.0778176606052181e-05,0.18033916575039596,0.1803283064530495,-1.0859297346454966e-05,0.014177532875545035,0.014173673497582388,-3.859377962647445e-06,0.7545086535684474,0.7545101293286594,1.4757602119219726e-06,174.15187415249014,174.1643175744928,0.012443422002661464,-0.042160540821226264,-0.042154667558815216,5.873262411047742e-06,345.7304817908442,345.95807456385535,0.22759277301116754
DC03,0.6519999677464039,1564.7999225913693,1564.7999225913663,-2.9558577807620168e-12,0.1824405002541491,0.18242962838128993,-1.0871872859169462e-05,0.18739023306909428,0.1873792975236573,-1.0935545436963068e-05,0.016266281274505162,0.016262521687511917,-3.75958699324469e-06,0.7498030411860286,0.7498045893758821,1.548189853539661e-06,171.24755565032135,171.25892217641626,0.011366526094917617,-0.04163514564266946,-0.04162936023868286,5.785403986595383e-06,345.2066720666113,345.43422585378914,0.2275537871778397
DC03,0.693090873905168,1663.418097372403,1663.4180973724006,-2.5011104298755527e-12,0.1894915675729863,0.18948061770447186,-1.0949868514437133e-05,0.19444130038780405,0.19443029674031298,-1.100364749107019e-05,0.018344313559604447,0.018340456302044346,-3.8572575601011905e-06,0.7450974288036193,0.7450990493768236,1.6205732042973153e-06,168.81812480036857,168.82888945082345,0.01076465045488817,-0.041149386780626344,-0.04114364442197803,5.74235864831546e-06,345.03632245366623,345.26362856803803,0.2273061143717996
DC03,0.7341817800639319,1762.0362721534368,1762.0362721534339,-2.9558577807620168e-12,0.19654263489205467,0.19653161431933244,-1.1020572722231226e-05,0.20149236770706963,0.20148129766121786,-1.107004585176874e-05,0.020319180738091937,0.020315345869546576,-3.8348685453618025e-06,0.7403918164210552,0.7403935093810643,1.6929600090698216e-06,166.60049356211758,166.61101637450622,0.010522812388643388,-0.040701238718209146,-0.04069550678552822,5.731932680927421e-06,345.24350845122467,345.47037550963483,0.2268670584101642
DC03,0.775272686222696,1860.654446934473,1860.6544469344674,-5.6843418860808015e-12,0.2035937022110461,0.2035826121116456,-1.109009940050698e-05,0.2085434350260543,0.2085322956973991,-1.1139328655207503e-05,0.022107174952724764,0.02210356401106884,-3.610941655924488e-06,0.7356862040385432,0.7356879694324059,1.7653938626516208e-06,164.40449551794066,164.4150130886862,0.01051757074554871,-0.0402875551817844,-0.0402818167501249,5.738431659504939e-06,345.82130396274215,346.0486956819194,0.22739171917726253
DC03,0.8163635923814598,1959.2726217155052,1959.2726217155002,-5.002220859751105e-12,0.21064476953004105,0.21063360668857214,-1.1162841468903562e-05,0.21559450234505756,0.2155832876057086,-1.1214739348952563e-05,0.023641045312973577,0.023637761335934305,-3.2839770392721623e-06,0.7309805916560288,0.7309824295716065,1.8379155777292766e-06,162.094912611237,162.10559998533236,0.010687374095368796,-0.03990426504845713,-0.03989850856044393,5.756488013201888e-06,346.7337285135379,346.96235133169273,0.228622818154804
DC03,0.8574544985402239,2057.8907964965388,2057.8907964965333,-5.4569682106375694e-12,0.21769583684903193,0.21768459495236261,-1.1241896669317297e-05,0.22264556966403826,0.22263427115827977,-1.1298505758483568e-05,0.024875686593575422,0.02487281522850917,-2.8713650662530454e-06,0.7262749792735158,0.7262768898386712,1.9105651554163217e-06,159.5780966266614,159.58908543415492,0.010988807493532704,-0.039546788071763914,-0.039541006142104713,5.781929659200158e-06,347.91562007574015,348.14611341933454,0.23049334359438944
DC03,0.8985454046989878,2156.508971277571,2156.5089712775675,-3.637978807091713e-12,0.2247469041680275,0.22473557481490197,-1.1329353125533181e-05,0.22969663698303908,0.22968524495146503,-1.139203157404789e-05,0.025791981528909918,0.025789557884173666,-2.4236447362518954e-06,0.7215693668910016,0.7215713502747033,1.9833837017202427e-06,156.7928427952618,156.80421956723995,0.011376771978149236,-0.03921054765350822,-0.03920473734896769,5.810304540526667e-06,349.2768581828168,349.50976839240013,0.23291020958333775
DC03,0.9396363108577519,2255.1271460586063,2255.1271460586013,-5.002220859751105e-12,0.23179797148701847,0.23178654501997817,-1.1426467040304145e-05,0.23674770430203157,0.23673620830218625,-1.1495999845317906e-05,0.026397232138786027,0.026395265502691723,-1.96663609430478e-06,0.716863754508489,0.7168658109236655,2.0564151764768113e-06,153.70443052738514,153.7162626729174,0.01183214553225298,-0.03889149354431083,-0.03888565333322593,5.840211084899571e-06,350.71020369088427,350.94591436035074,0.2357106694664708
