variant_id,surface_form,protocol_id,condition,case_role,min_U_NE_mV,margin_class,fraction_time_below_50mV,fraction_time_below_0mV,Q_end_Ah,Q_at_min_U_NE_Ah,t_at_min_U_NE_s,I_charge_at_min_U_NE_A,I_charge_peak_observed_A,V_terminal_at_min_U_NE_V,c_e_range_at_min_U_NE_molm3,max_c_e_range_molm3,neg_avg_sto_at_min_U_NE,neg_surface_sto_xavg_at_min_U_NE,neg_surface_sto_range_at_min_U_NE,eta_n_at_min_U_NE_V,neg_cap_current_abs_max,pos_cap_current_abs_max
surface_form_false,false,DC03,Chen2020_DFN_Day36_surface_form_false_DC03,dc_reference,37.28056183906979,near_boundary,0.21983715766099185,0.0,4.4928790028035,4.4928790028035,10782.9096067284,1.5,1.5,4.2,354.11854862261725,377.86842281485883,0.8415229876453134,0.8464727204603096,0.11671652965597157,-0.04531043975666531,,
surface_form_false,false,fixed_AC0p38,Chen2020_DFN_Day36_surface_form_false_fixed_AC0p38,fixed_near_boundary,0.5656856544375326,near_boundary,0.143701991706886,0.0,3.9065085913724236,3.9065085913724236,9318.002844598159,3.3741398314382796,3.3999912821600367,4.20000000000005,623.7327186682746,747.6848433551694,0.740809083021124,0.7499914965910988,0.12683400687991409,-0.07321158460629495,,
surface_form_false,false,fixed_AC0p7,Chen2020_DFN_Day36_surface_form_false_fixed_AC0p7,fixed_stress,-25.30820344967092,risk_flag,0.2201935483870968,0.03948387096774193,3.633944665066004,3.523653313277779,8309.073455128717,4.9533672638038935,4.999984249864502,4.194776116962791,961.3940093992884,1054.0890622244815,0.6753871275863358,0.6893967778115144,0.13326621568460062,-0.09141658227888828,,
surface_form_false,false,sched_v2_conservative,Chen2020_DFN_Day36_surface_form_false_sched_v2_conservative,day35_primary_candidate,24.160262360136276,near_boundary,0.2251685393258427,0.0,4.493120187304324,3.069916043894553,7284.636651267668,3.3592854112648913,3.3999912821600367,4.043494770243527,733.2190244804582,747.6848433551694,0.5972503880263171,0.6071673849404196,0.09408751428154627,-0.06891482036589446,,
surface_form_differential,differential,DC03,Chen2020_DFN_Day36_surface_form_differential_DC03,dc_reference,37.28761292474869,near_boundary,0.21797276359781456,0.0,4.492631273386985,4.492631273386985,10782.315056128758,1.5,1.5,4.2,354.1961868384236,378.0682564811186,0.8414653240545134,0.8464150401908688,0.11670917660800051,-0.04530381633544566,,
surface_form_differential,differential,fixed_AC0p38,Chen2020_DFN_Day36_surface_form_differential_fixed_AC0p38,fixed_near_boundary,0.63810182499624,near_boundary,0.1475897064153679,0.0,3.9062680327652295,3.9062680327652295,9317.73502209376,3.3725207437590337,3.3999943057953246,4.20000000000005,622.5405926660903,748.3951136031965,0.740723044085895,0.749889722384403,0.12680774186083066,-0.0731688561236985,,
surface_form_differential,differential,fixed_AC0p7,Chen2020_DFN_Day36_surface_form_differential_fixed_AC0p7,fixed_stress,-25.265352161007893,risk_flag,0.2282362626054744,0.04068052411332922,3.6340267382812095,3.523351604471844,8308.847478650103,4.955662969438756,4.999975279313747,4.1944351281636525,960.8068179608555,1054.7302255009663,0.6750079172790788,0.6890047099478503,0.13286295401110815,-0.09141044528562857,,
surface_form_differential,differential,sched_v2_conservative,Chen2020_DFN_Day36_surface_form_differential_sched_v2_conservative,day35_primary_candidate,24.18069170781806,near_boundary,0.2350438892640108,0.0,4.493141609102092,3.0698213068745495,7284.527388714857,3.3600600508046314,3.3999943057953246,4.043587152457927,733.5270229083371,748.3951136031965,0.5971751768755829,0.6070909614358488,0.0941013913404275,-0.06891967606785492,,
surface_form_algebraic,algebraic,DC03,Chen2020_DFN_Day36_surface_form_algebraic_DC03,dc_reference,37.2888073116287,near_boundary,0.21927809680065627,0.0,4.492530770023074,4.492530770023074,10782.073848055421,1.5,1.5,4.2,354.2350172942107,378.0274258700267,0.8414632320233043,0.8464129648383308,0.11670960533429364,-0.04530249585348365,,
surface_form_algebraic,algebraic,fixed_AC0p38,Chen2020_DFN_Day36_surface_form_algebraic_fixed_AC0p38,fixed_near_boundary,0.6580409429604028,near_boundary,0.14845000727696114,0.0,3.9060762462164598,3.9060762462164598,9317.532185606333,3.3712931604210636,3.399994365594505,4.2,622.1684451093736,748.1961657896674,0.7408233559453521,0.7499824126407278,0.12681351377971117,-0.0731562577790719,,
surface_form_algebraic,algebraic,fixed_AC0p7,Chen2020_DFN_Day36_surface_form_algebraic_fixed_AC0p7,fixed_stress,-25.271413495145502,risk_flag,0.22922557065029997,0.0408937314667954,3.6339329664817908,3.523352883892562,8308.849232023911,4.955645820229538,4.9999757921594075,4.1944599123584485,960.8328974461688,1054.6104142286483,0.6750200427947092,0.6890175330760984,0.13286053668759967,-0.09141361736702905,,
surface_form_algebraic,algebraic,sched_v2_conservative,Chen2020_DFN_Day36_surface_form_algebraic_sched_v2_conservative,day35_primary_candidate,24.138606839249952,near_boundary,0.23630694143167028,0.0,4.49235916427912,3.0698187274918993,7284.525892431656,3.360070659014859,3.399994365594505,4.043736404534027,733.2804300629153,748.1961657896674,0.5973000961742502,0.6072146210757585,0.09404108323037597,-0.06892295545181956,,
