variant_id,surface_form,condition,parameter_set,model_type,dc_c,tau_factor_set,tau_ref_set_s,f_Hz,period_s,protocol_id,protocol_type,case_role,schedule_type,fixed_ac_c,early_ac_c,mid_ac_c,late_ac_c,qfrac_derate,qfrac_ac_off,peak_c_nominal
surface_form_false,false,Chen2020_DFN_Day36_surface_form_false_DC03,Chen2020,DFN,0.3,1.5,36.316532231592305,0.002921625190367048,342.27525258788194,DC03,DC,dc_reference,constant,0.0,0.0,0.0,0.0,,,0.3
surface_form_false,false,Chen2020_DFN_Day36_surface_form_false_fixed_AC0p38,Chen2020,DFN,0.3,1.5,36.316532231592305,0.002921625190367048,342.27525258788194,fixed_AC0p38,DCAC,fixed_near_boundary,constant,0.38,0.38,0.38,0.38,,,0.6799999999999999
surface_form_false,false,Chen2020_DFN_Day36_surface_form_false_fixed_AC0p7,Chen2020,DFN,0.3,1.5,36.316532231592305,0.002921625190367048,342.27525258788194,fixed_AC0p7,DCAC,fixed_stress,constant,0.7,0.7,0.7,0.7,,,1.0
surface_form_false,false,Chen2020_DFN_Day36_surface_form_false_sched_v2_conservative,Chen2020,DFN,0.3,1.5,36.316532231592305,0.002921625190367048,342.27525258788194,sched_v2_conservative,DCAC_SCHEDULED,day35_primary_candidate,qfrac_time_proxy,,0.38,0.1,0.0,0.7,0.8,0.6799999999999999
surface_form_differential,differential,Chen2020_DFN_Day36_surface_form_differential_DC03,Chen2020,DFN,0.3,1.5,36.316532231592305,0.002921625190367048,342.27525258788194,DC03,DC,dc_reference,constant,0.0,0.0,0.0,0.0,,,0.3
surface_form_differential,differential,Chen2020_DFN_Day36_surface_form_differential_fixed_AC0p38,Chen2020,DFN,0.3,1.5,36.316532231592305,0.002921625190367048,342.27525258788194,fixed_AC0p38,DCAC,fixed_near_boundary,constant,0.38,0.38,0.38,0.38,,,0.6799999999999999
surface_form_differential,differential,Chen2020_DFN_Day36_surface_form_differential_fixed_AC0p7,Chen2020,DFN,0.3,1.5,36.316532231592305,0.002921625190367048,342.27525258788194,fixed_AC0p7,DCAC,fixed_stress,constant,0.7,0.7,0.7,0.7,,,1.0
surface_form_differential,differential,Chen2020_DFN_Day36_surface_form_differential_sched_v2_conservative,Chen2020,DFN,0.3,1.5,36.316532231592305,0.002921625190367048,342.27525258788194,sched_v2_conservative,DCAC_SCHEDULED,day35_primary_candidate,qfrac_time_proxy,,0.38,0.1,0.0,0.7,0.8,0.6799999999999999
surface_form_algebraic,algebraic,Chen2020_DFN_Day36_surface_form_algebraic_DC03,Chen2020,DFN,0.3,1.5,36.316532231592305,0.002921625190367048,342.27525258788194,DC03,DC,dc_reference,constant,0.0,0.0,0.0,0.0,,,0.3
surface_form_algebraic,algebraic,Chen2020_DFN_Day36_surface_form_algebraic_fixed_AC0p38,Chen2020,DFN,0.3,1.5,36.316532231592305,0.002921625190367048,342.27525258788194,fixed_AC0p38,DCAC,fixed_near_boundary,constant,0.38,0.38,0.38,0.38,,,0.6799999999999999
surface_form_algebraic,algebraic,Chen2020_DFN_Day36_surface_form_algebraic_fixed_AC0p7,Chen2020,DFN,0.3,1.5,36.316532231592305,0.002921625190367048,342.27525258788194,fixed_AC0p7,DCAC,fixed_stress,constant,0.7,0.7,0.7,0.7,,,1.0
surface_form_algebraic,algebraic,Chen2020_DFN_Day36_surface_form_algebraic_sched_v2_conservative,Chen2020,DFN,0.3,1.5,36.316532231592305,0.002921625190367048,342.27525258788194,sched_v2_conservative,DCAC_SCHEDULED,day35_primary_candidate,qfrac_time_proxy,,0.38,0.1,0.0,0.7,0.8,0.6799999999999999
