variant_id,surface_form,protocol_id,delta_vs_false_t_end_min,delta_vs_false_Q_end_Ah,delta_vs_false_min_U_NE_mV,delta_vs_false_fraction_below_0mV,delta_vs_false_delta_t_raw_mean_s,delta_vs_false_delta_t_resid_mean_s,delta_vs_false_resid_abs_mean_s,delta_vs_false_max_c_e_range_molm3,delta_vs_false_neg_avg_sto_at_min,delta_vs_false_neg_surface_sto_at_min,delta_vs_false_eta_n_at_min_V
surface_form_false,false,DC03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
surface_form_false,false,fixed_AC0p38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
surface_form_false,false,fixed_AC0p7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
surface_form_false,false,sched_v2_conservative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
surface_form_differential,differential,DC03,-0.009909176660698904,-0.00024772941651463043,0.00705108567890278,0.0,0.0,0.0,0.0,0.19983366625979215,-5.7663590800061115e-05,-5.768026944086291e-05,6.623421219646708e-06
surface_form_differential,differential,fixed_AC0p38,-0.004463708406660771,-0.00024055860719407463,0.07241617055870742,0.0,0.040676033429022596,0.005221168181869872,-0.005173368315874996,0.7102702480270864,-8.603893522907136e-05,-0.00010177420669577053,4.2728482596454676e-05
surface_form_differential,differential,fixed_AC0p7,-0.003766274643567158,8.207321520536937e-05,0.042851288663026565,0.0011966531455872842,0.06212698649304116,0.004441031414505685,-0.004441031414505685,0.6411632764848036,-0.0003792103072569608,-0.00039206786366408064,6.136993259714396e-06
surface_form_differential,differential,sched_v2_conservative,-0.0018210425468510039,2.1421797767651185e-05,0.020429347681783838,0.0,0.034910307810761765,0.005935035545498976,-0.005887235679504102,0.7102702480270864,-7.521115073427787e-05,-7.642350457071068e-05,-4.855701960460035e-06
surface_form_algebraic,algebraic,DC03,-0.01392931121631591,-0.00034823278042583894,0.008245472558911615,0.0,0.0,0.0,0.0,0.1590030551678865,-5.975562200910556e-05,-5.975562197879647e-05,7.943903181657774e-06
surface_form_algebraic,algebraic,fixed_AC0p38,-0.007844316530452033,-0.0004323451559637981,0.09235528852287023,0.0,-0.0013708566181236392,0.003690178291832923,-0.0036697476817624877,0.5113224344979699,1.427292422806481e-05,-9.083950370913918e-06,5.532682722304838e-05
surface_form_algebraic,algebraic,fixed_AC0p7,-0.003737051746782072,-1.1698584213348795e-05,0.036789954525417556,0.0014098604990534641,-0.004108742248718045,0.004113390761446567,-0.004113390761446567,0.5213520041668289,-0.0003670847916266151,-0.0003792447354160622,2.9649118592350865e-06
surface_form_algebraic,algebraic,sched_v2_conservative,-0.0018459806001942525,-0.0007610230252046435,-0.021655520886323387,0.0,7.00750322124577e-05,0.004207519170556111,-0.0041870885604856755,0.5113224344979699,4.970814793303635e-05,4.723613533896831e-05,-8.1350859251067e-06
