variant_id,surface_form,protocol_id,condition,case_role,status,termination,t_end_s,t_end_min,Q_end_Ah,V_end_V,I_charge_min_A,I_charge_max_A,error
surface_form_false,false,DC03,Chen2020_DFN_Day36_surface_form_false_DC03,dc_reference,ok,event: Maximum voltage [V],10782.9096067284,179.71516011214,4.4928790028035,4.2,1.5,1.5,
surface_form_false,false,fixed_AC0p38,Chen2020_DFN_Day36_surface_form_false_fixed_AC0p38,fixed_near_boundary,ok,event: Maximum voltage [V],9318.002844598159,155.30004740996932,3.9065085913724236,4.20000000000005,-0.39998718028576485,3.3999912821600367,
surface_form_false,false,fixed_AC0p7,Chen2020_DFN_Day36_surface_form_false_fixed_AC0p7,fixed_stress,ok,event: Maximum voltage [V],8627.927468069152,143.79879113448587,3.633944665066004,4.200000000000195,-1.9999721485058215,4.999984249864502,
surface_form_false,false,sched_v2_conservative,Chen2020_DFN_Day36_surface_form_false_sched_v2_conservative,day35_primary_candidate,ok,event: Maximum voltage [V],10767.715805648846,179.46193009414745,4.493120187304324,4.200000000000001,-0.39998718028576485,3.3999912821600367,
surface_form_differential,differential,DC03,Chen2020_DFN_Day36_surface_form_differential_DC03,dc_reference,ok,event: Maximum voltage [V],10782.315056128758,179.7052509354793,4.492631273386985,4.2,1.5,1.5,
surface_form_differential,differential,fixed_AC0p38,Chen2020_DFN_Day36_surface_form_differential_fixed_AC0p38,fixed_near_boundary,ok,event: Maximum voltage [V],9317.73502209376,155.29558370156266,3.9062680327652295,4.20000000000005,-0.399992251997079,3.3999943057953246,
surface_form_differential,differential,fixed_AC0p7,Chen2020_DFN_Day36_surface_form_differential_fixed_AC0p7,fixed_stress,ok,event: Maximum voltage [V],8627.980703114266,143.79967838523777,3.6340267382812095,4.2,-1.9999768075984374,4.999975279313747,
surface_form_differential,differential,sched_v2_conservative,Chen2020_DFN_Day36_surface_form_differential_sched_v2_conservative,day35_primary_candidate,ok,event: Maximum voltage [V],10767.749745798874,179.46249576331456,4.493141609102092,4.200000000000011,-0.399992251997079,3.3999943057953246,
surface_form_algebraic,algebraic,DC03,Chen2020_DFN_Day36_surface_form_algebraic_DC03,dc_reference,ok,event: Maximum voltage [V],10782.073848055421,179.7012308009237,4.492530770023074,4.2,1.5,1.5,
surface_form_algebraic,algebraic,fixed_AC0p38,Chen2020_DFN_Day36_surface_form_algebraic_fixed_AC0p38,fixed_near_boundary,ok,event: Maximum voltage [V],9317.532185606333,155.29220309343887,3.9060762462164598,4.2,-0.39999213205505396,3.399994365594505,
surface_form_algebraic,algebraic,fixed_AC0p7,Chen2020_DFN_Day36_surface_form_algebraic_fixed_AC0p7,fixed_stress,ok,event: Maximum voltage [V],8627.91233732067,143.7985389553445,3.6339329664817908,4.200000000000001,-1.9999850228344522,4.9999757921594075,
surface_form_algebraic,algebraic,sched_v2_conservative,Chen2020_DFN_Day36_surface_form_algebraic_sched_v2_conservative,day35_primary_candidate,ok,event: Maximum voltage [V],10765.876316821612,179.43127194702686,4.49235916427912,4.2000000000000135,-0.39999213205505396,3.399994365594505,
