variant_id,surface_form,search_term,variable_key
surface_form_false,false,capac,Discharge capacity [A.h]
surface_form_false,false,capac,Loss of capacity to negative SEI [A.h]
surface_form_false,false,capac,Loss of capacity to negative SEI on cracks [A.h]
surface_form_false,false,capac,Loss of capacity to negative lithium plating [A.h]
surface_form_false,false,capac,Loss of capacity to positive SEI [A.h]
surface_form_false,false,capac,Loss of capacity to positive SEI on cracks [A.h]
surface_form_false,false,capac,Loss of capacity to positive lithium plating [A.h]
surface_form_false,false,capac,Negative electrode capacity [A.h]
surface_form_false,false,capac,Positive electrode capacity [A.h]
surface_form_false,false,capac,Throughput capacity [A.h]
surface_form_false,false,capac,Total capacity lost to side reactions [A.h]
surface_form_false,false,capac,Total lithium capacity [A.h]
surface_form_false,false,capac,Total lithium capacity in particles [A.h]
surface_form_false,false,surface potential difference,Negative electrode surface potential difference [V]
surface_form_false,false,surface potential difference,Negative electrode surface potential difference at separator interface [V]
surface_form_false,false,surface potential difference,Positive electrode surface potential difference [V]
surface_form_false,false,surface potential difference,Positive electrode surface potential difference at separator interface [V]
surface_form_false,false,surface potential difference,X-averaged negative electrode surface potential difference [V]
surface_form_false,false,surface potential difference,X-averaged positive electrode surface potential difference [V]
surface_form_false,false,interfacial current,Interfacial current density [A.m-2]
surface_form_false,false,interfacial current,Negative electrode SEI interfacial current density [A.m-2]
surface_form_false,false,interfacial current,Negative electrode SEI on cracks interfacial current density [A.m-2]
surface_form_false,false,interfacial current,Negative electrode SEI on cracks volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current,Negative electrode SEI volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current,Negative electrode interfacial current density [A.m-2]
surface_form_false,false,interfacial current,Negative electrode lithium plating interfacial current density [A.m-2]
surface_form_false,false,interfacial current,Negative electrode lithium plating volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current,Negative electrode volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current,Positive electrode SEI interfacial current density [A.m-2]
surface_form_false,false,interfacial current,Positive electrode SEI on cracks interfacial current density [A.m-2]
surface_form_false,false,interfacial current,Positive electrode SEI on cracks volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current,Positive electrode SEI volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current,Positive electrode interfacial current density [A.m-2]
surface_form_false,false,interfacial current,Positive electrode lithium plating interfacial current density [A.m-2]
surface_form_false,false,interfacial current,Positive electrode lithium plating volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current,Positive electrode volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current,Sum of negative electrode volumetric interfacial current densities [A.m-3]
surface_form_false,false,interfacial current,Sum of positive electrode volumetric interfacial current densities [A.m-3]
surface_form_false,false,interfacial current,Sum of volumetric interfacial current densities [A.m-3]
surface_form_false,false,interfacial current,Sum of x-averaged negative electrode volumetric interfacial current densities [A.m-3]
surface_form_false,false,interfacial current,Sum of x-averaged positive electrode volumetric interfacial current densities [A.m-3]
surface_form_false,false,interfacial current,X-averaged negative electrode SEI interfacial current density [A.m-2]
surface_form_false,false,interfacial current,X-averaged negative electrode SEI on cracks interfacial current density [A.m-2]
surface_form_false,false,interfacial current,X-averaged negative electrode SEI on cracks volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current,X-averaged negative electrode SEI volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current,X-averaged negative electrode interfacial current density [A.m-2]
surface_form_false,false,interfacial current,X-averaged negative electrode lithium plating interfacial current density [A.m-2]
surface_form_false,false,interfacial current,X-averaged negative electrode lithium plating volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current,X-averaged negative electrode total interfacial current density [A.m-2]
surface_form_false,false,interfacial current,X-averaged negative electrode total volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current,X-averaged negative electrode volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current,X-averaged positive electrode SEI interfacial current density [A.m-2]
surface_form_false,false,interfacial current,X-averaged positive electrode SEI on cracks interfacial current density [A.m-2]
surface_form_false,false,interfacial current,X-averaged positive electrode SEI on cracks volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current,X-averaged positive electrode SEI volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current,X-averaged positive electrode interfacial current density [A.m-2]
surface_form_false,false,interfacial current,X-averaged positive electrode lithium plating interfacial current density [A.m-2]
surface_form_false,false,interfacial current,X-averaged positive electrode lithium plating volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current,X-averaged positive electrode total interfacial current density [A.m-2]
surface_form_false,false,interfacial current,X-averaged positive electrode total volumetric interfacial current density [A.m-3]
surface_form_false,false,interfacial current,X-averaged positive electrode volumetric interfacial current density [A.m-3]
surface_form_false,false,overpotential,Battery negative particle concentration overpotential [V]
surface_form_false,false,overpotential,Battery particle concentration overpotential [V]
surface_form_false,false,overpotential,Battery positive particle concentration overpotential [V]
surface_form_false,false,overpotential,Contact overpotential [V]
surface_form_false,false,overpotential,Negative electrode SEI film overpotential [V]
surface_form_false,false,overpotential,Negative electrode lithium plating reaction overpotential [V]
surface_form_false,false,overpotential,Negative electrode reaction overpotential [V]
surface_form_false,false,overpotential,Negative particle concentration overpotential [V]
surface_form_false,false,overpotential,Particle concentration overpotential [V]
surface_form_false,false,overpotential,Positive electrode SEI film overpotential [V]
surface_form_false,false,overpotential,Positive electrode lithium plating reaction overpotential [V]
surface_form_false,false,overpotential,Positive electrode reaction overpotential [V]
surface_form_false,false,overpotential,Positive particle concentration overpotential [V]
surface_form_false,false,overpotential,X-averaged SEI film overpotential [V]
surface_form_false,false,overpotential,X-averaged battery concentration overpotential [V]
surface_form_false,false,overpotential,X-averaged battery negative reaction overpotential [V]
surface_form_false,false,overpotential,X-averaged battery positive reaction overpotential [V]
surface_form_false,false,overpotential,X-averaged battery reaction overpotential [V]
surface_form_false,false,overpotential,X-averaged concentration overpotential [V]
surface_form_false,false,overpotential,X-averaged electrolyte overpotential [V]
surface_form_false,false,overpotential,X-averaged negative electrode SEI film overpotential [V]
surface_form_false,false,overpotential,X-averaged negative electrode lithium plating reaction overpotential [V]
surface_form_false,false,overpotential,X-averaged negative electrode reaction overpotential [V]
surface_form_false,false,overpotential,X-averaged positive electrode SEI film overpotential [V]
surface_form_false,false,overpotential,X-averaged positive electrode lithium plating reaction overpotential [V]
surface_form_false,false,overpotential,X-averaged positive electrode reaction overpotential [V]
surface_form_false,false,overpotential,X-averaged reaction overpotential [V]
surface_form_false,false,electrolyte concentration,Electrolyte concentration [Molar]
surface_form_false,false,electrolyte concentration,Electrolyte concentration [mol.m-3]
