branch_id,branch_type,transport_modification,surface_form,protocol_id,case_role,delta_t_raw_mean_s,delta_t_resid_mean_s,resid_abs_mean_s,dt_resid_class,min_U_NE_mV,margin_class,fraction_time_below_0mV,max_c_e_range_molm3,neg_surface_sto_range_at_min_U_NE,eta_n_at_min_U_NE_V,delta_vs_baseline_raw_mean_s,delta_vs_baseline_resid_mean_s,delta_vs_baseline_resid_abs_mean_s,delta_vs_baseline_min_U_NE_mV,delta_vs_baseline_fraction_below_0mV,delta_vs_baseline_max_c_e_range_molm3,delta_vs_baseline_surface_range_at_min,delta_vs_baseline_eta_n_at_min_V
baseline_default,baseline,default,false,DC03,dc_reference,0.0,0.0,0.0,dc_reference,37.28056183906979,near_boundary,0.0,377.86842281485883,0.11671652965597157,-0.04531043975666531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline_default,baseline,default,false,fixed_AC0p38,near_boundary_baseline,69.35065528421227,-0.012880805599183419,0.012948244713588224,geometry_dominated,0.5656856544375326,near_boundary,0.0,747.6848433551694,0.12683400687991409,-0.07321158460629495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline_default,baseline,default,false,fixed_AC0p7,high_amplitude_stress_control,158.66534902126395,-0.0202187806960967,0.0202187806960967,geometry_dominated,-25.30820344967092,risk_flag,0.03948387096774193,1054.0890622244815,0.13326621568460062,-0.09141658227888828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline_default,baseline,default,false,sched_v2_conservative,day35_primary_candidate,65.68908230737254,-0.01374229563532424,0.013809734749729045,geometry_dominated,24.160262360136276,near_boundary,0.0,747.6848433551694,0.09408751428154627,-0.06891482036589446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
double_layer_differential,double_layer,default,differential,DC03,dc_reference,0.0,0.0,0.0,dc_reference,37.28761292474869,near_boundary,0.0,378.0682564811186,0.11670917660800051,-0.04530381633544566,0.0,0.0,0.0,0.00705108567890278,0.0,0.19983366625979215,-7.35304797105929e-06,6.623421219646708e-06
double_layer_differential,double_layer,default,differential,fixed_AC0p38,near_boundary_baseline,69.39133131764129,-0.007659637417313547,0.007774876397713229,geometry_dominated,0.63810182499624,near_boundary,0.0,748.3951136031965,0.12680774186083066,-0.0731688561236985,0.040676033429022596,0.005221168181869872,-0.005173368315874996,0.07241617055870742,0.0,0.7102702480270864,-2.626501908342682e-05,4.2728482596454676e-05
double_layer_differential,double_layer,default,differential,fixed_AC0p7,high_amplitude_stress_control,158.727476007757,-0.015777749281591015,0.015777749281591015,geometry_dominated,-25.265352161007893,risk_flag,0.04068052411332922,1054.7302255009663,0.13286295401110815,-0.09141044528562857,0.06212698649304116,0.004441031414505685,-0.004441031414505685,0.042851288663026565,0.0011966531455872842,0.6411632764848036,-0.0004032616734924721,6.136993259714396e-06
double_layer_differential,double_layer,default,differential,sched_v2_conservative,day35_primary_candidate,65.7239926151833,-0.0078072600898252634,0.007922499070224943,geometry_dominated,24.18069170781806,near_boundary,0.0,748.3951136031965,0.0941013913404275,-0.06891967606785492,0.034910307810761765,0.005935035545498976,-0.005887235679504102,0.020429347681783838,0.0,0.7102702480270864,1.3877058881228699e-05,-4.855701960460035e-06
transport_flattened,transport_parameterization,flattened,false,DC03,dc_reference,0.0,0.0,0.0,dc_reference,36.49852136074038,near_boundary,0.0,392.0446897233286,0.1268719721761744,-0.04552333711719919,0.0,0.0,0.0,-0.7820404783294137,0.0,14.176266908469756,0.01015544252020284,-0.00021289736053388408
transport_flattened,transport_parameterization,flattened,false,fixed_AC0p38,near_boundary_baseline,69.00398738524468,-0.013290721666779177,0.013373023935794776,geometry_dominated,-1.1519525551269334,risk_flag,0.0026394152680021656,772.7225927986266,0.1355691159931447,-0.0726762849074075,-0.3466678989675813,-0.0004099160675957586,0.0004247792222065519,-1.717638209564466,0.0026394152680021656,25.037749443457187,0.00873510911323061,0.0005352996988874509
transport_flattened,transport_parameterization,flattened,false,fixed_AC0p7,high_amplitude_stress_control,158.09926879066123,-0.021110229223435226,0.021110229223435226,geometry_dominated,-28.479797140760976,risk_flag,0.04835602363216029,1069.6128003697256,0.16854566555154127,-0.09192339101746212,-0.5660802306027222,-0.0008914485273385266,0.0008914485273385266,-3.171593691090056,0.008872152664418355,15.523738145244124,0.03527944986694065,-0.0005068087385738385
transport_flattened,transport_parameterization,flattened,false,sched_v2_conservative,day35_primary_candidate,65.40462258489835,-0.014406986392403382,0.014489288661418982,geometry_dominated,21.281118114046887,near_boundary,0.0,772.7225927986266,0.10945190840730457,-0.06941268735997361,-0.28445972247419604,-0.0006646907570791432,0.0006795539116899365,-2.879144246089389,0.0,25.037749443457187,0.015364394125758296,-0.0004978669940791519
transport_nonlinearity_amplified,transport_parameterization,nonlinearity_amplified,false,DC03,dc_reference,0.0,0.0,0.0,dc_reference,35.62190120213421,near_boundary,0.0,402.3720481971054,0.13732534486798842,-0.04570356323018783,0.0,0.0,0.0,-1.6586606369355792,0.0,24.503625382246582,0.02060881521201685,-0.00039312347352252197
transport_nonlinearity_amplified,transport_parameterization,nonlinearity_amplified,false,fixed_AC0p38,near_boundary_baseline,68.99375095900523,-0.013573057241323454,0.013573057241323454,geometry_dominated,-4.104669177037486,risk_flag,0.007946663074954542,815.4348812613541,0.15859559769531628,-0.07268475275178511,-0.3569043252070401,-0.0006922516421400352,0.0006248125277352294,-4.670354831475019,0.007946663074954542,67.75003790618473,0.031761590815402196,0.0005268318545098433
transport_nonlinearity_amplified,transport_parameterization,nonlinearity_amplified,false,fixed_AC0p7,high_amplitude_stress_control,160.20815294619837,-0.022664461197617242,0.022664461197617242,geometry_dominated,-34.20465132060971,risk_flag,0.061412756984712706,1158.7710743850453,0.23701717855517956,-0.092640294702034,1.542803924934418,-0.0024456805015205425,0.0024456805015205425,-8.896447870938793,0.021928886016970774,104.68201216056377,0.10375096287057894,-0.0012237124231457147
transport_nonlinearity_amplified,transport_parameterization,nonlinearity_amplified,false,sched_v2_conservative,day35_primary_candidate,66.4397258301521,-0.014325619228688424,0.014325619228688424,geometry_dominated,16.743399776952458,near_boundary,0.0,815.4348812613541,0.13216436888310212,-0.06975922855161593,0.7506435227795549,-0.0005833235933641844,0.0005158844789593785,-7.416862583183818,0.0,67.75003790618473,0.038076854601555854,-0.0008444081857214708
combined_sensitivity,combined,nonlinearity_amplified,differential,DC03,dc_reference,0.0,0.0,0.0,dc_reference,35.63246264023545,near_boundary,0.0,402.44076605891723,0.1372811984463258,-0.045694604353510776,0.0,0.0,0.0,-1.6480991988343376,0.0,24.572343244058402,0.020564668790354235,-0.0003841645968454682
combined_sensitivity,combined,nonlinearity_amplified,differential,fixed_AC0p38,near_boundary_baseline,69.64972734780905,-0.009338494219142035,0.009455484014061426,geometry_dominated,-4.090364430967108,risk_flag,0.008393797126191493,815.723357222357,0.15857218544485308,-0.07268568196905119,0.29907206359678185,0.003542311380041383,-0.0034927606995267986,-4.656050085404641,0.008393797126191493,68.03851386718759,0.03173817856493899,0.0005259026372437664
combined_sensitivity,combined,nonlinearity_amplified,differential,fixed_AC0p7,high_amplitude_stress_control,159.47777971676157,-0.018421534061480428,0.018421534061480428,geometry_dominated,-34.1504168831368,risk_flag,0.06300756090730887,1158.6891355156151,0.23664035115005422,-0.09268564953801832,0.8124306954976248,0.0017972466346162716,-0.0017972466346162716,-8.84221343346588,0.02352368993956694,104.60007329113364,0.1033741354654536,-0.0012690672591300356
combined_sensitivity,combined,nonlinearity_amplified,differential,sched_v2_conservative,day35_primary_candidate,67.16133006187587,-0.00970990772488733,0.009826897519806721,geometry_dominated,16.76112053290352,near_boundary,0.0,815.723357222357,0.13205682542722497,-0.0697602474269494,1.4722477545033286,0.00403238791043691,-0.003982837229922324,-7.399141827232757,0.0,68.03851386718759,0.0379693111456787,-0.0008454270610549486
