branch_id,branch_type,transport_branch_id,transport_modification,protocol_id,condition,I_charge_min_A,I_charge_max_A,Q_geom_end_Ah,AC_C_min,AC_C_max
baseline_default,baseline,baseline_default_transport,default,DC03,Chen2020_DFN_Day37_baseline_default_DC03,1.5,1.5,5.0,0.0,0.0
baseline_default,baseline,baseline_default_transport,default,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,-0.39999997128705433,3.3999999998717176,5.001985944251486,0.38,0.38
baseline_default,baseline,baseline_default_transport,default,fixed_AC0p7,Chen2020_DFN_Day37_baseline_default_fixed_AC0p7,-1.999999947107732,4.99999999976369,5.031068751951366,0.7,0.7
baseline_default,baseline,baseline_default_transport,default,sched_v2_conservative,Chen2020_DFN_Day37_baseline_default_sched_v2_conservative,-0.39999997128705433,3.399999764100877,5.006583805248922,0.0,0.38
double_layer_differential,double_layer,baseline_default_transport,default,DC03,Chen2020_DFN_Day37_double_layer_differential_DC03,1.5,1.5,5.0,0.0,0.0
double_layer_differential,double_layer,baseline_default_transport,default,fixed_AC0p38,Chen2020_DFN_Day37_double_layer_differential_fixed_AC0p38,-0.39999997128705433,3.3999999998717176,5.001985944251486,0.38,0.38
double_layer_differential,double_layer,baseline_default_transport,default,fixed_AC0p7,Chen2020_DFN_Day37_double_layer_differential_fixed_AC0p7,-1.999999947107732,4.99999999976369,5.031068751951366,0.7,0.7
double_layer_differential,double_layer,baseline_default_transport,default,sched_v2_conservative,Chen2020_DFN_Day37_double_layer_differential_sched_v2_conservative,-0.39999997128705433,3.399999764100877,5.006583805248922,0.0,0.38
transport_flattened,transport_parameterization,transport_flattened,flattened,DC03,Chen2020_DFN_Day37_transport_flattened_DC03,1.5,1.5,5.0,0.0,0.0
transport_flattened,transport_parameterization,transport_flattened,flattened,fixed_AC0p38,Chen2020_DFN_Day37_transport_flattened_fixed_AC0p38,-0.39999997128705433,3.3999999998717176,5.001985944251486,0.38,0.38
transport_flattened,transport_parameterization,transport_flattened,flattened,fixed_AC0p7,Chen2020_DFN_Day37_transport_flattened_fixed_AC0p7,-1.999999947107732,4.99999999976369,5.031068751951366,0.7,0.7
transport_flattened,transport_parameterization,transport_flattened,flattened,sched_v2_conservative,Chen2020_DFN_Day37_transport_flattened_sched_v2_conservative,-0.39999997128705433,3.399999764100877,5.006583805248922,0.0,0.38
transport_nonlinearity_amplified,transport_parameterization,transport_nonlinearity_amplified,nonlinearity_amplified,DC03,Chen2020_DFN_Day37_transport_nonlinearity_amplified_DC03,1.5,1.5,5.0,0.0,0.0
transport_nonlinearity_amplified,transport_parameterization,transport_nonlinearity_amplified,nonlinearity_amplified,fixed_AC0p38,Chen2020_DFN_Day37_transport_nonlinearity_amplified_fixed_AC0p38,-0.39999997128705433,3.3999999998717176,5.001985944251486,0.38,0.38
transport_nonlinearity_amplified,transport_parameterization,transport_nonlinearity_amplified,nonlinearity_amplified,fixed_AC0p7,Chen2020_DFN_Day37_transport_nonlinearity_amplified_fixed_AC0p7,-1.999999947107732,4.99999999976369,5.031068751951366,0.7,0.7
transport_nonlinearity_amplified,transport_parameterization,transport_nonlinearity_amplified,nonlinearity_amplified,sched_v2_conservative,Chen2020_DFN_Day37_transport_nonlinearity_amplified_sched_v2_conservative,-0.39999997128705433,3.399999764100877,5.006583805248922,0.0,0.38
combined_sensitivity,combined,transport_nonlinearity_amplified,nonlinearity_amplified,DC03,Chen2020_DFN_Day37_combined_sensitivity_DC03,1.5,1.5,5.0,0.0,0.0
combined_sensitivity,combined,transport_nonlinearity_amplified,nonlinearity_amplified,fixed_AC0p38,Chen2020_DFN_Day37_combined_sensitivity_fixed_AC0p38,-0.39999997128705433,3.3999999998717176,5.001985944251486,0.38,0.38
combined_sensitivity,combined,transport_nonlinearity_amplified,nonlinearity_amplified,fixed_AC0p7,Chen2020_DFN_Day37_combined_sensitivity_fixed_AC0p7,-1.999999947107732,4.99999999976369,5.031068751951366,0.7,0.7
combined_sensitivity,combined,transport_nonlinearity_amplified,nonlinearity_amplified,sched_v2_conservative,Chen2020_DFN_Day37_combined_sensitivity_sched_v2_conservative,-0.39999997128705433,3.399999764100877,5.006583805248922,0.0,0.38
