branch_id,branch_type,transport_branch_id,transport_modification,surface_form,protocol_id,condition,delta_t_raw_mean_s,delta_t_raw_min_s,delta_t_raw_max_s,delta_t_geom_mean_s,delta_t_resid_mean_s,resid_abs_mean_s,resid_max_abs_s,resid_positive_fraction,dt_resid_class
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,69.35065528421227,-0.012173282616458891,137.95346019234694,69.36353608981146,-0.012880805599183419,0.012948244713588224,0.04513282634252391,0.01,geometry_dominated
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p7,Chen2020_DFN_Day37_baseline_default_fixed_AC0p7,158.66534902126395,48.4389174145399,254.15932513260736,158.68556780196005,-0.0202187806960967,0.0202187806960967,0.0707415182105251,0.0,geometry_dominated
baseline_default,baseline,baseline_default_transport,default,false,sched_v2_conservative,Chen2020_DFN_Day37_baseline_default_sched_v2_conservative,65.68908230737254,-0.012173282616458891,137.95346019234694,65.70282460300787,-0.01374229563532424,0.013809734749729045,0.04513282634252391,0.01,geometry_dominated
combined_sensitivity,combined,transport_nonlinearity_amplified,nonlinearity_amplified,differential,fixed_AC0p38,Chen2020_DFN_Day37_combined_sensitivity_fixed_AC0p38,69.64972734780905,0.0027476944333102438,137.97123715181988,69.6590658420282,-0.009338494219142035,0.009455484014061426,0.1586425442021664,0.03,geometry_dominated
combined_sensitivity,combined,transport_nonlinearity_amplified,nonlinearity_amplified,differential,fixed_AC0p7,Chen2020_DFN_Day37_combined_sensitivity_fixed_AC0p7,159.47777971676157,50.41036028691383,254.09608581379598,159.49620125082305,-0.018421534061480428,0.018421534061480428,0.09596037777919264,0.0,geometry_dominated
combined_sensitivity,combined,transport_nonlinearity_amplified,nonlinearity_amplified,differential,sched_v2_conservative,Chen2020_DFN_Day37_combined_sensitivity_sched_v2_conservative,67.16133006187587,0.0027476944333102438,137.97123715181988,67.17103996960077,-0.00970990772488733,0.009826897519806721,0.1586425442021664,0.03,geometry_dominated
double_layer_differential,double_layer,baseline_default_transport,default,differential,fixed_AC0p38,Chen2020_DFN_Day37_double_layer_differential_fixed_AC0p38,69.39133131764129,-0.0021503652505998616,137.96900107137753,69.3989909550586,-0.007659637417313547,0.007774876397713229,0.03323940063046393,0.04,geometry_dominated
double_layer_differential,double_layer,baseline_default_transport,default,differential,fixed_AC0p7,Chen2020_DFN_Day37_double_layer_differential_fixed_AC0p7,158.727476007757,48.56353865699748,254.16538564032044,158.7432537570386,-0.015777749281591015,0.015777749281591015,0.04473237894944759,0.0,geometry_dominated
double_layer_differential,double_layer,baseline_default_transport,default,differential,sched_v2_conservative,Chen2020_DFN_Day37_double_layer_differential_sched_v2_conservative,65.7239926151833,-0.0021503652505998616,137.96900107137753,65.73179987527313,-0.0078072600898252634,0.007922499070224943,0.03323940063046393,0.04,geometry_dominated
transport_flattened,transport_parameterization,transport_flattened,flattened,false,fixed_AC0p38,Chen2020_DFN_Day37_transport_flattened_fixed_AC0p38,69.00398738524468,-0.004512858657108154,137.9610139581091,69.01727810691146,-0.013290721666779177,0.013373023935794776,0.045908537751529366,0.01,geometry_dominated
transport_flattened,transport_parameterization,transport_flattened,flattened,false,fixed_AC0p7,Chen2020_DFN_Day37_transport_flattened_fixed_AC0p7,158.09926879066123,47.30300409407755,254.16671174380133,158.12037901988467,-0.021110229223435226,0.021110229223435226,0.06753577862991733,0.0,geometry_dominated
transport_flattened,transport_parameterization,transport_flattened,flattened,false,sched_v2_conservative,Chen2020_DFN_Day37_transport_flattened_sched_v2_conservative,65.40462258489835,-0.004512858657108154,137.9610139581091,65.41902957129075,-0.014406986392403382,0.014489288661418982,0.045908537751529366,0.01,geometry_dominated
transport_nonlinearity_amplified,transport_parameterization,transport_nonlinearity_amplified,nonlinearity_amplified,false,fixed_AC0p38,Chen2020_DFN_Day37_transport_nonlinearity_amplified_fixed_AC0p38,68.99375095900523,-0.013456646091981384,137.94610080514758,69.00732401624656,-0.013573057241323454,0.013573057241323454,0.042323971894802526,0.0,geometry_dominated
transport_nonlinearity_amplified,transport_parameterization,transport_nonlinearity_amplified,nonlinearity_amplified,false,fixed_AC0p7,Chen2020_DFN_Day37_transport_nonlinearity_amplified_fixed_AC0p7,160.20815294619837,50.476146521046076,254.11618098585677,160.230817407396,-0.022664461197617242,0.022664461197617242,0.14668724187959015,0.0,geometry_dominated
transport_nonlinearity_amplified,transport_parameterization,transport_nonlinearity_amplified,nonlinearity_amplified,false,sched_v2_conservative,Chen2020_DFN_Day37_transport_nonlinearity_amplified_sched_v2_conservative,66.4397258301521,-0.013456646091981384,137.94610080514758,66.4540514493808,-0.014325619228688424,0.014325619228688424,0.04697937514356454,0.0,geometry_dominated
