branch_id,search_term,variable_key
baseline_false,plating,Loss of capacity to negative lithium plating [A.h]
baseline_false,plating,Loss of capacity to positive lithium plating [A.h]
baseline_false,plating,Loss of lithium to negative lithium plating [mol]
baseline_false,plating,Loss of lithium to positive lithium plating [mol]
baseline_false,plating,Negative electrode lithium plating interfacial current density [A.m-2]
baseline_false,plating,Negative electrode lithium plating reaction overpotential [V]
baseline_false,plating,Negative electrode lithium plating volumetric interfacial current density [A.m-3]
baseline_false,plating,Negative lithium plating concentration [mol.m-3]
baseline_false,plating,Negative lithium plating thickness [m]
baseline_false,plating,Positive electrode lithium plating interfacial current density [A.m-2]
baseline_false,plating,Positive electrode lithium plating reaction overpotential [V]
baseline_false,plating,Positive electrode lithium plating volumetric interfacial current density [A.m-3]
baseline_false,plating,Positive lithium plating concentration [mol.m-3]
baseline_false,plating,Positive lithium plating thickness [m]
baseline_false,plating,Volume-averaged negative lithium plating concentration [mol.m-3]
baseline_false,plating,Volume-averaged negative lithium plating thickness [m]
baseline_false,plating,Volume-averaged positive lithium plating concentration [mol.m-3]
baseline_false,plating,Volume-averaged positive lithium plating thickness [m]
baseline_false,plating,X-averaged negative electrode lithium plating interfacial current density [A.m-2]
baseline_false,plating,X-averaged negative electrode lithium plating reaction overpotential [V]
baseline_false,plating,X-averaged negative electrode lithium plating volumetric interfacial current density [A.m-3]
baseline_false,plating,X-averaged negative lithium plating concentration [mol.m-3]
baseline_false,plating,X-averaged negative lithium plating thickness [m]
baseline_false,plating,X-averaged positive electrode lithium plating interfacial current density [A.m-2]
baseline_false,plating,X-averaged positive electrode lithium plating reaction overpotential [V]
baseline_false,plating,X-averaged positive electrode lithium plating volumetric interfacial current density [A.m-3]
baseline_false,plating,X-averaged positive lithium plating concentration [mol.m-3]
baseline_false,plating,X-averaged positive lithium plating thickness [m]
baseline_false,sei,Loss of capacity to negative SEI [A.h]
baseline_false,sei,Loss of capacity to negative SEI on cracks [A.h]
baseline_false,sei,Loss of capacity to positive SEI [A.h]
baseline_false,sei,Loss of capacity to positive SEI on cracks [A.h]
baseline_false,sei,Loss of lithium to negative SEI [mol]
baseline_false,sei,Loss of lithium to negative SEI on cracks [mol]
baseline_false,sei,Loss of lithium to positive SEI [mol]
baseline_false,sei,Loss of lithium to positive SEI on cracks [mol]
baseline_false,sei,Negative SEI concentration [mol.m-3]
baseline_false,sei,Negative SEI on cracks concentration [mol.m-3]
baseline_false,sei,Negative SEI on cracks thickness [m]
baseline_false,sei,Negative SEI thickness [m]
baseline_false,sei,Negative electrode SEI film overpotential [V]
baseline_false,sei,Negative electrode SEI interfacial current density [A.m-2]
baseline_false,sei,Negative electrode SEI on cracks interfacial current density [A.m-2]
baseline_false,sei,Negative electrode SEI on cracks volumetric interfacial current density [A.m-3]
baseline_false,sei,Negative electrode SEI volumetric interfacial current density [A.m-3]
baseline_false,sei,Positive SEI concentration [mol.m-3]
baseline_false,sei,Positive SEI on cracks concentration [mol.m-3]
baseline_false,sei,Positive SEI on cracks thickness [m]
baseline_false,sei,Positive SEI thickness [m]
baseline_false,sei,Positive electrode SEI film overpotential [V]
baseline_false,sei,Positive electrode SEI interfacial current density [A.m-2]
baseline_false,sei,Positive electrode SEI on cracks interfacial current density [A.m-2]
baseline_false,sei,Positive electrode SEI on cracks volumetric interfacial current density [A.m-3]
baseline_false,sei,Positive electrode SEI volumetric interfacial current density [A.m-3]
baseline_false,sei,Volume-averaged negative SEI concentration [mol.m-3]
baseline_false,sei,Volume-averaged negative SEI on cracks concentration [mol.m-3]
baseline_false,sei,Volume-averaged negative SEI on cracks thickness [m]
baseline_false,sei,Volume-averaged negative SEI thickness [m]
baseline_false,sei,Volume-averaged positive SEI concentration [mol.m-3]
baseline_false,sei,Volume-averaged positive SEI on cracks concentration [mol.m-3]
baseline_false,sei,Volume-averaged positive SEI on cracks thickness [m]
baseline_false,sei,Volume-averaged positive SEI thickness [m]
baseline_false,sei,X-averaged SEI film overpotential [V]
baseline_false,sei,X-averaged negative SEI concentration [mol.m-3]
baseline_false,sei,X-averaged negative SEI on cracks concentration [mol.m-3]
baseline_false,sei,X-averaged negative SEI on cracks thickness [m]
