search_term,parameter_key
diffus,EC diffusivity [m2.s-1]
electrolyte,EC initial concentration in electrolyte [mol.m-3]
electrolyte,Electrolyte conductivity [S.m-1]
conduct,Electrolyte conductivity [S.m-1]
electrolyte,Electrolyte diffusivity [m2.s-1]
diffus,Electrolyte diffusivity [m2.s-1]
electrolyte,Initial concentration in electrolyte [mol.m-3]
conduct,Negative current collector conductivity [S.m-1]
conduct,Negative current collector thermal conductivity [W.m-1.K-1]
electrolyte,Negative electrode Bruggeman coefficient (electrolyte)
ocp,Negative electrode OCP [V]
ocp,Negative electrode OCP entropic change [V.K-1]
conduct,Negative electrode conductivity [S.m-1]
conduct,Negative electrode thermal conductivity [W.m-1.K-1]
diffus,Negative particle diffusivity [m2.s-1]
open-circuit,Open-circuit voltage at 0% SOC [V]
open-circuit,Open-circuit voltage at 100% SOC [V]
conduct,Positive current collector conductivity [S.m-1]
conduct,Positive current collector thermal conductivity [W.m-1.K-1]
electrolyte,Positive electrode Bruggeman coefficient (electrolyte)
ocp,Positive electrode OCP [V]
ocp,Positive electrode OCP entropic change [V.K-1]
conduct,Positive electrode conductivity [S.m-1]
conduct,Positive electrode thermal conductivity [W.m-1.K-1]
diffus,Positive particle diffusivity [m2.s-1]
conduct,SEI electron conductivity [S.m-1]
diffus,SEI lithium interstitial diffusivity [m2.s-1]
open-circuit,SEI open-circuit potential [V]
diffus,SEI solvent diffusivity [m2.s-1]
electrolyte,Separator Bruggeman coefficient (electrolyte)
conduct,Separator thermal conductivity [W.m-1.K-1]
