branch_id,branch_type,transport_branch_id,runnable_status,protocol_id,protocol_type,case_role,required_protocol,dc_c,fixed_ac_c,early_ac_c,mid_ac_c,late_ac_c,schedule_type,qfrac_derate,qfrac_ac_off
baseline_default,baseline,baseline_default_transport,planned,DC03,DC,dc_reference,True,0.3,0.0,0.0,0.0,0.0,constant,,
baseline_default,baseline,baseline_default_transport,planned,fixed_AC0p38,DCAC,near_boundary_baseline,True,0.3,0.38,0.38,0.38,0.38,constant,,
baseline_default,baseline,baseline_default_transport,planned,fixed_AC0p7,DCAC,high_amplitude_stress_control,True,0.3,0.7,0.7,0.7,0.7,constant,,
baseline_default,baseline,baseline_default_transport,planned,sched_v2_conservative,DCAC_SCHEDULED,day35_primary_candidate,True,0.3,,0.38,0.1,0.0,qfrac_time_proxy,0.7,0.8
double_layer_differential,double_layer,baseline_default_transport,ok,DC03,DC,dc_reference,True,0.3,0.0,0.0,0.0,0.0,constant,,
double_layer_differential,double_layer,baseline_default_transport,ok,fixed_AC0p38,DCAC,near_boundary_baseline,True,0.3,0.38,0.38,0.38,0.38,constant,,
double_layer_differential,double_layer,baseline_default_transport,ok,fixed_AC0p7,DCAC,high_amplitude_stress_control,True,0.3,0.7,0.7,0.7,0.7,constant,,
double_layer_differential,double_layer,baseline_default_transport,ok,sched_v2_conservative,DCAC_SCHEDULED,day35_primary_candidate,True,0.3,,0.38,0.1,0.0,qfrac_time_proxy,0.7,0.8
transport_flattened,transport_parameterization,transport_flattened,planned_pending_implementation,DC03,DC,dc_reference,True,0.3,0.0,0.0,0.0,0.0,constant,,
transport_flattened,transport_parameterization,transport_flattened,planned_pending_implementation,fixed_AC0p38,DCAC,near_boundary_baseline,True,0.3,0.38,0.38,0.38,0.38,constant,,
transport_flattened,transport_parameterization,transport_flattened,planned_pending_implementation,fixed_AC0p7,DCAC,high_amplitude_stress_control,True,0.3,0.7,0.7,0.7,0.7,constant,,
transport_flattened,transport_parameterization,transport_flattened,planned_pending_implementation,sched_v2_conservative,DCAC_SCHEDULED,day35_primary_candidate,True,0.3,,0.38,0.1,0.0,qfrac_time_proxy,0.7,0.8
transport_nonlinearity_amplified,transport_parameterization,transport_nonlinearity_amplified,planned_pending_implementation,DC03,DC,dc_reference,True,0.3,0.0,0.0,0.0,0.0,constant,,
transport_nonlinearity_amplified,transport_parameterization,transport_nonlinearity_amplified,planned_pending_implementation,fixed_AC0p38,DCAC,near_boundary_baseline,True,0.3,0.38,0.38,0.38,0.38,constant,,
transport_nonlinearity_amplified,transport_parameterization,transport_nonlinearity_amplified,planned_pending_implementation,fixed_AC0p7,DCAC,high_amplitude_stress_control,True,0.3,0.7,0.7,0.7,0.7,constant,,
transport_nonlinearity_amplified,transport_parameterization,transport_nonlinearity_amplified,planned_pending_implementation,sched_v2_conservative,DCAC_SCHEDULED,day35_primary_candidate,True,0.3,,0.38,0.1,0.0,qfrac_time_proxy,0.7,0.8
ocp_hysteresis_dynamic,ocp_hysteresis,baseline_default_transport,deferred_pending_supported_option_identification,DC03,DC,dc_reference,True,0.3,0.0,0.0,0.0,0.0,constant,,
ocp_hysteresis_dynamic,ocp_hysteresis,baseline_default_transport,deferred_pending_supported_option_identification,fixed_AC0p38,DCAC,near_boundary_baseline,True,0.3,0.38,0.38,0.38,0.38,constant,,
ocp_hysteresis_dynamic,ocp_hysteresis,baseline_default_transport,deferred_pending_supported_option_identification,fixed_AC0p7,DCAC,high_amplitude_stress_control,True,0.3,0.7,0.7,0.7,0.7,constant,,
ocp_hysteresis_dynamic,ocp_hysteresis,baseline_default_transport,deferred_pending_supported_option_identification,sched_v2_conservative,DCAC_SCHEDULED,day35_primary_candidate,True,0.3,,0.38,0.1,0.0,qfrac_time_proxy,0.7,0.8
combined_sensitivity,combined,transport_nonlinearity_amplified,planned_after_individual_branches,DC03,DC,dc_reference,True,0.3,0.0,0.0,0.0,0.0,constant,,
combined_sensitivity,combined,transport_nonlinearity_amplified,planned_after_individual_branches,fixed_AC0p38,DCAC,near_boundary_baseline,True,0.3,0.38,0.38,0.38,0.38,constant,,
combined_sensitivity,combined,transport_nonlinearity_amplified,planned_after_individual_branches,fixed_AC0p7,DCAC,high_amplitude_stress_control,True,0.3,0.7,0.7,0.7,0.7,constant,,
combined_sensitivity,combined,transport_nonlinearity_amplified,planned_after_individual_branches,sched_v2_conservative,DCAC_SCHEDULED,day35_primary_candidate,True,0.3,,0.38,0.1,0.0,qfrac_time_proxy,0.7,0.8
