branch_id,branch_type,transport_branch_id,transport_modification,surface_form,protocol_id,condition,case_role,status,termination,t_end_s,t_end_min,Q_end_Ah,V_end_V,I_charge_min_A,I_charge_max_A,error
baseline_default,baseline,baseline_default_transport,default,false,DC03,Chen2020_DFN_Day37_baseline_default_DC03,dc_reference,ok,event: Maximum voltage [V],10782.9096067284,179.71516011214,4.4928790028035,4.2,1.5,1.5,
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,near_boundary_baseline,ok,event: Maximum voltage [V],9318.002844598159,155.30004740996932,3.9065085913724236,4.20000000000005,-0.39998718028576485,3.3999912821600367,
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p7,Chen2020_DFN_Day37_baseline_default_fixed_AC0p7,high_amplitude_stress_control,ok,event: Maximum voltage [V],8627.927468069152,143.79879113448587,3.633944665066004,4.200000000000195,-1.9999721485058215,4.999984249864502,
baseline_default,baseline,baseline_default_transport,default,false,sched_v2_conservative,Chen2020_DFN_Day37_baseline_default_sched_v2_conservative,day35_primary_candidate,ok,event: Maximum voltage [V],10767.715805648846,179.46193009414745,4.493120187304324,4.200000000000001,-0.39998718028576485,3.3999912821600367,
double_layer_differential,double_layer,baseline_default_transport,default,differential,DC03,Chen2020_DFN_Day37_double_layer_differential_DC03,dc_reference,ok,event: Maximum voltage [V],10782.315056128758,179.7052509354793,4.492631273386985,4.2,1.5,1.5,
double_layer_differential,double_layer,baseline_default_transport,default,differential,fixed_AC0p38,Chen2020_DFN_Day37_double_layer_differential_fixed_AC0p38,near_boundary_baseline,ok,event: Maximum voltage [V],9317.73502209376,155.29558370156266,3.9062680327652295,4.20000000000005,-0.399992251997079,3.3999943057953246,
double_layer_differential,double_layer,baseline_default_transport,default,differential,fixed_AC0p7,Chen2020_DFN_Day37_double_layer_differential_fixed_AC0p7,high_amplitude_stress_control,ok,event: Maximum voltage [V],8627.980703114266,143.79967838523777,3.6340267382812095,4.2,-1.9999768075984374,4.999975279313747,
double_layer_differential,double_layer,baseline_default_transport,default,differential,sched_v2_conservative,Chen2020_DFN_Day37_double_layer_differential_sched_v2_conservative,day35_primary_candidate,ok,event: Maximum voltage [V],10767.749745798874,179.46249576331456,4.493141609102092,4.200000000000011,-0.399992251997079,3.3999943057953246,
transport_flattened,transport_parameterization,transport_flattened,flattened,false,DC03,Chen2020_DFN_Day37_transport_flattened_DC03,dc_reference,ok,event: Maximum voltage [V],10778.691289643135,179.6448548273856,4.491121370684629,4.200000000000001,1.5,1.5,
transport_flattened,transport_parameterization,transport_flattened,flattened,false,fixed_AC0p38,Chen2020_DFN_Day37_transport_flattened_fixed_AC0p38,near_boundary_baseline,ok,event: Maximum voltage [V],9316.742656153383,155.27904426922305,3.9053275321418903,4.199999999999999,-0.3999890038777069,3.399993218749366,
