frequency_policy_id,segment_id,segment_role,tau_descriptor,k_factor,tau_used_s,f_Hz,period_s,segment_duration_s,n_cycles_in_segment,cycle_coverage_class
fixed_local_H,seg_low,early_high_AC_lowQ,tau_ref_set_fallback,1.5,36.316532231592305,0.002921625190367048,342.27525258788194,4313.1638426913605,12.601448132987414,usable_periodic_coverage
fixed_local_H,seg_mid,early_high_AC_midQ,tau_ref_set_fallback,1.5,36.316532231592305,0.002921625190367048,342.27525258788194,2372.2401134802476,6.930796473143076,usable_periodic_coverage
fixed_local_H,seg_derated,mid_low_AC_derated,tau_ref_set_fallback,1.5,36.316532231592305,0.002921625190367048,342.27525258788194,1617.4364410092594,4.725543049870278,usable_periodic_coverage
seg_tau_fast_k1p5,seg_low,early_high_AC_lowQ,tau_fast_s,1.5,26.698288971459878,0.003974160872557036,251.62544548846725,4313.1638426913605,17.141206980551758,usable_periodic_coverage
seg_tau_fast_k1p5,seg_mid,early_high_AC_midQ,tau_fast_s,1.5,27.13698321641905,0.003909914913843474,255.7600413398748,2372.2401134802476,9.275256998914156,usable_periodic_coverage
seg_tau_fast_k1p5,seg_derated,mid_low_AC_derated,tau_fast_s,1.5,25.554477582753712,0.004152043220253668,240.84527712091236,1617.4364410092594,6.7156660090837175,usable_periodic_coverage
seg_tau_slow_k1p5,seg_low,early_high_AC_lowQ,tau_slow_s,1.5,282.546335289431,0.000375525293173271,2662.9364737319847,4313.1638426913605,1.6197021165310252,weak_periodic_coverage
seg_tau_slow_k1p5,seg_mid,early_high_AC_midQ,tau_slow_s,1.5,306.3612313674457,0.00034633395002691433,2887.386581426071,2372.2401134802476,0.8215872889139098,quasi_ramp_or_insufficient_cycles
seg_tau_slow_k1p5,seg_derated,mid_low_AC_derated,tau_slow_s,1.5,242.38364180259595,0.0004377494067071176,2284.412005312126,1617.4364410092594,0.7080318424382752,quasi_ramp_or_insufficient_cycles
seg_tau_fast_k1p0,seg_low,early_high_AC_lowQ,tau_fast_s,1.0,26.698288971459878,0.005961241308835555,167.7502969923115,4313.1638426913605,25.711810470827636,usable_periodic_coverage
seg_tau_fast_k1p0,seg_mid,early_high_AC_midQ,tau_fast_s,1.0,27.13698321641905,0.00586487237076521,170.50669422658322,2372.2401134802476,13.912885498371232,usable_periodic_coverage
seg_tau_fast_k1p0,seg_derated,mid_low_AC_derated,tau_fast_s,1.0,25.554477582753712,0.0062280648303805015,160.56351808060825,1617.4364410092594,10.073499013625575,usable_periodic_coverage
seg_tau_fast_k3p0,seg_low,early_high_AC_lowQ,tau_fast_s,3.0,26.698288971459878,0.001987080436278518,503.2508909769345,4313.1638426913605,8.570603490275879,usable_periodic_coverage
seg_tau_fast_k3p0,seg_mid,early_high_AC_midQ,tau_fast_s,3.0,27.13698321641905,0.001954957456921737,511.5200826797496,2372.2401134802476,4.637628499457078,usable_periodic_coverage
seg_tau_fast_k3p0,seg_derated,mid_low_AC_derated,tau_fast_s,3.0,25.554477582753712,0.002076021610126834,481.6905542418247,1617.4364410092594,3.3578330045418587,usable_periodic_coverage
