frequency_policy_id,amplitude_policy_id,frequency_mode,tau_descriptor,k_factor,purpose,segment_id,segment_role,qfrac_start,qfrac_end,qfrac_mid,assigned_tau_qfrac_target,tau_used_s,f_Hz,period_s,segment_start_s,segment_end_s,segment_duration_s,n_cycles_in_segment,cycle_coverage_class
fixed_local_H,local_H,fixed_global_tau_ref,tau_ref_set_fallback,1.5,Day38 fixed-frequency baseline,seg_low,early_high_AC_lowQ,0.0,0.4,0.2,0.2,36.316532231592305,0.002921625190367048,342.27525258788194,0.0,4313.1638426913605,4313.1638426913605,12.601448132987414,usable_periodic_coverage
fixed_local_H,local_H,fixed_global_tau_ref,tau_ref_set_fallback,1.5,Day38 fixed-frequency baseline,seg_mid,early_high_AC_midQ,0.4,0.62,0.51,0.6,36.316532231592305,0.002921625190367048,342.27525258788194,4313.1638426913605,6685.403956171608,2372.2401134802476,6.930796473143076,usable_periodic_coverage
fixed_local_H,local_H,fixed_global_tau_ref,tau_ref_set_fallback,1.5,Day38 fixed-frequency baseline,seg_derated,mid_low_AC_derated,0.62,0.77,0.6950000000000001,0.72,36.316532231592305,0.002921625190367048,342.27525258788194,6685.403956171608,8302.840397180868,1617.4364410092594,4.725543049870278,usable_periodic_coverage
seg_tau_fast_k1p5,local_H,segmented_tau_rebased,tau_fast_s,1.5,main fast-descriptor candidate,seg_low,early_high_AC_lowQ,0.0,0.4,0.2,0.2,26.698288971459878,0.003974160872557036,251.62544548846725,0.0,4313.1638426913605,4313.1638426913605,17.141206980551758,usable_periodic_coverage
seg_tau_fast_k1p5,local_H,segmented_tau_rebased,tau_fast_s,1.5,main fast-descriptor candidate,seg_mid,early_high_AC_midQ,0.4,0.62,0.51,0.6,27.13698321641905,0.003909914913843474,255.7600413398748,4313.1638426913605,6685.403956171608,2372.2401134802476,9.275256998914156,usable_periodic_coverage
seg_tau_fast_k1p5,local_H,segmented_tau_rebased,tau_fast_s,1.5,main fast-descriptor candidate,seg_derated,mid_low_AC_derated,0.62,0.77,0.6950000000000001,0.72,25.554477582753712,0.004152043220253668,240.84527712091236,6685.403956171608,8302.840397180868,1617.4364410092594,6.7156660090837175,usable_periodic_coverage
seg_tau_slow_k1p5,local_H,segmented_tau_rebased,tau_slow_s,1.5,slow-tail diagnostic,seg_low,early_high_AC_lowQ,0.0,0.4,0.2,0.2,282.546335289431,0.000375525293173271,2662.9364737319847,0.0,4313.1638426913605,4313.1638426913605,1.6197021165310252,weak_periodic_coverage
seg_tau_slow_k1p5,local_H,segmented_tau_rebased,tau_slow_s,1.5,slow-tail diagnostic,seg_mid,early_high_AC_midQ,0.4,0.62,0.51,0.6,306.3612313674457,0.00034633395002691433,2887.386581426071,4313.1638426913605,6685.403956171608,2372.2401134802476,0.8215872889139098,quasi_ramp_or_insufficient_cycles
seg_tau_slow_k1p5,local_H,segmented_tau_rebased,tau_slow_s,1.5,slow-tail diagnostic,seg_derated,mid_low_AC_derated,0.62,0.77,0.6950000000000001,0.72,242.38364180259595,0.0004377494067071176,2284.412005312126,6685.403956171608,8302.840397180868,1617.4364410092594,0.7080318424382752,quasi_ramp_or_insufficient_cycles
seg_tau_fast_k1p0,local_H,segmented_tau_rebased,tau_fast_s,1.0,faster forcing based on fast descriptor,seg_low,early_high_AC_lowQ,0.0,0.4,0.2,0.2,26.698288971459878,0.005961241308835555,167.7502969923115,0.0,4313.1638426913605,4313.1638426913605,25.711810470827636,usable_periodic_coverage
seg_tau_fast_k1p0,local_H,segmented_tau_rebased,tau_fast_s,1.0,faster forcing based on fast descriptor,seg_mid,early_high_AC_midQ,0.4,0.62,0.51,0.6,27.13698321641905,0.00586487237076521,170.50669422658322,4313.1638426913605,6685.403956171608,2372.2401134802476,13.912885498371232,usable_periodic_coverage
seg_tau_fast_k1p0,local_H,segmented_tau_rebased,tau_fast_s,1.0,faster forcing based on fast descriptor,seg_derated,mid_low_AC_derated,0.62,0.77,0.6950000000000001,0.72,25.554477582753712,0.0062280648303805015,160.56351808060825,6685.403956171608,8302.840397180868,1617.4364410092594,10.073499013625575,usable_periodic_coverage
seg_tau_fast_k3p0,local_H,segmented_tau_rebased,tau_fast_s,3.0,more conservative/slower forcing based on fast descriptor,seg_low,early_high_AC_lowQ,0.0,0.4,0.2,0.2,26.698288971459878,0.001987080436278518,503.2508909769345,0.0,4313.1638426913605,4313.1638426913605,8.570603490275879,usable_periodic_coverage
seg_tau_fast_k3p0,local_H,segmented_tau_rebased,tau_fast_s,3.0,more conservative/slower forcing based on fast descriptor,seg_mid,early_high_AC_midQ,0.4,0.62,0.51,0.6,27.13698321641905,0.001954957456921737,511.5200826797496,4313.1638426913605,6685.403956171608,2372.2401134802476,4.637628499457078,usable_periodic_coverage
seg_tau_fast_k3p0,local_H,segmented_tau_rebased,tau_fast_s,3.0,more conservative/slower forcing based on fast descriptor,seg_derated,mid_low_AC_derated,0.62,0.77,0.6950000000000001,0.72,25.554477582753712,0.002076021610126834,481.6905542418247,6685.403956171608,8302.840397180868,1617.4364410092594,3.3578330045418587,usable_periodic_coverage
