reference_protocol,protocol,Q_net_Ah,t_ref_min,t_protocol_min,Delta_t_Q_min
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.0,0.0,0.0,0.0
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.0016304772681218352,0.0959256241112931,0.038518077711926044,0.05740754639936706
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.0032609545362436705,0.19185101380564715,0.14698889901878898,0.04486211478685817
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.0048914318043655055,0.2877763537413082,0.25651330452044674,0.03126304922086148
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.006521909072487341,0.38370165318179383,0.36607692170197353,0.0176247314798203
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.008152386340609176,0.4796272099249724,0.40750423408371456,0.07212297584125782
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.009782863608731011,0.5755523533897643,0.5090273978498339,0.06652495553993043
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.011413340876852847,0.67147768297543,0.616682997741814,0.05479468523361597
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.013043818144974682,0.7674029546406452,0.7258882753485723,0.041514679292072976
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.014674295413096517,0.8633282751651388,0.8354932014601868,0.027835073704951974
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.01630477268121835,0.9592532395867416,0.9441405798939669,0.015112659692774644
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.017935249949340187,1.055178600374253,0.9805411890854285,0.0746374112888244
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.019565727217462022,1.151104007896355,1.0874240209542814,0.06367998694207366
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.021196204485583858,1.2470290385889766,1.195289056083525,0.05173998250545164
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.022826681753705693,1.3429544897737673,1.3048662347226505,0.03808825505111679
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.02445715902182753,1.4388803904445973,1.4142965261018228,0.024583864342774486
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.026087636289949364,1.5348057042793184,1.522590321508316,0.012215382771002314
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.0277181135580712,1.6307309719367418,1.559425482111693,0.0713054898250487
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.029348590826193035,1.7266562005166992,1.664866053852953,0.06179014666374627
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.03097906809431487,1.8225816240323216,1.7743575016078472,0.04822412242447438
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.0326095453624367,1.9185069749089796,1.883713952749668,0.03479302215931157
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.03424002263055854,2.014432072763045,1.992613544045143,0.02181852871790224
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.03587049989868037,2.1103570470720143,2.101559176435665,0.008797870636349181
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.03750097716680221,2.206281773282692,2.137199370318418,0.06908240296427381
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.039131454434924044,2.3022067122474903,2.244007194997488,0.0581995172500025
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.04076193170304588,2.3981314275384915,2.3531837480675346,0.0449476794709569
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.042392408971167715,2.4940560984906313,2.462245538135525,0.03181056035510643
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.04402288623928955,2.5899804392750894,2.5714400374399586,0.018540401835130726
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.045653363507411386,2.685904878697256,2.612226587021194,0.0736782916760621
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.04728384077553322,2.7818291053964614,2.7139723308966017,0.06785677449985972
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.04891431804365506,2.8777533155392714,2.822881914926654,0.054871400612617194
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.05054479531177689,2.9736778175341376,2.931589526966495,0.04208829056764252
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.05217527257989873,3.069602044411338,3.0409581694550907,0.028643874956247206
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.05380574984802056,3.1655261623060706,3.1504077000199455,0.015118462286125123
0.3C dc.csv,0.3+0.7 0.1tau.csv,0.0554362271161424,3.261450061007246,3.189009564778517,0.07244049622872906
