condition,kappa,tau_label,DC,AC,f_Hz,X5A_avg_dt,X5A_A_dt,X5A_n_cross,X5A_range,X5A_CC_max_dcac,X5A_CC_max_dc,X5A_window_hi,pl_avg_dt,pl_A_dt,pl_n_cross,pl_range,pl_CC_max_dcac,pl_CC_max_dc,pl_window_hi,avg_dt_diff_pl_minus_X5A,meaningful_flip
0.1+0.9C 1τ,9.0,1τ,0.1,0.9,0.0143,-1.0830501612130266,-3229.4696458210474,0,1.45588524976453,4056.8283228950454,4919.020761621486,4006.8283228950454,-0.9992138798692364,-2998.714848391164,0,1.3737386930713003,4076.0740531182328,4921.045847515456,4026.0740531182328,0.08383628134379018,False
0.1+0.2C 1τ,2.0,1τ,0.1,0.2,0.0143,-0.3537032873458955,-1087.9913118759746,0,0.653826237538245,4771.798243177504,4919.020761621486,4101.0,-0.35816980983907665,-1101.7303350649997,0,0.6577592768172205,4781.75334872395,4921.045847515456,4101.0,-0.004466522493181135,False
0.2+0.3C 1τ,1.4999999999999998,1τ,0.2,0.3,0.0143,-0.2836783171443689,-872.5945035360788,0,0.5544189396178808,4533.268051884156,4780.174923075847,4101.0,-0.2951532669204929,-907.8914490474361,0,0.5628252458680133,4553.072684829215,4783.750189635792,4101.0,-0.011474949776123955,False
0.2+0.3C 10τ,1.4999999999999998,10τ,0.2,0.3,0.00143,-2.857421861825137,-8789.429646974122,0,5.177046567786116,4365.138355818449,4780.174923075847,4101.0,-2.8507949185641404,-8769.045169503295,0,5.167763364228297,4525.50718501277,4783.750189635792,4101.0,0.006626943260996665,False
0.2+0.3C 34.8τ,1.4999999999999998,34.8τ,0.2,0.3,0.00041,-8.320232598824942,-25593.03547398552,0,19.107227317379756,4342.206844719743,4780.174923075847,4101.0,-8.292819155877767,-25508.71172348001,0,19.092479392137772,4360.054840070271,4783.750189635792,4101.0,0.02741344294717507,False
0.2+0.8C 0.1τ,4.0,0.1τ,0.2,0.8,0.143,-0.3715967682388646,-1107.2653202862848,0,0.4532701301404131,4054.749596677138,4780.174923075847,4004.749596677138,-0.3909101136743497,-1168.4517147713216,0,0.47504571990219424,4064.0547056674727,4783.750189635792,4014.0547056674727,-0.019313345435485074,False
0.2+0.8C 1τ,4.0,1τ,0.2,0.8,0.0143,-0.5689021938812716,-1653.6054823917614,0,0.9472683621735846,3981.6604069677123,4780.174923075847,3931.6604069677123,-0.5454184468154071,-1595.3567451202034,0,0.9591509694019502,4000.014279284434,4783.750189635792,3950.014279284434,0.023483747065864535,False
0.2+0.8C 10τ,4.0,10τ,0.2,0.8,0.00143,-3.7435754509603694,-9865.045119491588,4,8.27002568150627,3710.1933462328984,4780.174923075847,3660.1933462328984,-3.6670452326750826,-9678.258705914304,2,8.218309708678255,3714.2526112512896,4783.750189635792,3664.2526112512896,0.07653021828528672,False
0.3+0.7C 0.1τ,2.3333333333333335,0.1τ,0.3,0.7,0.143,-0.23443696081346652,-678.7301500244596,0,0.2848781634705574,3970.149927167423,4642.914307917309,3920.149927167423,-0.2349298949586427,-682.8603645582347,0,0.2919429308639413,3981.6558969791654,4648.630855687779,3931.6558969791654,-0.0004929341451761771,False
0.3+0.7C 1τ,2.3333333333333335,1τ,0.3,0.7,0.0143,-0.4198659402476919,-1191.3407363539932,0,0.7619622025603879,3912.4312421035734,4642.914307917309,3862.4312421035734,-0.4506900216762145,-1290.5890080340612,0,0.783026857407981,3938.584605743165,4648.630855687779,3888.584605743165,-0.03082408142852261,False
0.3+0.7C 10τ,2.3333333333333335,10τ,0.3,0.7,0.00143,-3.0580740796118686,-7872.849454293453,0,6.736805289858375,3649.446939262072,4642.914307917309,3599.446939262072,-3.077168385817417,-8460.480794207106,0,7.000543867229961,3824.43705817375,4648.630855687779,3774.43705817375,-0.019094306205548417,False
0.3+0.4C 0.1τ,1.3333333333333337,0.1τ,0.3,0.4,0.143,-0.17551870573701267,-539.895538847051,0,0.20126805728939415,4156.462329781138,4642.914307917309,4101.0,-0.16573660167239912,-509.80578674429967,0,0.16791519758013088,4189.159197735422,4648.630855687779,4101.0,0.00978210406461355,False
0.3+0.4C 1τ,1.3333333333333337,1τ,0.3,0.4,0.0143,-0.3019652193675837,-919.7297495391877,0,0.5363114336520842,4120.813526025977,4642.914307917309,4070.813526025977,-0.29497784235847835,-907.0199590866322,0,0.5271790483004831,4149.874884956125,4648.630855687779,4099.874884956125,0.006987377009105344,False
0.3+0.4C 10τ,1.3333333333333337,10τ,0.3,0.4,0.00143,-2.3071301296023687,-6620.863932782043,10,4.869083435307736,3944.740136384566,4642.914307917309,3894.740136384566,-2.2367232642741763,-6439.394490796484,0,4.782627947023154,3953.9410803066366,4648.630855687779,3903.9410803066366,0.0704068653281924,False
