condition,kappa,tau_label,DC,AC,f_Hz,t_Q80_DCAC_min,t_Q80_DC_ref_min,dt_Q80_plating_min,dt_Q80_X5A_min,dt_Q80_exp_min,CC_time_min,plating_loss_mAh,status
0.1+0.9C 1τ,9.0,1τ,0.1,0.9,0.0143,491.92231705538524,492.12,0.19768294461476518,2.1775672496291616,2.88,491.5640276829699,20.278828449906083,ok
0.1+0.2C 1τ,2.0,1τ,0.1,0.2,0.0143,492.66957646020626,492.12,-0.5495764602062384,-0.5502150812602243,0.59,574.2932116055296,22.62551790260583,ok
0.2+0.3C 1τ,1.4999999999999998,1τ,0.2,0.3,0.0143,246.64261727650717,246.06000000000003,-0.582617276507123,-0.5765971242286468,0.17,273.5878047443585,20.022294603623028,ok
0.2+0.3C 10τ,1.4999999999999998,10τ,0.2,0.3,0.00143,251.35724340244784,246.06000000000003,-5.297243402447808,-5.296641195640829,5.05,275.7639134441232,20.244662730040922,ok
0.2+0.3C 34.8τ,1.4999999999999998,34.8τ,0.2,0.3,0.00041,247.6256030867188,246.06000000000003,-1.5656030867187534,-2.1491048793333904,15.03,273.13974500232655,21.35453868818524,ok
0.2+0.8C 0.1τ,4.0,0.1τ,0.2,0.8,0.143,245.0730420586094,246.06000000000003,0.9869579413906346,1.394549325630578,1.26,244.49285854534747,18.481998607903282,ok
0.2+0.8C 1τ,4.0,1τ,0.2,0.8,0.0143,242.70720985660438,246.06000000000003,3.3527901433956684,4.144834349829307,3.77,240.97891652212283,18.60527381513125,ok
0.2+0.8C 10τ,4.0,10τ,0.2,0.8,0.00143,236.65354974670436,246.06000000000003,9.406450253295679,9.326338160326335,15.31,230.2050469861474,19.672293553242007,ok
0.3+0.7C 0.1τ,2.3333333333333335,0.1τ,0.3,0.7,0.143,161.77167225155142,164.03999999999982,2.2683277484483977,2.486447820769869,0.02,159.6440119820264,18.66093039438148,ok
0.3+0.7C 1τ,2.3333333333333335,1τ,0.3,0.7,0.0143,161.09080731581656,164.03999999999982,2.9491926841832536,3.5853661774760743,2.97,158.2012359630282,18.712764478807973,ok
0.3+0.7C 10τ,2.3333333333333335,10τ,0.3,0.7,0.00143,164.17416029251288,164.03999999999982,-0.13416029251305492,7.268975396650543,8.67,159.3413097071115,19.27326202930644,ok
0.3+0.4C 0.1τ,1.3333333333333335,0.1τ,0.3,0.4,0.143,164.290076291923,164.03999999999982,-0.2500762919231723,-0.2631629886373957,0.01,167.80267161139176,19.755331700756567,ok
0.3+0.4C 1τ,1.3333333333333335,1τ,0.3,0.4,0.0143,164.2020641078387,164.03999999999982,-0.16206410783888714,-0.1701515312898664,0.09,166.36106338092216,19.769481707162104,ok
0.3+0.4C 10τ,1.3333333333333335,10τ,0.3,0.4,0.00143,163.21860788684523,164.03999999999982,0.8213921131545855,0.7674267192990859,0.94,160.40274901424942,20.030750882290842,ok
0.4+0.6C 0.5τ,1.4999999999999998,0.5τ,0.4,0.6,0.0286,120.76058558632249,123.03,2.269414413677517,2.454544508071846,1.31,116.98343871359103,19.24028767568051,ok
0.4+0.5C 1.67τ,1.25,1.67τ,0.4,0.5,0.0086,121.25667221403201,123.03,1.7733277859679977,2.5607205594548605,1.46,117.67259052111399,19.624587698224154,ok
0.4+0.6C 1.67τ,1.4999999999999998,1.67τ,0.4,0.6,0.0086,120.41862485969811,123.03,2.6113751403018948,2.54847857807146,1.51,115.75228720011377,19.251760507834735,ok
0.4+0.6C 5τ,1.4999999999999998,5τ,0.4,0.6,0.00286,120.62578571058157,123.03,2.4042142894184355,2.315870944054253,5.12,114.81677353475662,19.292003717067033,ok
0.4+0.6C 10τ,1.4999999999999998,10τ,0.4,0.6,0.00143,120.61955568117563,123.03,2.410444318824375,2.2827658901482817,4.72,113.33914652042486,19.461992942837167,ok
0.5+0.5C 1τ,1.0,1τ,0.5,0.5,0.0143,96.89235781548452,98.42400000000002,1.5316421845155068,1.852254275763956,1.27,91.74915427278084,19.80620442056928,ok
0.9+0.1C 16.7τ,0.11111111111111112,16.7τ,0.9,0.1,0.00086,56.9150701052358,56.237181670859066,-0.6778884343767307,-0.676081639850463,0.61,49.17575819341206,20.0879099921175,ok
0.9+0.1C 1.67τ,0.11111111111111112,1.67τ,0.9,0.1,0.0086,56.25700456968176,56.237181670859066,-0.019822898822697728,-0.0237121898959912,0.02,47.90390060104972,20.048098934702413,ok
0.9+0.1C 10τ,0.11111111111111112,10τ,0.9,0.1,0.00143,56.41286724523193,56.237181670859066,-0.1756855743728617,-0.1625995600510653,0.04,50.294572643888756,20.0514822939592,ok
0.9+0.1C 1τ,0.11111111111111112,1τ,0.9,0.1,0.0143,56.26509124931594,56.237181670859066,-0.027909578456872926,-0.0337071069589986,-0.05,48.466398207321056,20.05228113198412,ok
