condition,kappa,tau_label,DC,AC,f_Hz,ablation,A_dt,avg_dt,Q_window_lo,Q_window_hi,Q_CC_min_ablation,window_exceeds_ablation_CC,n_valid_points,x_n_Q20,x_n_Q80_if_in_CC,Q80_in_CC,x_n_CC_end,sign,sign_baseline,flipped_vs_baseline
0.1+0.9C 1τ,9.0,1τ,0.1,0.9,0.0143,A1a,-3495.612349058048,-1.172305032525874,1025.0,4006.8283228950454,4035.9454507901232,True,80,0.2249801752648272,,False,0.742340119439167,-,-,False
0.1+0.2C 1τ,2.0,1τ,0.1,0.2,0.0143,A1a,-1054.0954608672512,-0.3426838299308359,1025.0,4101.0,4771.777100668646,False,80,0.22010432489606374,0.7478538142449512,True,0.863195237499326,-,-,False
0.2+0.3C 1τ,1.4999999999999998,1τ,0.2,0.3,0.0143,A1a,-900.3244986160669,-0.2926932700312311,1025.0,4101.0,4533.091458617559,False,80,0.22263967732212367,0.7485107657696247,True,0.8241779847906717,-,-,False
0.2+0.3C 10τ,1.4999999999999998,10τ,0.2,0.3,0.00143,A1a,-8749.619328980953,-2.8444796258065517,1025.0,4101.0,4364.806961488875,False,80,0.22337046742832073,0.7486940071204885,True,0.7975936116002534,-,-,False
0.2+0.3C 34.8τ,1.4999999999999998,34.8τ,0.2,0.3,0.00041,A1a,-25546.422489070563,-8.305078832597712,1025.0,4101.0,4341.126295401014,False,80,0.22526945247040997,0.7459106322992938,True,0.7939708670566873,-,-,False
0.2+0.8C 0.1τ,4.0,0.1τ,0.2,0.8,0.143,A1a,-1085.2187683076393,-0.36419797472841975,1025.0,4004.749596677138,4035.732336524174,True,80,0.22198213099972663,,False,0.7392412728227453,-,-,False
0.2+0.8C 1τ,4.0,1τ,0.2,0.8,0.0143,A1a,-1611.744522037726,-0.5545004563223577,1025.0,3931.660406967712,3961.94492271481,True,80,0.22600511549774394,,False,0.729788710916415,-,-,False
0.2+0.8C 10τ,4.0,10τ,0.2,0.8,0.00143,A1a,-9881.009747851514,-3.7496336889195496,1025.0,3660.1933462328984,3694.637351159023,True,80,0.2325836767268233,,False,0.6900146295269145,-,-,False
0.3+0.7C 0.1τ,2.3333333333333335,0.1τ,0.3,0.7,0.143,A1a,-692.2188154457659,-0.23909601673825018,1025.0,3920.149927167423,3946.6690051639916,True,80,0.2229447573001775,,False,0.7251916400614676,-,-,False
0.3+0.7C 1τ,2.3333333333333335,1τ,0.3,0.7,0.0143,A1a,-1194.6213491185863,-0.42102213135319366,1025.0,3862.431242103574,3883.180132173809,True,80,0.22498107098536532,,False,0.7172061991178484,-,-,False
