condition,kappa,tau_label,DC,AC,f_Hz,Q_CC_min_mAh,Q_window_lo,Q_window_hi,avg_dt_OLD_Day11,avg_dt_CC_only_NEW,A_dt_CC_only_NEW,n_cross,range_dt,sign_OLD,sign_NEW,sign_changed
0.1+0.9C 1τ,9.0,1τ,0.1,0.9,0.0143,4056.8283228950454,1025.0,4006.8283228950454,-1.0830501612130266,-1.0830501612130266,-3229.4696458210474,0,1.45588524976453,-,-,False
0.1+0.2C 1τ,2.0,1τ,0.1,0.2,0.0143,4771.798243177504,1025.0,4101.0,-0.3537032873458955,-0.3537032873458955,-1087.9913118759746,0,0.653826237538245,-,-,False
0.2+0.3C 1τ,1.4999999999999998,1τ,0.2,0.3,0.0143,4533.268051884155,1025.0,4101.0,-0.2836783171443689,-0.2836783171443689,-872.5945035360788,0,0.5544189396178808,-,-,False
0.2+0.3C 10τ,1.4999999999999998,10τ,0.2,0.3,0.00143,4365.138355818448,1025.0,4101.0,-2.857421861825137,-2.857421861825137,-8789.429646974122,0,5.177046567786116,-,-,False
0.2+0.3C 34.8τ,1.4999999999999998,34.8τ,0.2,0.3,0.00041,4342.206844719742,1025.0,4101.0,-8.320232598824942,-8.320232598824942,-25593.03547398552,0,19.107227317379756,-,-,False
0.2+0.8C 0.1τ,4.0,0.1τ,0.2,0.8,0.143,4054.749596677138,1025.0,4004.749596677138,-0.3715967682388646,-0.3715967682388646,-1107.2653202862848,0,0.4532701301404131,-,-,False
0.2+0.8C 1τ,4.0,1τ,0.2,0.8,0.0143,3981.6604069677123,1025.0,3931.6604069677123,-0.5689021938812716,-0.5689021938812716,-1653.6054823917614,0,0.9472683621735846,-,-,False
0.2+0.8C 10τ,4.0,10τ,0.2,0.8,0.00143,3710.1933462328984,1025.0,3660.1933462328984,-3.74357545096037,-3.7435754509603694,-9865.045119491588,4,8.27002568150627,-,-,False
0.3+0.7C 0.1τ,2.3333333333333335,0.1τ,0.3,0.7,0.143,3970.149927167423,1025.0,3920.149927167423,-0.2344369608134665,-0.23443696081346652,-678.7301500244596,0,0.2848781634705574,-,-,False
0.3+0.7C 1τ,2.3333333333333335,1τ,0.3,0.7,0.0143,3912.4312421035734,1025.0,3862.4312421035734,-0.4198659402476919,-0.4198659402476919,-1191.3407363539932,0,0.7619622025603879,-,-,False
0.3+0.7C 10τ,2.3333333333333335,10τ,0.3,0.7,0.00143,3649.446939262072,1025.0,3599.446939262072,-3.0580740796118686,-3.0580740796118686,-7872.849454293453,0,6.736805289858375,-,-,False
0.3+0.4C 0.1τ,1.3333333333333337,0.1τ,0.3,0.4,0.143,4156.462329781138,1025.0,4101.0,-0.1755187057370126,-0.17551870573701267,-539.895538847051,0,0.20126805728939415,-,-,False
0.3+0.4C 1τ,1.3333333333333337,1τ,0.3,0.4,0.0143,4120.813526025977,1025.0,4070.813526025977,-0.3019652193675837,-0.3019652193675837,-919.7297495391877,0,0.5363114336520842,-,-,False
0.3+0.4C 10τ,1.3333333333333337,10τ,0.3,0.4,0.00143,3944.740136384566,1025.0,3894.740136384566,-2.3071301296023687,-2.3071301296023687,-6620.863932782043,10,4.869083435307736,-,-,False
0.4+0.6C 0.5τ,1.4999999999999998,0.5τ,0.4,0.6,0.0286,3872.4425690527455,1025.0,3822.4425690527455,-0.2037016359528962,-0.20370163595289623,-569.8436278003171,0,0.3283258170053614,-,-,False
0.4+0.5C 1.67τ,1.25,1.67τ,0.4,0.5,0.0086,3850.936390456859,1025.0,3800.936390456859,-0.4117264232206462,-0.41172642322064623,-1142.9263611308338,0,0.7846986110254004,-,-,False
0.4+0.6C 1.67τ,1.4999999999999998,1.67τ,0.4,0.6,0.0086,3837.6973910774773,1025.0,3787.6973910774773,-0.4529107733454528,-0.4529107733454528,-1251.2554119123652,0,0.9155859014270542,-,-,False
0.4+0.6C 5τ,1.4999999999999998,5τ,0.4,0.6,0.00286,3764.4516437310976,1025.0,3714.4516437310976,-1.282274859706657,-1.282274859706657,-3448.6162291531314,0,2.740780963476277,-,-,False
0.4+0.6C 10τ,1.4999999999999998,10τ,0.4,0.6,0.00143,3665.195109646213,1025.0,3615.195109646213,-2.529852794818139,-2.529852794818139,-6552.812337262748,0,5.488022630546015,-,-,False
0.5+0.5C 1τ,1.0,1τ,0.5,0.5,0.0143,3770.5366434219595,1025.0,3720.5366434219595,-0.2119786296773107,-0.2119786296773107,-571.3961639175646,0,0.3751685425844168,-,-,False
0.9+0.1C 16.7τ,0.1111111111111111,16.7τ,0.9,0.1,0.00086,3630.475150379469,1025.0,3580.475150379469,-0.3093798193944736,-0.3093798193944736,-790.6124404914655,0,0.6797013896269012,-,-,False
0.9+0.1C 1.67τ,0.1111111111111111,1.67τ,0.9,0.1,0.0086,3585.9303629759615,1025.0,3535.9303629759615,-0.0326166817774512,-0.03261668177745121,-81.898216614527,6,0.06824904863196934,0,0,False
0.9+0.1C 10τ,0.1111111111111111,10τ,0.9,0.1,0.00143,3636.513843670099,1025.0,3586.513843670099,-0.2106072902037757,-0.2106072902037757,-539.4734894348175,0,0.40748237153400546,-,-,False
0.9+0.1C 1τ,0.1111111111111111,1τ,0.9,0.1,0.0143,3629.8938224226777,1025.0,3579.8938224226777,-0.0209630875323652,-0.020963087532365223,-53.558462835345765,0,0.04109809966066678,0,0,False
