condition,kappa,tau_label,DC,AC,f_Hz,ablation,alpha,A_dt,avg_dt,Q_window_lo,Q_window_hi_strict,Q_CC_end_mAh,window_margin_to_CC,x_n_Q20,x_p_Q20,x_n_CC_end,x_p_CC_end,sign,status,infeasible_reason
0.1+0.9C 1τ,9.0,1τ,0.1,0.9,0.0143,baseline_asymBV,0.5,-3044.1519737458943,-1.0209083285193454,1025.0,4006.807365761156,4058.1992278916478,51.39186213049197,0.22507859736516428,0.7087031752510181,0.7460775727956865,0.3645328977302774,-,valid,
0.1+0.2C 1τ,2.0,1τ,0.1,0.2,0.0143,baseline_asymBV,0.5,-1052.82501340045,-0.34227081059832576,1025.0,4101.0,4771.796630379008,670.7966303790081,0.22019204722453142,0.7175952400187962,0.8630994301599374,0.28908542416109895,-,valid,
0.2+0.3C 1τ,1.4999999999999998,1τ,0.2,0.3,0.0143,baseline_asymBV,0.5,-905.1698164208058,-0.29426847087802527,1025.0,4101.0,4533.482936377818,432.4829363778181,0.22267774582734945,0.7087401898335809,0.8241686414160673,0.30888000051708353,-,valid,
0.2+0.3C 10τ,1.4999999999999998,10τ,0.2,0.3,0.00143,baseline_asymBV,0.5,-8724.869852056081,-2.8364336320078287,1025.0,4101.0,4366.600673354304,265.6006733543036,0.22335049575506727,0.7087328020206433,0.7978281990900966,0.32132250759841546,-,valid,
0.2+0.3C 34.8τ,1.4999999999999998,34.8τ,0.2,0.3,0.00041,baseline_asymBV,0.5,-25593.034991042226,-8.32023244182127,1025.0,4101.0,4342.206848806838,241.20684880683802,0.22526927656110657,0.6957538247976345,0.7941444454503312,0.3182830104061041,-,valid,
0.2+0.8C 0.1τ,4.0,0.1τ,0.2,0.8,0.143,baseline_asymBV,0.5,-1098.8586910438385,-0.3690115004476441,1025.0,4002.844023047586,4054.870348410336,52.02632536275041,0.22193511530627874,0.7111828809816034,0.7424371614079187,0.3642148725850758,-,valid,
0.2+0.8C 1τ,4.0,1τ,0.2,0.8,0.0143,baseline_asymBV,0.5,-1703.3433336398618,-0.586426845171965,1025.0,3929.613504077171,3981.120651522322,51.50714744515108,0.22593450179645705,0.7027551869361287,0.7332426289262765,0.3674154271587737,-,valid,
0.2+0.8C 10τ,4.0,10τ,0.2,0.8,0.00143,baseline_asymBV,0.5,-9841.654373687326,-3.7701906500723914,1025.0,3635.3863934568817,3709.4836997907164,74.0973063338347,0.23264383592149301,0.6847277365145434,0.6928032323216222,0.3808633552653464,-,valid,
0.3+0.7C 0.1τ,2.3333333333333335,0.1τ,0.3,0.7,0.143,baseline_asymBV,0.5,-673.4767545857804,-0.23308819319761756,1025.0,3914.3645162661296,3967.11983551674,52.75531925061023,0.222880903057328,0.70473231908077,0.7290510268577253,0.36693722595143224,-,valid,
0.3+0.7C 1τ,2.3333333333333335,1τ,0.3,0.7,0.0143,baseline_asymBV,0.5,-1252.3924051017727,-0.44157564278694156,1025.0,3861.189961016593,3911.5866907697423,50.39672975314943,0.22514746459491647,0.7028274486999718,0.722044425567709,0.36952516996275603,-,valid,
