condition,kappa,tau_label,DC,AC,f_Hz,ablation,A_dt,avg_dt,Q_window_lo,Q_window_hi,Q_CC_end_mAh,window_margin_to_CC,x_n_Q20,x_p_Q20,x_n_CC_end,x_p_CC_end,sign,dtQ_min,dtQ_max,dtQ_range,dtQ_n_cross,dtQ_fraction_positive,dtQ_mean_early,dtQ_mean_mid,dtQ_mean_late,status,infeasible_reason,trajectory_class,trajectory_class_robust
0.1+0.9C 1τ,9.0,1τ,0.1,0.9,0.0143,baseline_strict,-3232.497456698767,-1.0840732013127945,1025.0,4006.807365761156,4056.8283228950454,50.020957133889624,0.2248471830136069,0.7087761789797171,0.7459082317343511,0.364521575091108,-,-1.8734922070128353,-0.4156548246393868,1.4578373823734485,0.0,0.0,-0.8646749873006656,-1.0198257469027734,-1.3570358764759352,valid,,downward_drift,downward_drift
0.1+0.2C 1τ,2.0,1τ,0.1,0.2,0.0143,baseline_strict,-1087.9913118759746,-0.3537032873458955,1025.0,4101.0,4771.798243177504,670.7982431775044,0.2201171107948151,0.7177197919815658,0.8630312738461683,0.2891150703276996,-,-0.7415847307277242,-0.0877584931894792,0.653826237538245,0.0,0.0,-0.224227247362861,-0.198988806260521,-0.6358050477722007,valid,,downward_drift,weak_drift
0.2+0.3C 1τ,1.4999999999999998,1τ,0.2,0.3,0.0143,baseline_strict,-872.5945035360788,-0.2836783171443689,1025.0,4101.0,4533.268051884155,432.2680518841553,0.222646628482147,0.7087594763432,0.8240641129331969,0.3089743029378493,-,-0.6252347888329496,-0.0708158492150687,0.5544189396178808,0.0,0.0,-0.1032738735289702,-0.1439067619578761,-0.5997640654827806,valid,,downward_drift,weak_drift
0.2+0.3C 10τ,1.4999999999999998,10τ,0.2,0.3,0.00143,baseline_strict,-8789.429646974122,-2.857421861825137,1025.0,4101.0,4365.138355818448,264.13835581844796,0.2233610747573314,0.7087401866747299,0.7979100696740817,0.3213031179537908,-,-5.433691771545303,-0.2566452037591868,5.177046567786116,0.0,0.0,-3.0004361197142995,-2.836026655714853,-2.814348479470357,valid,,upward_drift,weak_drift
0.2+0.3C 34.8τ,1.4999999999999998,34.8τ,0.2,0.3,0.00041,baseline_strict,-25593.03547398552,-8.320232598824942,1025.0,4101.0,4342.206844719742,241.20684471974164,0.2252692765372694,0.6957538248914555,0.7941444444290082,0.3182830112640679,-,-19.13049502466859,-0.0232677072888388,19.107227317379756,0.0,0.0,-7.4319268701602414,-10.296964122606385,-7.109454300745799,valid,,upward_drift,weak_drift
0.2+0.8C 0.1τ,4.0,0.1τ,0.2,0.8,0.143,baseline_strict,-1110.199940360887,-0.3728200442226944,1025.0,4002.844023047586,4054.749596677138,51.90557362955224,0.221978115277571,0.7110892428277922,0.7427109052681214,0.364010798028679,-,-0.596324895543512,-0.1449061470395236,0.4514187485039884,0.0,0.0,-0.2327845143526191,-0.3673919370457991,-0.5130155311659144,valid,,downward_drift,weak_drift
0.2+0.8C 1τ,4.0,1τ,0.2,0.8,0.0143,baseline_strict,-1627.0497928337816,-0.5601605137998261,1025.0,3929.613504077171,3981.660406967712,52.04690289054133,0.2259842115501656,0.7027562630085674,0.7331645780563687,0.3674300664144551,-,-1.0566728300011468,-0.1143694352763001,0.9423033947248466,0.0,0.0,-0.4888650170716722,-0.5654054554124595,-0.6178267744265662,valid,,downward_drift,weak_drift
0.2+0.8C 10τ,4.0,10τ,0.2,0.8,0.00143,baseline_strict,-9523.67181487266,-3.6483762858802886,1025.0,3635.3863934568817,3710.1933462328984,74.80695277601671,0.2325502416587934,0.6848205878034666,0.692820302732888,0.3808420375897073,-,-8.14356889049756,0.0129315505788326,8.156500441076393,0.0,0.0375,-3.46237904407209,-3.9005239762499113,-3.5854714100689056,valid,,downward_drift,weak_drift
0.3+0.7C 0.1τ,2.3333333333333335,0.1τ,0.3,0.7,0.143,baseline_strict,-675.4712716681817,-0.2337784893063891,1025.0,3914.3645162661296,3970.149927167423,55.78541090129329,0.2229311864672684,0.7047095412919369,0.7294771820304101,0.3666754413745739,-,-0.3807782023217745,-0.1009679721412643,0.2798102301805102,0.0,0.0,-0.1527228270012062,-0.233264372774353,-0.3128816102709056,valid,,downward_drift,flat
0.3+0.7C 1τ,2.3333333333333335,1τ,0.3,0.7,0.0143,baseline_strict,-1182.464912063468,-0.4169202092654012,1025.0,3861.189961016593,3912.431242103574,51.24128108698051,0.2250087218426225,0.7030174549452208,0.722133096407835,0.3695241641160997,-,-0.8194565658430444,-0.0701590986528875,0.7492974671901569,0.0,0.0,-0.3914539445094614,-0.4127528825866215,-0.44826981505232,valid,,weak_drift,weak_drift
