condition,ablation,Q_mAh,delta_t_min,t_DC_min,t_DCAC_min,Q_window_lo,Q_window_hi,status
0.1+0.9C 1τ,baseline_strict,1025.0,-0.4778873792918148,122.99999999999999,123.4778873792918,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,1062.7443970349514,-0.5861851937753575,127.52932764419417,128.11551283796953,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,1100.4887940699027,-0.6927276969719969,132.05865528838834,132.75138298536032,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,1138.233191104854,-0.8051720456089849,136.5879829325825,137.39315497819146,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,1175.9775881398054,-0.9206968287280385,141.11731057677665,142.0380074055047,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,1213.7219851747568,-1.0375355000350586,145.64663822097083,146.68417372100586,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,1251.4663822097082,-1.1534606380909886,150.17596586516498,151.32942650325597,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,1289.2107792446593,-1.2717250637198656,154.70529350935914,155.977018573079,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,1326.9551762796107,-0.4156548246393868,159.23462115355326,159.65027597819264,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,1364.699573314562,-0.5065239544757787,163.76394879774745,164.2704727522232,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,1402.4439703495134,-0.6124277302775832,168.2932764419416,168.90570417221917,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,1440.1883673844648,-0.7223530073708389,172.82260408613578,173.5449570935066,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,1477.9327644194161,-0.8363021146566401,177.35193173032994,178.18823384498657,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,1515.6771614543675,-0.9549501334446783,181.8812593745241,182.83620950796876,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,1553.4215584893186,-1.069536000695795,186.41058701871822,187.480123019414,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,1591.16595552427,-1.1854936942564867,190.9399146629124,192.12540835716888,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,1628.9103525592213,-1.3057429215091665,195.46924230710655,196.77498522861572,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,1666.6547495941727,-0.46477855417015235,199.9985699513007,200.46334850547086,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,1704.399146629124,-0.5473791411236865,204.52789759549486,205.07527673661855,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,1742.1435436640754,-0.648376360285935,209.05722523968905,209.70560159997498,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,1779.8879406990268,-0.7602564562258218,213.5865528838832,214.34680934010902,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,1817.6323377339781,-0.8716329483044623,218.11588052807738,218.98751347638185,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,1855.3767347689295,-0.9856686154560218,222.64520817227154,223.63087678772757,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,1893.1211318038809,-1.1001335226654798,227.17453581646572,228.2746693391312,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,1930.8655288388322,-1.21642333641715,231.70386346065987,232.92028679707704,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,1968.6099258737836,-1.3325260076201326,236.23319110485406,237.56571711247418,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,2006.354322908735,-0.49388463089938645,240.76251874904818,241.25640337994759,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,2044.0987199436863,-0.5762360455288217,245.29184639324237,245.86808243877118,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,2081.843116978637,-0.6799220536023313,249.82117403743646,250.50109609103882,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,2119.5875140135886,-0.7865888573872629,254.35050168163062,255.13709053901786,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,2157.33191104854,-0.9000573269831269,258.87982932582474,259.7798866528079,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,2195.0763080834913,-1.015463681620713,263.4091569700189,264.42462065163966,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,2232.8207051184427,-1.1342356914715916,267.9384846142131,269.0727203056847,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,2270.565102153394,-1.248445453709913,272.46781225840726,273.71625771211717,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,2308.3094991883454,-1.3688743750055437,276.9971399026015,278.366014277607,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,2346.0538962232968,-1.4855823311350227,281.5264675467956,283.0120498779306,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,2383.798293258248,-0.6232445162784036,286.0557951909898,286.6790397072682,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,2421.5426902931995,-0.7209835836945179,290.58512283518394,291.30610641887847,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,2459.287087328151,-0.8247093085023153,295.1144504793781,295.9391597878804,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,2497.031484363102,-0.9367298118838637,299.6437781235722,300.58050793545607,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,2534.7758813980536,-1.0510525982263061,304.1731057677664,305.2241583659927,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,2572.520278433005,-1.165383250254187,308.70243341196056,309.86781666221475,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,2610.2646754679563,-1.2826481591936196,313.23176105615477,314.5144092153484,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,2648.0090725029077,-1.4016335330509415,317.7610887003489,319.16272223339985,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,2685.753469537859,-1.5198902960642349,322.290416344543,323.8103066406073,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,2723.4978665728104,-0.6654414463765836,326.81974398873723,327.4851854351138,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,2761.2422636077617,-0.7579810525690845,331.34907163293144,332.1070526855005,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,2798.986660642713,-0.8648394309451154,335.8783992771256,336.7432387080707,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,2836.7310576776645,-0.9751861963331976,340.4077269213197,341.3829131176529,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,2874.475454712616,-1.0922204385273289,344.9370545655139,346.02927500404127,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,2912.219851747567,-1.2043420314571753,349.46638220970806,350.6707242411652,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,2949.9642487825186,-1.3213137806034259,353.9957098539022,355.31702363450563,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,2987.70864581747,-1.4384052850708637,358.52503749809637,359.96344278316724,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,3025.4530428524213,-1.5555302914361164,363.0543651422905,364.60989543372665,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,3063.1974398873726,-1.6732431848078098,367.58369278648473,369.25693597129253,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,3100.9418369223235,-0.8074539682535032,372.11302043067883,372.9204743989323,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,3138.686233957275,-0.9105367533895332,376.642348074873,377.55288482826256,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,3176.4306309922263,-1.0155083093686699,381.17167571906714,382.1871840284358,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,3214.1750280271776,-1.1262791575112108,385.70100336326135,386.82728252077254,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,3251.919425062129,-1.2415823867355964,390.2303310074555,391.47191339419106,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,3289.6638220970804,-1.3604533547500979,394.7596586516496,396.1201120063997,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,3327.4082191320317,-1.478005034835587,399.2889862958438,400.7669913306794,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,3365.152616166983,-1.5951559894296223,403.81831394003797,405.41346992946757,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,3402.8970132019344,-1.7148291756216472,408.3476415842321,410.06247075985374,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,3440.641410236886,-1.833207054092418,412.8769692284263,414.7101762825187,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,3478.385807271837,-0.9605385154047933,417.40629687262043,418.3668353880252,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,3516.1302043067885,-1.0616827204941122,421.93562451681464,422.99730723730875,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,3553.87460134174,-1.1731817850730901,426.4649521610088,427.6381339460819,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,3591.6189983766913,-1.2844674186192302,430.994279805203,432.2787472238222,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,3629.3633954116426,-1.4009152891533327,435.5236074493971,436.9245227385505,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,3667.107792446594,-1.517645068080674,440.05293509359126,441.57058016167196,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,3704.8521894815453,-1.6363763498691697,444.58226273778547,446.21863908765465,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,3742.5965865164967,-1.7550353338365918,449.1115903819796,450.8666257158162,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,3780.340983551448,-1.8734922070128353,453.6409180261738,455.51441023318665,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,3818.0853805863994,-1.027877348779839,458.17024567036793,459.1981230191478,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,3855.8297776213503,-1.108465280238003,462.6995733145621,463.80803859480005,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,3893.5741746563017,-1.215409155406875,467.22890095875624,468.4443101141631,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,3931.318571691253,-1.322650452093876,471.75822860295034,473.08087905504425,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,3969.0629687262044,-1.4382732651845194,476.28755624714455,477.7258295123291,1025.0,4006.807365761156,valid
0.1+0.9C 1τ,baseline_strict,4006.807365761156,-1.5521738153714977,480.8168838913387,482.3690577067102,1025.0,4006.807365761156,valid
0.1+0.2C 1τ,baseline_strict,1025.0,-0.30335049872404246,122.99999999999999,123.30335049872403,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,1063.9367088607596,-0.2962650659788778,127.67240506329115,127.96867012927004,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,1102.873417721519,-0.28960126412456094,132.34481012658227,132.63441139070684,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,1141.8101265822784,-0.28328242180450613,137.01721518987338,137.3004976116779,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,1180.746835443038,-0.2760155124263292,141.68962025316458,141.9656357655909,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,1219.6835443037976,-0.2695093753624557,146.3620253164557,146.63153469181816,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,1258.620253164557,-0.26332820847501354,151.03443037974685,151.29775858822185,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,1297.5569620253164,-0.25733842105094784,155.70683544303796,155.9641738640889,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,1336.493670886076,-0.2530169461147731,160.37924050632913,160.6322574524439,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,1375.4303797468356,-0.245739184613376,165.05164556962026,165.29738475423363,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,1414.367088607595,-0.2391369197237509,169.72405063291137,169.96318755263513,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,1453.3037974683543,-0.2334098545654039,174.3964556962025,174.62986555076793,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,1492.240506329114,-0.22804766896348763,179.06886075949367,179.29690842845716,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,1531.1772151898736,-0.2237253464239378,183.7412658227848,183.96499116920873,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,1570.113924050633,-0.2175666343988875,188.41367088607595,188.63123752047483,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,1609.0506329113923,-0.20798425276713411,193.08607594936706,193.29406020213418,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,1647.987341772152,-0.20155589670763827,197.75848101265822,197.96003690936587,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,1686.9240506329115,-0.19546375569076796,202.43088607594936,202.62634983164014,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,1725.860759493671,-0.18809352644927155,207.1032911392405,207.29138466568978,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,1764.7974683544303,-0.1815401597565445,211.7756962025316,211.95723636228817,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,1803.73417721519,-0.17752594654587786,216.4481012658228,216.62562721236867,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,1842.6708860759495,-0.17160488790956757,221.12050632911394,221.2921112170235,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,1881.607594936709,-0.16580283211575686,225.79291139240507,225.95871422452083,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,1920.5443037974683,-0.15919981527270768,230.4653164556962,230.6245162709689,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,1959.4810126582279,-0.15432154708205417,235.13772151898735,235.2920430660694,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,1998.4177215189875,-0.14748248838671618,239.8101265822785,239.95760907066523,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,2037.3544303797469,-0.1413187735448446,244.48253164556962,244.6238504191145,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,2076.2911392405063,-0.13576784611856663,249.15493670886073,249.2907045549793,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,2115.227848101266,-0.13083602799318517,253.8273417721519,253.95817780014508,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,2154.1645569620255,-0.12588040255692856,258.49974683544303,258.62562723799994,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,2193.1012658227846,-0.12310953625683396,263.1721518987341,263.29526143499095,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,2232.0379746835442,-0.12078053406685285,267.84455696202525,267.9653374960921,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,2270.974683544304,-0.11331495820092338,272.51696202531645,272.6302769835174,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,2309.9113924050635,-0.11080553442352539,277.1893670886076,277.30017262303113,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,2348.848101265823,-0.10633712893225795,281.8617721518988,281.9681092808311,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,2387.784810126582,-0.1022763919175001,286.53417721518986,286.6364536071074,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,2426.721518987342,-0.10135759405469193,291.206582278481,291.3079398725357,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,2465.6582278481014,-0.09635259769796296,295.87898734177213,295.97533993947013,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,2504.5949367088606,-0.09507873097815416,300.5513924050632,300.6464711360414,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,2543.53164556962,-0.09641121858530824,305.22379746835435,305.3202086869397,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,2582.46835443038,-0.08811029903711945,309.8962025316456,309.9843128306827,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,2621.4050632911394,-0.08775849318947924,314.56860759493674,314.6563660881262,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,2660.341772151899,-0.08919032544302657,319.2410126582279,319.33020298367086,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,2699.278481012658,-0.09927596242626653,323.91341772151895,324.0126936839452,1025.0,4101.0,valid
0.1+0.2C 1τ,baseline_strict,2738.215189873418,-0.09302013726822528,328.58582278481015,328.6788429220784,1025.0,4101.0,valid
