condition,I_DC_C,A_C,f_Hz,kappa,sim_CC_min,sim_CV_min,sim_total_min,sim_T_max_C,sim_Q_mAh,exp_T_max_C,exp_Δt_Q80,exp_total_min,AC_rev_pct,wall_s,status
0.1+0.9C 1τ,0.100,0.900,0.014,9.000,498.567,69.830,568.397,26.627,5125.684,26.376,2.880,523.417,46.325,1.080,ok
0.1+0.2C 1τ,0.100,0.200,0.014,2.000,583.603,47.070,630.673,20.790,5126.215,23.059,0.590,593.533,32.717,0.817,ok
0.2+0.3C 1τ,0.200,0.300,0.014,1.500,277.087,58.553,335.640,21.872,5126.452,24.323,0.170,307.650,25.878,0.746,ok
0.2+0.3C 10τ,0.200,0.300,0.001,1.500,276.001,61.075,337.076,22.238,5125.873,24.503,5.050,298.700,25.055,0.628,ok
0.2+0.3C 34.8τ,0.200,0.300,0.000,1.500,272.703,65.824,338.526,23.213,5126.928,24.994,15.030,306.550,20.370,0.619,ok
0.2+0.8C 0.1τ,0.200,0.800,0.143,4.000,248.570,70.171,318.741,25.352,5127.110,26.215,1.260,294.417,41.641,1.452,ok
0.2+0.8C 1τ,0.200,0.800,0.014,4.000,244.479,71.735,316.214,25.553,5126.869,26.517,3.770,292.050,40.791,0.897,ok
0.2+0.8C 10τ,0.200,0.800,0.001,4.000,,,,20.842,,27.368,15.310,280.867,,0.503,INFEASIBLE_MIN_V: V_min=1.500V in Phase 2 (Chen2020 more sensitive than MJ1)
0.3+0.7C 0.1τ,0.300,0.700,0.143,2.333,162.206,72.116,234.322,25.072,5125.645,25.864,0.020,222.567,35.384,1.240,ok
0.3+0.7C 1τ,0.300,0.700,0.014,2.333,159.427,73.561,232.988,25.331,5128.253,25.671,2.970,216.300,34.105,0.740,ok
0.3+0.7C 10τ,0.300,0.700,0.001,2.333,159.491,75.911,235.402,26.781,5127.000,28.751,8.670,210.917,32.066,0.697,ok
0.3+0.4C 0.1τ,0.300,0.400,0.143,1.333,169.665,68.630,238.295,23.518,5126.570,25.458,0.010,220.883,21.668,1.086,ok
0.3+0.4C 1τ,0.300,0.400,0.014,1.333,168.681,69.354,238.035,23.610,5127.200,25.555,0.090,220.617,22.041,0.768,ok
0.3+0.4C 10τ,0.300,0.400,0.001,1.333,170.754,70.192,240.946,23.824,5126.850,27.350,0.940,217.117,19.388,0.628,ok
0.4+0.6C 0.5τ,0.400,0.600,0.029,1.500,118.729,74.116,192.846,25.412,5125.451,28.171,1.310,176.167,26.030,0.813,ok
0.4+0.5C 1.67τ,0.400,0.500,0.009,1.250,119.601,73.931,193.531,25.066,5127.507,26.776,1.460,177.150,18.522,0.658,ok
0.4+0.6C 1.67τ,0.400,0.600,0.009,1.500,117.680,74.929,192.609,25.635,5126.958,28.125,1.510,175.733,25.123,0.679,ok
0.4+0.6C 5τ,0.400,0.600,0.003,1.500,114.948,76.873,191.822,26.220,5126.043,27.606,5.120,174.283,24.851,0.728,ok
0.4+0.6C 10τ,0.400,0.600,0.001,1.500,113.541,78.265,191.806,26.680,5126.629,28.534,4.720,181.200,23.486,0.624,ok
0.5+0.5C 1τ,0.500,0.500,0.014,1.000,92.924,75.684,168.608,26.075,5127.518,27.594,1.270,157.883,0.000,0.744,ok
0.9+0.1C 16.7τ,0.900,0.100,0.001,0.111,49.377,78.288,127.665,31.897,5126.438,33.910,0.610,115.067,0.000,0.598,ok
0.9+0.1C 1.67τ,0.900,0.100,0.009,0.111,48.031,78.994,127.025,31.597,5126.762,34.525,0.020,115.050,0.000,0.690,ok
0.9+0.1C 10τ,0.900,0.100,0.001,0.111,50.627,76.573,127.200,31.845,5126.499,33.069,0.040,115.850,0.000,0.605,ok
0.9+0.1C 1τ,0.900,0.100,0.014,0.111,48.523,78.502,127.025,31.549,5126.261,33.585,-0.050,115.417,0.000,0.700,ok
0.1C_DC,0.100,0.000,0.000,0.000,600.479,34.952,635.432,20.317,5126.394,23.431,,,0.000,0.584,ok
0.2C_DC,0.200,0.000,0.000,0.000,291.944,47.612,339.557,21.018,5126.496,22.769,,,0.000,0.578,ok
0.3C_DC,0.300,0.000,0.000,0.000,189.220,54.740,243.960,22.051,5126.461,23.553,,,0.000,0.678,ok
0.4C_DC,0.400,0.000,0.000,0.000,137.568,60.050,197.619,23.166,5126.711,25.867,,,0.000,0.586,ok
0.5C_DC,0.500,0.000,0.000,0.000,105.774,64.885,170.659,24.648,5126.822,27.109,,,0.000,0.658,ok
0.9C_DC,0.900,0.000,0.000,0.000,48.899,78.119,127.018,31.519,5126.311,34.170,,,0.000,0.595,ok
