target_soc,pulse_direction,status,tau2_secondary_60s,fit_R2_60s,tau2_biexp,fit_R2_primary,fit_RMSE_primary,tau1_secondary_60s,tau1_primary,tau_tail,tail_R2,tau_FG_eff,R0,R0_CD,R0_EF,Uinf,Uf,wall_clock_s,cell,SOC,mode,primary_window_s,eff_window_s,t95,t99,Uc,Ud,Ue,Ug,I0,Ip,ton_ms,toff_ms,C_ms,D_ms,E_ms,F_ms,G_ms
10,discharge,ok,20.617246945859204,0.9998796178147991,35.64864331331987,0.9993473046740268,0.0003308301710699361,2.465822106366662,4.040709743516068,250.14068691464527,0.9993674560898516,15.926864896294662,0.028345332269181303,0.02846784010731227,0.02822282443105033,3.277857309629936,3.236507858149416,1.2280418872833252,Chen2020,10,discharge,1000.0,1000.0,105.7956477782363,303.3507010551281,3.287273145998703,3.1449339454621414,3.0953937359941643,3.27747138160245,0.0,-5.0,5000000.000000001,5010000.000000001,4999400.000000001,5000050.000000001,5009640.285801434,5010050.000000001,5313400.701055129
10,charge,ok,19.716993601553593,0.9998790637120182,33.26728941165841,0.9994457803028909,0.00036233090263816084,2.3432803843759116,3.627387517840824,249.81486043212175,0.9993481010195816,15.333314050599002,0.028231402662053463,0.0283801914070116,0.028082613917095323,3.296737003325762,3.339208041271704,1.1996779441833496,Chen2020,10,charge,1000.0,1000.0,105.43615578512289,305.66469297294503,3.287273145998703,3.429174103033761,3.4796211108571806,3.297126952974391,0.0,5.0,5000000.000000001,5010000.000000001,4999400.000000001,5000020.000000001,5009527.3911659,5010020.000000001,5315684.692972946
20,discharge,ok,24.437605429218667,0.9999555310259757,41.53687047800923,0.9995903259807343,0.00015439314945308138,3.5287044783853103,7.070379823268222,259.22325176959004,0.9997469311257516,25.27151484176982,0.025594112169159057,0.02583408153405333,0.02535414280426478,3.478613101877339,3.458289196117633,1.1317391395568848,Chen2020,20,discharge,1000.0,1000.0,138.9501658663964,431.8171990146162,3.4808690512992255,3.351698643628959,3.331518482096309,3.478414824254749,0.0,-5.0,5000000.000000001,5010000.000000001,4999400.000000001,5000050.000000001,5009287.85185403,5010050.000000001,5441867.199014617
20,charge,ok,23.829775676694403,0.9999624266775352,42.103097022326025,0.9995885991715161,0.0001572191094700416,3.501134056957721,7.536637483389743,270.75807387766247,0.9996765752368129,24.791115111633204,0.025828087170700086,0.025835032837059034,0.025821141504341137,3.483079728621485,3.5034022839208663,0.9869229793548584,Chen2020,20,charge,1000.0,1000.0,143.89917489682975,471.44633930611053,3.4808690512992255,3.6100442154845207,3.632507991442572,3.4832600018188895,0.0,5.0,5000000.000000001,5010000.000000001,4999400.000000001,5000020.000000001,5009485.3322623195,5010020.000000001,5481466.339306111
30,discharge,ok,23.2877458424496,0.9999429585246643,40.05196252352408,0.9995375674068881,0.00017899224972111317,3.1703254523818365,6.145621351329234,261.187820494411,0.9996612188893989,24.10275839830935,0.024229280376255824,0.024510588617449435,0.023947972135062213,3.5694376458040207,3.546917390307731,1.257526159286499,Chen2020,30,discharge,1000.0,1000.0,135.67266164213234,430.79305086769534,3.572428534871742,3.4498755917844948,3.42717752963242,3.5692255625992066,0.0,-5.0,5000000.000000001,5010000.000000001,4999400.000000001,5000050.000000001,5009361.170749192,5010050.000000001,5440843.050867696
30,charge,ok,23.01975305842301,0.9999483702989811,40.82609095001445,0.9995361742518417,0.0001825625458707323,3.154070199768313,6.549477336111531,268.28708445785276,0.9997695865925895,22.213461532644928,0.024570490119794598,0.02448972388647732,0.024651256353111873,3.575410225856144,3.598121583648437,0.9835729598999023,Chen2020,30,charge,1000.0,1000.0,134.59597163613793,420.10829460178314,3.572428534871742,3.6948771543041286,3.7213778654139964,3.5756295901136315,0.0,5.0,5000000.000000001,5010000.000000001,4999400.000000001,5000020.000000001,5009714.790812416,5010020.000000001,5430128.294601784
40,discharge,ok,26.08436888305989,0.9999800533860609,51.642639685908996,0.9995608548568236,0.00016232606823032494,4.555212998379798,9.851321920551205,297.0326274650252,0.9995666341716539,26.158984075312503,0.023408051365720394,0.02369470443565804,0.023121398295782747,3.6565512299880796,3.636020023905308,1.1349310874938965,Chen2020,40,discharge,1000.0,1000.0,167.52153543903958,537.5074723416809,3.658497600835358,3.540024078657068,3.5204130324263945,3.6563651671710984,0.0,-5.0,5000000.000000001,5010000.000000001,4999400.000000001,5000050.000000001,5009535.323849136,5010050.000000001,5547557.472341682
40,charge,ok,25.08791616679878,0.9999866118934388,48.61271582845751,0.9996808485800075,0.00014620897841903497,4.685881760496914,9.587563529083637,234.84662360815932,0.9999131766387882,25.14409841560386,0.023879050291295688,0.023778614891065343,0.023979485691526036,3.660622580495928,3.681927930434944,1.148460865020752,Chen2020,40,charge,1000.0,1000.0,148.47103059061243,459.32247607280874,3.658497600835358,3.7773906752906847,3.8018253588925743,3.6608103306751287,0.0,5.0,5000000.000000001,5010000.000000001,4999400.000000001,5000020.000000001,5009720.804196333,5010020.000000001,5469342.47607281
50,discharge,ok,27.830122830661246,0.9999954354274302,63.59734693098738,0.99963032100039,0.00018316071664199138,5.9459849297502645,11.546179133359212,266.1546227459293,0.9997537907563296,26.86791730386112,0.023053976922260674,0.02342950204994949,0.022678451794571862,3.7342537956457527,3.7089650752361463,1.1542079448699951,Chen2020,50,discharge,1000.0,1000.0,193.57449973839056,552.0832791675124,3.736958586661995,3.6198110764122475,3.595572816263287,3.7340312023696525,0.0,-5.0,5000000.000000001,5010000.000000001,4999400.000000001,5000050.000000001,5009279.350010066,5010050.000000001,5562133.279167513
50,charge,ok,26.463015718000385,0.9999926086593576,61.943363520030104,0.9996306589633606,0.00019532299968763727,5.60098071291719,11.043051350089437,268.33020395599715,0.9997546294867404,25.662992872325702,0.023489578545510127,0.023467579800470782,0.02351157729054947,3.7396703565293143,3.7663159025323436,0.9923169612884521,Chen2020,50,charge,1000.0,1000.0,187.1055842000302,547.5355555363009,3.736958586661995,3.854296485664349,3.883873788985091,3.7399096675241834,0.0,5.0,5000000.000000001,5010000.000000001,4999400.000000001,5000020.000000001,5009339.449487406,5010020.000000001,5557555.555536302
60,discharge,ok,27.116165908972206,0.9999935383560551,54.270833721124326,0.9996823416541945,0.00016397813794768226,5.531463392955179,10.19289558410435,216.4631588896,0.9999546376751606,25.366882115229032,0.02311606292216748,0.023367754260597097,0.022864371583737865,3.824890895054925,3.8006982263664266,1.1596758365631104,Chen2020,60,discharge,1000.0,1000.0,159.5566896397518,471.45732334538366,3.8275557605308324,3.710716989227847,3.6863763684477373,3.824680179336289,0.0,-5.0,5000000.000000001,5010000.000000001,4999400.000000001,5000050.000000001,5009944.4110908285,5010050.000000001,5481507.323345385
60,charge,ok,24.524995265621857,0.9999829513609125,61.68848611024021,0.9995229859869017,0.00020051332477002748,4.501912842470315,11.03285817056938,344.42185287828175,0.9995480590718197,26.95862074961793,0.023525536287881767,0.023429697647771162,0.023621374927992368,3.829793412621077,3.8539488002722684,1.1589713096618652,Chen2020,60,charge,1000.0,1000.0,206.46605609496217,595.0073834405961,3.8275557605308324,3.944704248769688,3.97205567491223,3.830019949407495,0.0,5.0,5000000.000000001,5010000.000000001,4999400.000000001,5000020.000000001,5009451.831245483,5010020.000000001,5605027.383440597
70,discharge,ok,23.758060737194853,0.9999579004451941,49.311600964320654,0.999377283295716,0.00023487014966489618,3.6578446256031194,8.093914717762727,309.37505282197867,0.9997393049323556,24.42589214233961,0.023299159491458176,0.023618844903868917,0.022979474079047435,3.9229222139261406,3.8970138090581035,1.1789400577545166,Chen2020,70,discharge,1000.0,1000.0,174.38437567753064,555.8787577910163,3.925896422913504,3.8078021983941595,3.7821164386628663,3.9226885467636174,0.0,-5.0,5000000.000000001,5010000.000000001,4999400.000000001,5000050.000000001,5009802.478026714,5010050.000000001,5565928.757791017
