condition,case_id,I_DC_Crate,A_Crate,f_Hz,kappa,status,CC_time_min,CV_time_min,total_time_min,Q_net_final_mAh,T_max_charging_C,pct_AC_reversals,wall_clock_s,CC_time_s,CV_time_s,total_time_s,n_AC_reversals_steps,CC_time_s_partial,T_max_charging_C_partial,V_min_phase2
0.1+0.9C 1τ,DC0.10C+AC0.90C_f0.01400Hz,0.1,0.9,0.014,9.0,ok,498.54440485880974,69.9958941008242,568.5402989596339,5126.108599208311,26.590545772466385,43.673780487804876,12.398952007293701,29912.664291528585,4199.753646049452,34112.41793757804,13179.0,,,
0.1+0.2C 1τ,DC0.10C+AC0.20C_f0.01400Hz,0.1,0.2,0.014,2.0,ok,583.0458414315813,47.56282856931248,630.6086700008938,5127.879388203134,20.78964726653078,33.18772696173885,5.205024003982544,34982.750485894874,2853.7697141587487,37836.52020005362,6306.0,,,
0.2+0.3C 1τ,DC0.20C+AC0.30C_f0.01400Hz,0.2,0.3,0.014,1.4999999999999998,ok,277.07101318109164,58.88671808399776,335.95773126508936,5126.488420173752,21.876162671027146,26.72068548011549,4.0325281620025635,16624.260790865497,3533.203085039866,20157.463875905363,2869.0,,,
0.2+0.3C 10τ,DC0.20C+AC0.30C_f0.00100Hz,0.2,0.3,0.001,1.4999999999999998,ok,277.90405408870623,61.5136097949767,339.4176638836829,5126.9614775220425,22.389014770408266,23.900789177001126,1.3121750354766846,16674.243245322374,3690.8165876986022,20365.059833020976,212.0,,,
0.2+0.3C 34.8τ,DC0.20C+AC0.30C_f0.00000Hz,0.2,0.3,0.0,1.4999999999999998,ok,291.8725005289411,47.87692500696788,339.749425535909,5126.330541890452,21.01448955860934,0.0,0.9869198799133301,17512.350031736467,2872.6155004180728,20384.96553215454,0.0,,,
0.2+0.8C 0.1τ,DC0.20C+AC0.80C_f0.14300Hz,0.2,0.8,0.143,4.0,ok,248.91647819826264,70.34874945961147,319.2652276578741,5123.723199115244,25.30705453933564,39.77373658789588,61.50510501861572,14934.988691895758,4220.924967576688,19155.913659472448,61349.0,,,
0.2+0.8C 1τ,DC0.20C+AC0.80C_f0.01400Hz,0.2,0.8,0.014,4.0,ok,244.9512304569094,71.87553925903812,316.8267697159475,5124.138637199109,25.52545704363689,40.22171093913407,5.9368531703948975,14697.073827414564,4312.532355542287,19009.60618295685,5769.0,,,
0.2+0.8C 10τ,DC0.20C+AC0.80C_f0.00100Hz,0.2,0.8,0.001,4.0,INFEASIBLE_MIN_V: V_min=1.500V in Phase 2,,,,,,,0.8367080688476562,,,,,201.12132446578653,20.84745390659566,1.4999999999989733
0.3+0.7C 0.1τ,DC0.30C+AC0.70C_f0.14300Hz,0.3,0.7,0.143,2.3333333333333335,ok,162.66854619577276,72.42939943061428,235.09794562638706,5124.680704647344,25.054668147264636,34.61186631778246,34.69201993942261,9760.112771746366,4345.763965836857,14105.876737583223,32540.0,,,
0.3+0.7C 1τ,DC0.30C+AC0.70C_f0.01400Hz,0.3,0.7,0.014,2.3333333333333335,ok,160.41739311802246,73.67131169578303,234.0887048138055,5123.811474790324,25.278585393744947,35.3141688444495,3.8317270278930664,9625.043587081347,4420.278701746982,14045.322288828329,3108.0,,,
