case_id,I_DC_Crate,A_Crate,f_Hz,kappa,wall_clock_s,CC_time_s,CV_time_s,total_time_s,CC_time_min,CV_time_min,total_time_min,Q_net_final_mAh,T_max_charging_C,n_AC_reversals_steps,pct_AC_reversals,status,condition,tau_label,CC_time_s_partial,T_max_charging_C_partial,V_min_phase2
DC0.10C+AC0.90C_f0.01430Hz,0.1,0.9,0.0143,9.0,12.568201065063477,29983.365590203757,4191.054380590525,34174.41997079428,499.72275983672927,69.85090634317542,569.5736661799048,5127.021199171569,26.581611176787646,13670.0,43.63090868468929,ok,0.1+0.9C 1τ,1τ,,,
DC0.10C+AC0.20C_f0.01430Hz,0.1,0.2,0.0143,2.0,5.155214071273804,35016.53092507597,2839.2961634766834,37855.82708855265,583.6088487512661,47.32160272461139,630.9304514758775,5128.173295744428,20.7878546502194,6474.0,33.371134020618555,ok,0.1+0.2C 1τ,1τ,,,
DC0.20C+AC0.30C_f0.01430Hz,0.2,0.3,0.0143,1.4999999999999998,3.6867430210113525,16625.21783069824,3532.2738980230606,20157.4917287213,277.0869638449706,58.87123163371768,335.9581954786883,5126.398139552066,21.874953720180997,2940.0,26.761332605133806,ok,0.2+0.3C 1τ,1τ,,,
DC0.20C+AC0.30C_f0.00143Hz,0.2,0.3,0.00143,1.4999999999999998,1.3078222274780273,16561.85224163357,3691.114477317853,20252.966718951422,276.03087069389284,61.51857462196422,337.54944531585704,5128.407488233409,22.220282207778666,280.0,22.48995983935743,ok,0.2+0.3C 10τ,10τ,,,
DC0.20C+AC0.30C_f0.00041Hz,0.2,0.3,0.00041,1.4999999999999998,1.0441679954528809,16439.149737422762,3942.155445927372,20381.305183350134,273.985828957046,65.70259076545621,339.68841972250226,5127.593849593509,23.207892859422145,93.0,20.993227990970656,ok,0.2+0.3C 34.8τ,34.8τ,,,
DC0.20C+AC0.80C_f0.14300Hz,0.2,0.8,0.143,4.0,62.150683879852295,14934.988691895758,4220.924967576688,19155.913659472448,248.91647819826264,70.34874945961147,319.2652276578741,5123.723199115244,25.30705453933564,61349.0,39.77373658789588,ok,0.2+0.8C 0.1τ,0.1τ,,,
DC0.20C+AC0.80C_f0.01430Hz,0.2,0.8,0.0143,4.0,6.584239959716797,14670.00328523373,4321.5205515782945,18991.523836812026,244.5000547538955,72.02534252630491,316.5253972802004,5124.997832150764,25.517887308509216,5914.0,40.763716570168185,ok,0.2+0.8C 1τ,1τ,,,
DC0.20C+AC0.80C_f0.00143Hz,0.2,0.8,0.00143,4.0,1.0205669403076172,,,,,,,,,,,INFEASIBLE_MIN_V: V_min=1.500V in Phase 2,0.2+0.8C 10τ,10τ,162.34736273438466,20.843657447023872,1.4999999999990097
DC0.30C+AC0.70C_f0.14300Hz,0.3,0.7,0.143,2.3333333333333335,35.449252128601074,9760.112771746366,4345.763965836857,14105.876737583223,162.66854619577276,72.42939943061428,235.09794562638706,5124.680704647344,25.054668147264636,32540.0,34.61186631778246,ok,0.3+0.7C 0.1τ,0.1τ,,,
DC0.30C+AC0.70C_f0.01430Hz,0.3,0.7,0.0143,2.3333333333333335,4.317499160766602,9632.698521716435,4416.242017749246,14048.94053946568,160.54497536194057,73.6040336291541,234.1490089910947,5123.2826757544935,25.26729052252074,3157.0,35.4122265844083,ok,0.3+0.7C 1τ,1τ,,,
DC0.30C+AC0.70C_f0.00143Hz,0.3,0.7,0.00143,2.3333333333333335,1.2218239307403564,9574.829157024646,4601.061189831184,14175.89034685583,159.58048595041075,76.68435316385306,236.26483911426382,5125.148656877135,26.63791747941599,317.0,31.668331668331668,ok,0.3+0.7C 10τ,10τ,,,
DC0.30C+AC0.40C_f0.14300Hz,0.3,0.4,0.143,1.3333333333333335,24.836995840072632,10207.686056229622,4137.580743542949,14345.266799772571,170.12810093716038,68.95967905904915,239.08777999620952,5128.139901067608,23.49203000403577,16778.0,22.53260095889123,ok,0.3+0.4C 0.1τ,0.1τ,,,
DC0.30C+AC0.40C_f0.01430Hz,0.3,0.4,0.0143,1.3333333333333335,2.9815399646759033,10121.475429633474,4190.913028915453,14312.388458548927,168.6912571605579,69.8485504819242,238.53980764248212,5125.820643753606,23.608336343297026,1671.0,23.096060815480303,ok,0.3+0.4C 1τ,1τ,,,
DC0.30C+AC0.40C_f0.00143Hz,0.3,0.4,0.00143,1.3333333333333335,1.2804009914398193,10248.624971451833,4248.950626355712,14497.575597807545,170.8104161908639,70.8158437725952,241.6262599634591,5127.784424435849,23.762809483084766,176.0,18.945102260495155,ok,0.3+0.4C 10τ,10τ,,,
DC0.40C+AC0.60C_f0.02860Hz,0.4,0.6,0.0286,1.4999999999999998,4.932519197463989,7158.1660258271895,4472.868046728259,11631.034072555449,119.30276709711983,74.54780077880432,193.85056787592416,5123.952561849561,25.386772663544605,3224.0,26.616032361925203,ok,0.4+0.6C 0.5τ,0.5τ,,,
DC0.40C+AC0.50C_f0.00860Hz,0.4,0.5,0.0086,1.25,2.0587618350982666,7177.031656916355,4480.560888997999,11657.592545914355,119.61719428193925,74.67601481663333,194.2932090985726,5125.057931551589,25.08193636347619,690.0,20.75812274368231,ok,0.4+0.5C 1.67τ,1.67τ,,,
DC0.40C+AC0.60C_f0.00860Hz,0.4,0.6,0.0086,1.4999999999999998,2.1100239753723145,7061.9291527087735,4545.818581392701,11607.747734101475,117.69881921181289,75.76364302321169,193.4624622350246,5124.48236641854,25.663034383362856,967.0,25.340670859538783,ok,0.4+0.6C 1.67τ,1.67τ,,,
DC0.40C+AC0.60C_f0.00286Hz,0.4,0.6,0.00286,1.4999999999999998,1.419792890548706,6902.943421530072,4665.187951210584,11568.131372740656,115.0490570255012,77.75313252017641,192.8021895456776,5125.153997805871,26.25690761477057,299.0,22.982321291314374,ok,0.4+0.6C 5τ,5τ,,,
DC0.40C+AC0.60C_f0.00143Hz,0.4,0.6,0.00143,1.4999999999999998,1.1416997909545898,6828.503130563424,4739.113001330168,11567.616131893592,113.80838550939039,78.98521668883613,192.79360219822652,5125.030360521857,26.733715921758346,153.0,21.220527045769764,ok,0.4+0.6C 10τ,10τ,,,
DC0.50C+AC0.50C_f0.01430Hz,0.5,0.5,0.0143,1.0,2.281275749206543,5576.896385796459,4596.83645740178,10173.732843198239,92.94827309660765,76.61394095669633,169.562214053304,5125.083924359285,26.111875680710455,0.0,0.0,ok,0.5+0.5C 1τ,1τ,,,
DC0.90C+AC0.10C_f0.00086Hz,0.9,0.1,0.00086,0.11111111111111112,1.0174520015716553,2991.492420418357,4790.202108766003,7781.69452918436,49.85820700697262,79.83670181276672,129.69490881973934,5125.446596128731,31.57942800708628,0.0,0.0,ok,0.9+0.1C 16.7τ,16.7τ,,,
DC0.90C+AC0.10C_f0.00860Hz,0.9,0.1,0.0086,0.11111111111111112,1.3078341484069824,2973.141809316947,4773.860263243134,7747.002072560081,49.55236348861578,79.5643377207189,129.11670120933468,5124.778148812418,31.520529104684783,0.0,0.0,ok,0.9+0.1C 1.67τ,1.67τ,,,
DC0.90C+AC0.10C_f0.00143Hz,0.9,0.1,0.00143,0.11111111111111112,1.043215036392212,3063.402720375896,4695.643422153904,7759.0461425298,51.05671200626493,78.26072370256506,129.31743570883,5124.557770308056,31.738229853665132,0.0,0.0,ok,0.9+0.1C 10τ,10τ,,,
DC0.90C+AC0.10C_f0.01430Hz,0.9,0.1,0.0143,0.11111111111111112,1.2365810871124268,2975.676484057134,4769.553827674919,7745.230311732053,49.5946080676189,79.49256379458198,129.0871718622009,5124.882374326356,31.508814155302503,0.0,0.0,ok,0.9+0.1C 1τ,1τ,,,
DC0.10C_baseline,0.1,0.0,0.0,0.0,1.0169970989227295,36025.57172325896,2104.0155463891715,38129.58726964813,600.4261953876493,35.06692577315286,635.4931211608022,5126.313074640761,20.31536535481598,0.0,0.0,ok,0.1C_DC,baseline,,,
DC0.20C_baseline,0.2,0.0,0.0,0.0,1.1227149963378906,17512.350031736467,2872.6155004180728,20384.96553215454,291.8725005289411,47.87692500696788,339.749425535909,5126.330541890452,21.01448955860934,0.0,0.0,ok,0.2C_DC,baseline,,,
DC0.30C_baseline,0.3,0.0,0.0,0.0,0.990441083908081,11345.449198764976,3315.7676974956994,14661.216896260676,189.09081997941627,55.26279495826166,244.35361493767792,5125.988242972963,21.954979483666364,0.0,0.0,ok,0.3C_DC,baseline,,,
DC0.40C_baseline,0.4,0.0,0.0,0.0,1.105006217956543,8245.777916981073,3650.013876587511,11895.791793568584,137.42963194968453,60.83356460979185,198.2631965594764,5125.895173088575,23.084276586466842,0.0,0.0,ok,0.4C_DC,baseline,,,
