condition,DC,AC,f_Hz,kappa,tau_label,dt_x2_DFN_min,dt_v01_SPMe_min,dt_exp_MJ1_min,sign_x2,sign_v01,sign_exp,x2_vs_exp,v01_vs_exp,x2_vs_v01
0.1+0.9C 1τ,0.1,0.9,0.0143,9.0,1τ,1.2270663831066486,36.8754466146198,2.88,+,+,+,True,True,True
0.1+0.2C 1τ,0.1,0.2,0.0143,2.0,1τ,0.43928868484884637,37.085475588908714,0.59,+,+,+,True,True,True
0.2+0.3C 1τ,0.2,0.3,0.0143,1.4999999999999998,1τ,2.070752539675959,21.486770209776175,0.17,+,+,+,True,True,True
0.2+0.3C 10τ,0.2,0.3,0.00143,1.4999999999999998,10τ,-2.7772894166037685,16.730038545447133,5.05,-,+,+,False,True,False
0.2+0.3C 34.8τ,0.2,0.3,0.00041,1.4999999999999998,34.8τ,0.5180290546922455,2.3098779232273348,15.03,+,+,+,True,True,True
0.2+0.8C 0.1τ,0.2,0.8,0.143,4.0,0.1τ,2.5548830085708687,22.010332151502613,1.26,+,+,+,True,True,True
0.2+0.8C 1τ,0.2,0.8,0.0143,4.0,1τ,3.6517449464385208,23.03566698389477,3.77,+,+,+,True,True,True
0.3+0.7C 0.1τ,0.3,0.7,0.143,2.3333333333333335,0.1τ,1.8774221024774913,5.762637613537966,0.02,+,+,0,False,False,True
0.3+0.7C 1τ,0.3,0.7,0.0143,2.3333333333333335,1τ,2.7884568648859687,7.130573801754933,2.97,+,+,+,True,True,True
0.3+0.7C 10τ,0.3,0.7,0.00143,2.3333333333333335,10τ,0.982122529277755,4.698681590182969,8.67,+,+,+,True,True,True
0.3+0.4C 0.1τ,0.3,0.4,0.143,1.3333333333333335,0.1τ,0.9782711364933372,4.679829445197841,0.01,+,+,0,False,False,True
0.3+0.4C 1τ,0.3,0.4,0.0143,1.3333333333333335,1τ,0.9491438640031143,4.580516401188894,0.09,+,+,+,True,True,True
0.3+0.4C 10τ,0.3,0.4,0.00143,1.3333333333333335,10τ,-3.86760241960025,-0.2856567233176975,0.94,-,-,+,False,False,True
0.4+0.6C 0.5τ,0.4,0.6,0.0286,1.4999999999999998,0.5τ,1.7079085710305966,5.024092929102547,1.31,+,+,+,True,True,True
0.4+0.5C 1.67τ,0.4,0.5,0.0086,1.25,1.67τ,1.4908886555842704,4.433797780806041,1.46,+,+,+,True,True,True
0.4+0.6C 1.67τ,0.4,0.6,0.0086,1.4999999999999998,1.67τ,2.4248060915223504,5.007692681358973,1.51,+,+,+,True,True,True
0.4+0.6C 5τ,0.4,0.6,0.00286,1.4999999999999998,5τ,3.222099932300777,6.100479026316892,5.12,+,+,+,True,True,True
0.4+0.6C 10τ,0.4,0.6,0.00143,1.4999999999999998,10τ,3.105535040153821,5.774689598415413,4.72,+,+,+,True,True,True
0.5+0.5C 1τ,0.5,0.5,0.0143,1.0,1τ,1.3451751573780713,8.60735971462794,1.27,+,+,+,True,True,True
0.9+0.1C 16.7τ,0.9,0.1,0.00086,0.11111111111111112,16.7τ,-0.3649433025667349,-0.39878525859997654,0.61,-,-,+,False,False,True
0.9+0.1C 1.67τ,0.9,0.1,0.0086,0.11111111111111112,1.67τ,0.20412761200432214,0.6507049512106581,0.02,+,+,0,False,False,True
0.9+0.1C 10τ,0.9,0.1,0.00143,0.11111111111111112,10τ,-0.37371910032597955,0.09594840802392354,0.04,-,+,0,False,False,False
0.9+0.1C 1τ,0.9,0.1,0.0143,0.11111111111111112,1τ,-0.19423530712983847,0.8029141369839332,-0.05,-,+,0,False,False,False
