condition,DC,AC,tau_label,kappa,dt_R1,dt_R3,dt_X2,dt_v01,dt_exp,s_R1,s_R3,s_X2,s_v01,s_exp,R1_vs_exp,R3_vs_exp,X2_vs_exp,v01_vs_exp,R1_vs_R3,R1_vs_X2
0.1+0.9C 1τ,0.1,0.9,1τ,9.0,3.804375950903341,1.3406876721838368,0.25810054316322445,,2.88,+,+,+,,+,True,True,True,,True,True
0.1+0.2C 1τ,0.1,0.2,1τ,2.0,-0.3891756294702645,-0.31669219809658294,-0.5277111475213435,,0.59,-,-,-,,+,False,False,False,,True,True
0.2+0.3C 1τ,0.2,0.3,1τ,1.4999999999999998,-0.8759790659420711,-0.1474212433176035,-0.5770289564070784,,0.17,-,-,-,,+,False,False,False,,True,True
0.2+0.3C 10τ,0.2,0.3,10τ,1.4999999999999998,-1.3307266848220327,-0.6784029781095948,-5.296116363517376,,5.05,-,-,-,,+,False,False,False,,True,True
0.2+0.3C 34.8τ,0.2,0.3,34.8τ,1.4999999999999998,-5.440989469995596,-21.690116713301418,-1.3949408625394122,,15.03,-,-,-,,+,False,False,False,,True,True
0.2+0.8C 0.1τ,0.2,0.8,0.1τ,4.0,-0.13070146682036163,-0.12014661262737718,-0.09246042920700953,,1.26,-,-,-,,+,False,False,False,,True,True
0.2+0.8C 1τ,0.2,0.8,1τ,4.0,4.295266514726003,2.7832864326812037,1.0036699768817017,,3.77,+,+,+,,+,True,True,True,,True,True
0.3+0.7C 0.1τ,0.3,0.7,0.1τ,2.3333333333333335,0.9518743576687484,0.866620058538471,0.7764997434159038,,0.02,+,+,+,,0,False,False,False,,True,True
0.3+0.7C 1τ,0.3,0.7,1τ,2.3333333333333335,3.7006472833745647,2.610621400125183,1.8134854177471122,,2.97,+,+,+,,+,True,True,True,,True,True
0.3+0.4C 0.1τ,0.3,0.4,0.1τ,1.3333333333333335,-0.10646235684716884,-0.13035908712190575,-0.14688212498901218,,0.01,-,-,-,,0,False,False,False,,True,True
0.3+0.4C 1τ,0.3,0.4,1τ,1.3333333333333335,-0.5194460233678607,-0.8211235317167241,-0.15373429597727106,,0.09,-,-,-,,+,False,False,False,,True,True
0.3+0.4C 10τ,0.3,0.4,10τ,1.3333333333333335,-5.161373961147425,-0.3356873721682556,-4.92511198498302,,0.94,-,-,-,,+,False,False,False,,True,True
0.4+0.6C 0.5τ,0.4,0.6,0.5τ,1.4999999999999998,1.6934335755298586,1.607300494830497,1.4476875336245787,,1.31,+,+,+,,+,True,True,True,,True,True
0.4+0.5C 1.67τ,0.4,0.5,1.67τ,1.25,0.8538755611434226,0.93305434980554,1.1178258457781947,,1.46,+,+,+,,+,True,True,True,,True,True
0.4+0.6C 1.67τ,0.4,0.6,1.67τ,1.4999999999999998,2.7942495969016514,2.517476946547079,1.9724396058198332,,1.51,+,+,+,,+,True,True,True,,True,True
0.4+0.6C 5τ,0.4,0.6,5τ,1.4999999999999998,-1.6870445649935089,-1.1947400806294355,2.771691107652077,,5.12,-,-,+,,+,False,False,True,,True,False
0.4+0.6C 10τ,0.4,0.6,10τ,1.4999999999999998,-1.6662781292948996,-1.2541793818581026,2.854614390222362,,4.72,-,-,+,,+,False,False,True,,True,False
0.5+0.5C 1τ,0.5,0.5,1τ,1.0,1.624794951330417,1.4037067600932005,1.3981401566854552,,1.27,+,+,+,,+,True,True,True,,True,True
0.9+0.1C 16.7τ,0.9,0.1,16.7τ,0.11111111111111112,-0.5801402455035183,-1.2091703965334697,-0.647183705193667,,0.61,-,-,-,,+,False,False,False,,True,True
0.9+0.1C 1.67τ,0.9,0.1,1.67τ,0.11111111111111112,-0.055296179470171104,-0.09982740465682127,-0.05195385377197302,,0.02,-,-,-,,0,False,False,False,,True,True
0.9+0.1C 10τ,0.9,0.1,10τ,0.11111111111111112,-0.006508218356088946,-0.6863234808386475,-0.2761109818849415,,0.04,0,-,-,,0,True,False,False,,False,False
0.9+0.1C 1τ,0.9,0.1,1τ,0.11111111111111112,-0.05283975741397171,-0.03457801308796509,-0.031191120723019595,,-0.05,-,0,0,,0,False,True,True,,False,False
