condition,DC,AC,tau_label,kappa,f_Hz_X4_R1,f_Hz_v01,dt_R1,dt_R3,dt_X2,dt_v01,dt_exp,s_R1,s_R3,s_X2,s_v01,s_exp,R1_vs_exp,R3_vs_exp,X2_vs_exp,v01_vs_exp,R1_vs_R3,R1_vs_X2
0.1+0.9C 1τ,0.1,0.9,1τ,9.0,0.0066609315988250106,0.0143,3.804375950903341,1.3406876721838368,0.25810054316322445,-0.736937221643105,2.88,+,+,+,-,+,True,True,True,False,True,True
0.1+0.2C 1τ,0.1,0.2,1τ,2.0,0.0066609315988250106,0.0143,-0.3891756294702645,-0.31669219809658294,-0.5277111475213435,-0.5335540022316005,0.59,-,-,-,-,+,False,False,False,False,True,True
0.2+0.3C 1τ,0.2,0.3,1τ,1.4999999999999998,0.0066609315988250106,0.0143,-0.8759790659420711,-0.1474212433176035,-0.5770289564070784,-0.5363552854784454,0.17,-,-,-,-,+,False,False,False,False,True,True
0.2+0.3C 10τ,0.2,0.3,10τ,1.4999999999999998,0.0006660931598825011,0.00143,-1.3307266848220327,-0.6784029781095948,-5.296116363517376,-5.315077728428363,5.05,-,-,-,-,+,False,False,False,False,True,True
0.2+0.3C 34.8τ,0.2,0.3,34.8τ,1.4999999999999998,0.00019097775912715065,0.00041,-5.440989469995596,-21.690116713301418,-1.3949408625394122,-18.816372697879977,15.03,-,-,-,-,+,False,False,False,False,True,True
0.2+0.8C 0.1τ,0.2,0.8,0.1τ,4.0,0.0666093159882501,0.143,-0.13070146682036163,-0.12014661262737718,-0.09246042920700953,-0.07511867232960867,1.26,-,-,-,-,+,False,False,False,False,True,True
0.2+0.8C 1τ,0.2,0.8,1τ,4.0,0.0066609315988250106,0.0143,4.295266514726003,2.7832864326812037,1.0036699768817017,1.005184635098855,3.77,+,+,+,+,+,True,True,True,True,True,True
0.3+0.7C 0.1τ,0.3,0.7,0.1τ,2.3333333333333335,0.0666093159882501,0.143,0.9518743576687484,0.866620058538471,0.7764997434159038,1.0699974217783772,0.02,+,+,+,+,0,False,False,False,False,True,True
0.3+0.7C 1τ,0.3,0.7,1τ,2.3333333333333335,0.0066609315988250106,0.0143,3.7006472833745647,2.610621400125183,1.8134854177471122,2.4931307865528347,2.97,+,+,+,+,+,True,True,True,True,True,True
0.3+0.4C 0.1τ,0.3,0.4,0.1τ,1.3333333333333335,0.0666093159882501,0.143,-0.10646235684716884,-0.13035908712190575,-0.14688212498901218,-0.03436698806553977,0.01,-,-,-,0,0,False,False,False,True,True,True
0.3+0.4C 1τ,0.3,0.4,1τ,1.3333333333333335,0.0066609315988250106,0.0143,-0.5194460233678607,-0.8211235317167241,-0.15373429597727106,-0.11302456620796875,0.09,-,-,-,-,+,False,False,False,False,True,True
0.3+0.4C 10τ,0.3,0.4,10τ,1.3333333333333335,0.0006660931598825011,0.00143,-5.161373961147425,-0.3356873721682556,-4.92511198498302,-4.920743685161324,0.94,-,-,-,-,+,False,False,False,False,True,True
0.4+0.6C 0.5τ,0.4,0.6,0.5τ,1.4999999999999998,0.013321863197650021,0.0286,1.6934335755298586,1.607300494830497,1.4476875336245787,1.678144509414445,1.31,+,+,+,+,+,True,True,True,True,True,True
0.4+0.5C 1.67τ,0.4,0.5,1.67τ,1.25,0.004005874947545111,0.0086,0.8538755611434226,0.93305434980554,1.1178258457781947,1.106192191940651,1.46,+,+,+,+,+,True,True,True,True,True,True
0.4+0.6C 1.67τ,0.4,0.6,1.67τ,1.4999999999999998,0.004005874947545111,0.0086,2.7942495969016514,2.517476946547079,1.9724396058198332,1.9270666406962997,1.51,+,+,+,+,+,True,True,True,True,True,True
0.4+0.6C 5τ,0.4,0.6,5τ,1.4999999999999998,0.0013321863197650022,0.00286,-1.6870445649935089,-1.1947400806294355,2.771691107652077,2.6402908376355145,5.12,-,-,+,+,+,False,False,True,True,True,False
0.4+0.6C 10τ,0.4,0.6,10τ,1.4999999999999998,0.0006660931598825011,0.00143,-1.6662781292948996,-1.2541793818581026,2.854614390222362,2.670627777051732,4.72,-,-,+,+,+,False,False,True,True,True,False
0.5+0.5C 1τ,0.5,0.5,1τ,1.0,0.0066609315988250106,0.0143,1.624794951330417,1.4037067600932005,1.3981401566854552,1.3406661468823737,1.27,+,+,+,+,+,True,True,True,True,True,True
0.9+0.1C 16.7τ,0.9,0.1,16.7τ,0.11111111111111112,0.0004005874947545111,0.00086,-0.5801402455035183,-1.2091703965334697,-0.647183705193667,-0.6668037055858955,0.61,-,-,-,-,+,False,False,False,False,True,True
0.9+0.1C 1.67τ,0.9,0.1,1.67τ,0.11111111111111112,0.004005874947545111,0.0086,-0.055296179470171104,-0.09982740465682127,-0.05195385377197302,-0.00432778857506643,0.02,-,-,-,0,0,False,False,False,True,True,True
0.9+0.1C 10τ,0.9,0.1,10τ,0.11111111111111112,0.0006660931598825011,0.00143,-0.006508218356088946,-0.6863234808386475,-0.2761109818849415,-0.20716889879242142,0.04,0,-,-,-,0,True,False,False,False,False,False
0.9+0.1C 1τ,0.9,0.1,1τ,0.11111111111111112,0.0066609315988250106,0.0143,-0.05283975741397171,-0.03457801308796509,-0.031191120723019595,-0.021695616265484812,-0.05,-,0,0,0,0,False,True,True,True,False,False
