case_id,I_DC_Crate,A_Crate,f_Hz,kappa,wall_clock_s,CC_time_s,CV_time_s,total_time_s,CC_time_min,CV_time_min,total_time_min,Q_net_final_mAh,T_max_charging_C,n_AC_reversals_steps,pct_AC_reversals,status,condition,tau_label,round,tau_Chen_s,f_Hz_v01,CC_time_s_partial,T_max_charging_C_partial,V_min_phase2
DC0.10C+AC0.90C_f0.00666Hz,0.1,0.9,0.0066609315988250106,9.0,5.628080129623413,29242.890707891784,4339.481785606527,33582.37249349831,487.3815117981964,72.32469642677546,559.7062082249719,5128.90739753744,27.002750950565826,6193.0,43.77297144472717,ok,0.1+0.9C 1τ,1τ,R1,23.83,0.0143,,,
DC0.10C+AC0.20C_f0.00666Hz,0.1,0.2,0.0066609315988250106,2.0,2.7336480617523193,34939.47930405855,2891.387669164331,37830.86697322288,582.3246550676425,48.18979448607218,630.5144495537147,5127.732985687911,20.821642180625133,3009.0,33.300132802124836,ok,0.1+0.2C 1τ,1τ,R1,23.83,0.0143,,,
DC0.20C+AC0.30C_f0.00666Hz,0.2,0.3,0.0066609315988250106,1.4999999999999998,2.3158440589904785,16475.798373832848,3625.4605603410164,20101.258934173864,274.5966395638808,60.42434267235027,335.0209822362311,5127.04751166511,22.008077619601067,1328.0,25.701567640797368,ok,0.2+0.3C 1τ,1τ,R1,23.83,0.0143,,,
DC0.20C+AC0.30C_f0.00067Hz,0.2,0.3,0.0006660931598825011,1.4999999999999998,1.0588059425354004,16173.460085115,3918.450413818573,20091.910498933576,269.55766808525,65.30750689697622,334.8651749822263,5128.740332118092,22.62899334679662,133.0,20.30534351145038,ok,0.2+0.3C 10τ,10τ,R1,23.83,0.00143,,,
DC0.20C+AC0.30C_f0.00019Hz,0.2,0.3,0.00019097775912715065,1.4999999999999998,1.129852294921875,18880.639307649035,3551.7393623002754,22432.37866994931,314.6773217941506,59.19565603833792,373.8729778324885,5127.556229370739,23.886555294389666,65.0,17.52021563342318,ok,0.2+0.3C 34.8τ,34.8τ,R1,23.83,0.00041,,,
DC0.20C+AC0.80C_f0.06661Hz,0.2,0.8,0.0666093159882501,4.0,28.56909203529358,14918.71820958303,4225.960972359786,19144.679181942818,248.6453034930505,70.4326828726631,319.0779863657136,5122.754506907772,25.3255999563803,28178.0,39.599201776328734,ok,0.2+0.8C 0.1τ,0.1τ,R1,23.83,0.143,,,
DC0.20C+AC0.80C_f0.00666Hz,0.2,0.8,0.0066609315988250106,4.0,3.3396759033203125,14379.295190260525,4434.336824116497,18813.63201437702,239.65491983767544,73.90561373527495,313.56053357295036,5126.447221177726,25.877540678807122,2672.0,40.25308827960229,ok,0.2+0.8C 1τ,1τ,R1,23.83,0.0143,,,
DC0.20C+AC0.80C_f0.00067Hz,0.2,0.8,0.0006660931598825011,4.0,0.8396179676055908,,,,,,,,,,,INFEASIBLE_MIN_V: V_min=1.500V in Phase 2,0.2+0.8C 10τ,10τ,R1,23.83,0.00143,262.20000311932563,20.859912903923203,1.499999999999115
DC0.30C+AC0.70C_f0.06661Hz,0.3,0.7,0.0666093159882501,2.3333333333333335,16.495438814163208,9739.352661414383,4357.199875143309,14096.552536557692,162.32254435690638,72.61999791905515,234.94254227596153,5123.127947305935,25.078110454411387,15139.0,34.942873629544145,ok,0.3+0.7C 0.1τ,0.1τ,R1,23.83,0.143,,,
DC0.30C+AC0.70C_f0.00666Hz,0.3,0.7,0.0066609315988250106,2.3333333333333335,2.27008318901062,9425.082822435828,4522.037269579188,13947.120092015017,157.0847137072638,75.36728782631981,232.45200153358363,5124.933231859526,25.680284076520422,1453.0,34.180192895789226,ok,0.3+0.7C 1τ,1τ,R1,23.83,0.0143,,,
DC0.30C+AC0.70C_f0.00067Hz,0.3,0.7,0.0006660931598825011,2.3333333333333335,0.8436160087585449,,,,,,,,,,,INFEASIBLE_MIN_V: V_min=1.500V in Phase 2,0.3+0.7C 10τ,10τ,R1,23.83,0.00143,382.28836517402124,21.028552666268467,1.499999999999396
DC0.30C+AC0.40C_f0.06661Hz,0.3,0.4,0.0666093159882501,1.3333333333333335,11.26850414276123,10204.48822398134,4138.980851161621,14343.46907514296,170.07480373302232,68.98301418602702,239.05781791904934,5126.232274428327,23.495370436215637,7797.0,22.959363957597173,ok,0.3+0.4C 0.1τ,0.1τ,R1,23.83,0.143,,,
