case_id,I_DC_Crate,A_Crate,f_Hz,kappa,wall_clock_s,soc_init,V_init_phase2,CC_time_s,CV_time_s,total_time_s,CC_time_min,CV_time_min,total_time_min,Q_net_final_mAh,T_max_charging_C,n_AC_reversals_steps,pct_AC_reversals,status,condition,tau_label,batch,tau_Chen_s,f_Hz_v01,CC_time_s_partial,T_max_charging_C_partial,V_min_phase2
DC0.10C+AC0.90C_f0.00666Hz_X5,0.1,0.9,0.0066609315988250106,9.0,3.4117188453674316,0.01688,2.858232535861652,28642.889897791334,4337.413808934183,32980.30370672552,477.38149829652224,72.29023014890305,549.6717284454254,5043.799643758623,26.77299735027185,4892.0,47.57366527278032,ok,0.1+0.9C 1τ,1τ,X5-B,23.83,0.0143,,,
DC0.10C+AC0.20C_f0.00666Hz_X5,0.1,0.2,0.0066609315988250106,2.0,1.217458963394165,0.01688,2.858232535861652,34338.23227691174,2886.45502447569,37224.68730138743,572.3038712818623,48.1075837412615,620.4114550231238,5040.704833871695,20.776132257306188,1958.0,33.7063177827509,ok,0.1+0.2C 1τ,1τ,X5-B,23.83,0.0143,,,
DC0.20C+AC0.30C_f0.00666Hz_X5,0.2,0.3,0.0066609315988250106,1.4999999999999998,1.2099151611328125,0.01688,2.887334853445421,16175.513517560146,3628.4311367971004,19803.94465435725,269.5918919593358,60.47385227995167,330.0657442392875,5043.007760345081,22.003955969740957,895.0,26.756352765321374,ok,0.2+0.3C 1τ,1τ,X5-B,23.83,0.0143,,,
DC0.20C+AC0.30C_f0.00067Hz_X5,0.2,0.3,0.0006660931598825011,1.4999999999999998,0.6130208969116211,0.01688,2.887334853445421,16088.047402229615,3868.027231850372,19956.07463407999,268.13412337049357,64.46712053083954,332.60124390133313,5041.239684884593,22.564593505612777,103.0,21.729957805907173,ok,0.2+0.3C 10τ,10τ,X5-B,23.83,0.00143,,,
DC0.20C+AC0.30C_f0.00019Hz_X5,0.2,0.3,0.00019097775912715065,1.4999999999999998,0.5966250896453857,0.01688,2.887334853445421,18798.300904341097,3455.907629742407,22254.208534083504,313.30501507235164,57.59846049570679,370.9034755680584,5043.952210732766,23.811393608342485,65.0,19.877675840978593,ok,0.2+0.3C 34.8τ,34.8τ,X5-B,23.83,0.00041,,,
DC0.20C+AC0.80C_f0.06661Hz_X5,0.2,0.8,0.0666093159882501,4.0,17.045353412628174,0.01688,2.887334853446071,14603.89746855117,4230.815015192395,18834.712483743562,243.3982911425195,70.51358358653991,313.9118747290594,5031.305398359514,25.199221840750795,20446.0,45.80607581324492,ok,0.2+0.8C 0.1τ,0.1τ,X5-B,23.83,0.143,,,
DC0.20C+AC0.80C_f0.00666Hz_X5,0.2,0.8,0.0066609315988250106,4.0,1.8806378841400146,0.01688,2.887334853445421,14079.603628929499,4431.548379585187,18511.152008514684,234.66006048215831,73.85913965975311,308.5192001419114,5041.89645377183,25.739093428968886,2141.0,43.49857781389679,ok,0.2+0.8C 1τ,1τ,X5-B,23.83,0.0143,,,
DC0.20C+AC0.80C_f0.00067Hz_X5,0.2,0.8,0.0006660931598825011,4.0,0.5264058113098145,0.01688,,,,,,,,,,,,INFEASIBLE_MIN_V: V_min=1.500V in Phase 2,0.2+0.8C 10τ,10τ,X5-B,23.83,0.00143,353.6268553547145,21.61350521682192,1.4999999999999603
DC0.30C+AC0.70C_f0.06661Hz_X5,0.3,0.7,0.0666093159882501,2.3333333333333335,9.99991226196289,0.01688,2.9095420749510748,9544.355742763119,4354.513354142828,13898.869096905946,159.07259571271865,72.57522256904713,231.64781828176578,5035.882795275357,25.07624535251074,10859.0,40.606536534290626,ok,0.3+0.7C 0.1τ,0.1τ,X5-B,23.83,0.143,,,
DC0.30C+AC0.70C_f0.00666Hz_X5,0.3,0.7,0.0066609315988250106,2.3333333333333335,1.354806900024414,0.01688,2.909542074950979,9271.399300832873,4504.238514987612,13775.637815820484,154.52332168054787,75.07064191646019,229.59396359700807,5041.339527538039,25.612696108174703,1145.0,37.888815354070154,ok,0.3+0.7C 1τ,1τ,X5-B,23.83,0.0143,,,
