condition,kappa,tau_label,dt_X6β,dt_X6α-NS,dt_X6α,dt_X5A,dt_X2,dt_v01,dt_exp,s_X6β,s_X6α-NS,s_X6α,s_X5A,s_X2,s_v01,s_exp,X6β_vs_exp,X6α_vs_exp,X5A_vs_exp,X6β_vs_X6α
0.1+0.9C 1τ,9.0,1τ,2.8821312499652776,-1.2322172369303492,-1.2345181997688996,2.1775672496291616,-0.6757713514014541,-0.7159097362834775,2.88,+,-,-,+,-,-,+,True,False,True,False
0.1+0.2C 1τ,2.0,1τ,0.37437228686479407,-0.15504963953486975,-1.3011015200352025,-0.5502150812602243,-0.5124154917256116,-0.5186484204021933,0.59,+,-,-,-,-,-,+,True,False,False,False
0.2+0.3C 1τ,1.4999999999999998,1τ,-0.1784177220454088,-0.13276346842749262,-0.8229005549732695,-0.5765971242286468,-0.5710404440930384,-0.5310251578785634,0.17,-,-,-,-,-,-,+,False,False,False,True
0.2+0.3C 10τ,1.4999999999999998,10τ,-2.589213434834134,-2.2233932978920774,-2.299200084275587,-5.296641195640829,-5.2915822335859355,-5.311372002232474,5.05,-,-,-,-,-,-,+,False,False,False,True
0.2+0.3C 34.8τ,1.4999999999999998,34.8τ,-2.3040450567452657,-0.9652655673773854,-1.042017393936597,-2.1491048793333904,-1.4601390028165953,-18.812281330431627,15.03,-,-,-,-,-,-,+,False,False,False,True
0.2+0.8C 0.1τ,4.0,0.1τ,0.22602866421172318,-0.5525175309889467,-0.537204191134333,1.394549325630578,-0.08570662845356007,-0.06556653712580858,1.26,+,-,-,+,-,-,+,True,False,True,False
0.2+0.8C 1τ,4.0,1τ,0.7429616853504134,-0.9894577489002586,-0.9763598434690418,4.144834349829307,1.0122848705728453,1.013699321259719,3.77,+,-,-,+,+,+,+,True,False,True,False
0.3+0.7C 0.1τ,2.3333333333333335,0.1τ,0.06930533656747381,-0.3468138374145686,-0.24182170567379824,2.486447820769869,0.7809900466159282,1.0743047268259942,0.02,+,-,-,+,+,+,0,False,False,False,False
0.3+0.7C 1τ,2.3333333333333335,1τ,0.8343756392228291,-0.5684811817430576,-0.5571809492615709,3.5853661774760743,1.8177149581254828,2.4972616558718075,2.97,+,-,-,+,+,+,+,True,False,True,False
0.3+0.4C 0.1τ,1.3333333333333335,0.1τ,-0.056638081513635065,-0.21901161694747012,-0.24632098699415414,-0.26316298863739573,-0.14238310928027811,-0.02987974212956033,0.01,-,-,-,-,-,0,0,False,False,False,True
0.3+0.4C 1τ,1.3333333333333335,1τ,0.03790649482204268,-0.44594748483326235,-0.48683084756297224,-0.1701515312898664,-0.14993230614630496,-0.10883882672348287,0.09,0,-,-,-,-,-,+,False,False,False,False
0.3+0.4C 10τ,1.3333333333333335,10τ,-1.5454195277637155,-1.214408271022694,-1.2525359989736595,0.7674267192990859,-4.925524072310327,-4.921033397538759,0.94,-,-,-,+,-,-,+,False,False,True,True
0.4+0.6C 0.5τ,1.4999999999999998,0.5τ,-0.044480641563844375,-0.37798356431361146,-0.3842477520258399,2.454544508071846,1.4498225322104947,1.6801970195165117,1.31,0,-,-,+,+,+,+,False,False,True,False
0.4+0.5C 1.67τ,1.25,1.67τ,-0.1237825400655917,-0.04302412065844692,-0.11558988779317285,2.5607205594548605,1.1199561304479932,1.1082375170657541,1.46,-,0,-,+,+,+,+,False,False,True,True
0.4+0.6C 1.67τ,1.4999999999999998,1.67τ,-0.11179444282386915,-0.0914896718458446,-0.1017964574870651,2.54847857807146,1.9746043217580185,1.9290946051286937,1.51,-,-,-,+,+,+,+,False,False,True,True
0.4+0.6C 5τ,1.4999999999999998,5τ,-1.3836148289102919,-1.1182518046385364,-1.1264389472378449,2.315870944054253,2.7738464355911674,2.6423879170399838,5.12,-,-,-,+,+,+,+,False,False,True,True
0.4+0.6C 10τ,1.4999999999999998,10τ,-4.549444695969184,-4.257125387150139,-4.254905674718854,2.2827658901482817,2.856725090068403,2.6726627058118537,4.72,-,-,-,+,+,+,+,False,False,True,True
0.5+0.5C 1τ,1.0,1τ,0.08962198534774567,-0.3265717538371215,-0.33014695138467687,1.8522542757639562,1.399038782290654,1.3415192101859703,1.27,+,-,-,+,+,+,+,True,False,True,False
0.9+0.1C 16.7τ,0.11111111111111112,16.7τ,-0.39303650963470316,-0.3066656464229633,-0.30516708470656795,-0.676081639850463,-0.6471517221518525,-0.666798699078898,0.61,-,-,-,-,-,-,+,False,False,False,True
0.9+0.1C 1.67τ,0.11111111111111112,1.67τ,-0.047280369635647426,-0.06544571198570187,-0.0661347485744424,-0.023712189895991286,-0.051913199178693505,-0.004273479864067061,0.02,0,-,-,0,-,0,0,True,False,True,False
0.9+0.1C 10τ,0.11111111111111112,10τ,-0.38478296557735425,-0.3639469733887684,-0.3643837116693324,-0.16259956005106535,-0.27612168459365116,-0.20714313695316378,0.04,-,-,-,-,-,-,0,False,False,False,True
0.9+0.1C 1τ,0.11111111111111112,1τ,0.027361057474149676,-0.017261961514820238,-0.017070667100513977,-0.03370710695899864,-0.031203219357583595,-0.021609384798534848,-0.05,0,0,0,0,0,0,0,True,True,True,True
