condition,kappa,tau_label,dt_exp,s_exp,dt_X5β,s_X5β,X5β_vs_exp,dt_X5-A,s_X5-A,X5-A_vs_exp,dt_X6α,s_X6α,X6α_vs_exp,dt_X6α-NS,s_X6α-NS,X6α-NS_vs_exp,dt_X6β,s_X6β,X6β_vs_exp,dt_X2,s_X2,X2_vs_exp,dt_v0.1,s_v0.1,v0.1_vs_exp
0.1+0.9C 1τ,9.0,1τ,2.88,+,0.46513716450857223,+,True,2.1775672496291616,+,True,-1.2345181997688996,-,False,-1.2322172369303492,-,False,2.8821312499652776,+,True,-0.6757713514014541,-,False,-0.7159097362834775,-,False
0.1+0.2C 1τ,2.0,1τ,0.59,+,-0.4170665134079172,-,False,-0.5502150812602243,-,False,-1.3011015200352025,-,False,-0.15504963953486975,-,False,0.37437228686479407,+,True,-0.5124154917256116,-,False,-0.5186484204021933,-,False
0.2+0.3C 1τ,1.4999999999999998,1τ,0.17,+,-0.48117893630166386,-,False,-0.5765971242286468,-,False,-0.8229005549732695,-,False,-0.13276346842749262,-,False,-0.1784177220454088,-,False,-0.5710404440930384,-,False,-0.5310251578785634,-,False
0.2+0.3C 10τ,1.4999999999999998,10τ,5.05,+,0.6914907677784867,+,True,-5.296641195640829,-,False,-2.299200084275587,-,False,-2.2233932978920774,-,False,-2.589213434834134,-,False,-5.2915822335859355,-,False,-5.311372002232474,-,False
0.2+0.3C 34.8τ,1.4999999999999998,34.8τ,15.03,+,14.075996508725257,+,True,-2.1491048793333904,-,False,-1.042017393936597,-,False,-0.9652655673773854,-,False,-2.3040450567452657,-,False,-1.4601390028165953,-,False,-18.812281330431627,-,False
0.2+0.8C 0.1τ,4.0,0.1τ,1.26,+,-0.18174127174913035,-,False,1.394549325630578,+,True,-0.537204191134333,-,False,-0.5525175309889467,-,False,0.22602866421172318,+,True,-0.08570662845356007,-,False,-0.06556653712580858,-,False
0.2+0.8C 1τ,4.0,1τ,3.77,+,1.118874955656247,+,True,4.144834349829307,+,True,-0.9763598434690418,-,False,-0.9894577489002586,-,False,0.7429616853504134,+,True,1.0122848705728453,+,True,1.013699321259719,+,True
0.2+0.8C 10τ,4.0,10τ,15.31,+,18.330352188176494,+,True,9.326338160326335,+,True,,,,,,,,,,,,,,,
0.3+0.7C 0.1τ,2.3333333333333335,0.1τ,0.02,0,0.8422457551417817,+,False,2.486447820769869,+,False,-0.24182170567379824,-,False,-0.3468138374145686,-,False,0.06930533656747381,+,False,0.7809900466159282,+,False,1.0743047268259942,+,False
0.3+0.7C 1τ,2.3333333333333335,1τ,2.97,+,1.9186623098800435,+,True,3.5853661774760743,+,True,-0.5571809492615709,-,False,-0.5684811817430576,-,False,0.8343756392228291,+,True,1.8177149581254828,+,True,2.4972616558718075,+,True
