case_id,I_DC_Crate,A_Crate,f_Hz,kappa,wall_clock_s,V_rest_end,V_init_phase2,CC_time_s,CV_time_s,total_time_s,CC_time_min,CV_time_min,total_time_min,Q_net_final_mAh,status,condition,tau_label,batch
DC0.10C+AC0.90C_f0.01430Hz_X5beta,0.1,0.9,0.0143,9.0,12.276664972305298,2.512422948941947,2.391785422203447,29908.17114640848,4198.182559971654,34106.353706380134,498.469519106808,69.9697093328609,568.4392284396689,5127.224520620803,ok,0.1+0.9C 1τ,1τ,X5beta
DC0.10C+AC0.20C_f0.01430Hz_X5beta,0.1,0.2,0.0143,2.0,5.302566766738892,2.512422948941947,2.5047217591744912,35009.90184581295,2838.849585341006,37848.751431153956,583.4983640968825,47.314159755683434,630.812523852566,5127.797481897835,ok,0.1+0.2C 1τ,1τ,X5beta
DC0.20C+AC0.30C_f0.01430Hz_X5beta,0.2,0.3,0.0143,1.4999999999999998,3.8170008659362793,2.512422948941947,2.524843660002256,16618.72376406315,3534.09193981878,20152.81570388193,276.9787294010525,58.901532330312996,335.8802617313655,5126.658434858418,ok,0.2+0.3C 1τ,1τ,X5beta
DC0.20C+AC0.30C_f0.00143Hz_X5beta,0.2,0.3,0.00143,1.4999999999999998,1.175462007522583,2.512422948941947,2.627925312253115,16145.42388966771,3741.4845922678796,19886.908481935592,269.0903981611285,62.35807653779799,331.44847469892653,5126.793496709311,ok,0.2+0.3C 10τ,10τ,X5beta
DC0.20C+AC0.30C_f0.00041Hz_X5beta,0.2,0.3,0.00041,1.4999999999999998,1.2355220317840576,2.512422948941947,2.482798215450136,15620.547536271502,3934.9004336466314,19555.447969918132,260.3424589378584,65.58167389411052,325.92413283196885,5126.4844053504185,ok,0.2+0.3C 34.8τ,34.8τ,X5beta
DC0.20C+AC0.80C_f0.14300Hz_X5beta,0.2,0.8,0.143,4.0,61.06409001350403,2.512422948941947,2.6059447845775168,14935.366211233164,4220.563089612166,19155.92930084533,248.9227701872194,70.34271816020276,319.2654883474222,5123.249680136541,ok,0.2+0.8C 0.1τ,0.1τ,X5beta
DC0.20C+AC0.80C_f0.01430Hz_X5beta,0.2,0.8,0.0143,4.0,6.567836046218872,2.512422948941947,2.421350990686907,14663.290146030004,4323.794462559341,18987.084608589343,244.38816910050005,72.06324104265568,316.4514101431557,5124.7541682726105,ok,0.2+0.8C 1τ,1τ,X5beta
DC0.20C+AC0.80C_f0.00143Hz_X5beta,0.2,0.8,0.00143,4.0,1.355187177658081,2.512422948941947,2.6716350667917146,13377.49692236254,4611.734703836191,17989.23162619873,222.95828203937566,76.86224506393653,299.82052710331214,5128.6435581568,ok,0.2+0.8C 10τ,10τ,X5beta
DC0.30C+AC0.70C_f0.14300Hz_X5beta,0.3,0.7,0.143,2.3333333333333335,34.7250030040741,2.512422948941947,2.6235784104832813,9753.558332458359,4348.651703130854,14102.210035589213,162.55930554097264,72.47752838551423,235.03683392648688,5124.051965996204,ok,0.3+0.7C 0.1τ,0.1τ,X5beta
DC0.30C+AC0.70C_f0.01430Hz_X5beta,0.3,0.7,0.0143,2.3333333333333335,3.9392952919006348,2.512422948941947,2.466089050918544,9626.131705711012,4418.011554422592,14044.143260133604,160.43552842851688,73.6335259070432,234.06905433556005,5123.278143224964,ok,0.3+0.7C 1τ,1τ,X5beta
