condition,kappa,tau_label,dt_X5β_p0,dt_X5β,dt_X5A,dt_exp,s_X5β_p0,s_X5β,s_X5A,s_exp,X5β_p0_vs_exp,X5β_vs_exp,X5A_vs_exp,X5β_p0_vs_X5β
0.1+0.9C 1τ,9.0,1τ,0.6836957901496135,0.46513716450857223,2.1775672496291616,2.88,+,+,+,+,True,True,True,True
0.1+0.2C 1τ,2.0,1τ,-0.27472425565222997,-0.4170665134079172,-0.5502150812602243,0.59,-,-,-,+,False,False,False,True
0.2+0.3C 1τ,1.4999999999999998,1τ,-0.36201595697909095,-0.48117893630166386,-0.5765971242286468,0.17,-,-,-,+,False,False,False,True
0.2+0.3C 10τ,1.4999999999999998,10τ,-5.21400704679924,0.6914907677784867,-5.296641195640829,5.05,-,+,-,+,False,True,False,False
0.2+0.3C 34.8τ,1.4999999999999998,34.8τ,-19.11798142127715,14.075996508725257,-2.1491048793333904,15.03,-,+,-,+,False,True,False,False
0.2+0.8C 0.1τ,4.0,0.1τ,-0.1826233953942695,-0.18174127174913035,1.394549325630578,1.26,-,-,+,+,False,False,True,True
0.2+0.8C 1τ,4.0,1τ,1.2999981173785575,1.118874955656247,4.144834349829307,3.77,+,+,+,+,True,True,True,True
0.3+0.7C 0.1τ,2.3333333333333335,0.1τ,0.8404518918823063,0.8422457551417817,2.486447820769869,0.02,+,+,+,0,False,False,False,True
0.3+0.7C 1τ,2.3333333333333335,1τ,2.079086403078145,1.9186623098800435,3.5853661774760743,2.97,+,+,+,+,True,True,True,True
0.3+0.7C 10τ,2.3333333333333335,10τ,0.33963770773825674,7.478159328399458,7.268975396650543,8.67,+,+,+,+,True,True,True,True
0.3+0.4C 0.1τ,1.3333333333333335,0.1τ,-0.14770305612576826,-0.14597328154835243,-0.26316298863739573,0.01,-,-,-,0,False,False,False,True
0.3+0.4C 1τ,1.3333333333333335,1τ,0.0411036499029251,-0.07631046763414512,-0.1701515312898664,0.09,0,-,-,+,False,False,False,False
0.3+0.4C 10τ,1.3333333333333335,10τ,-4.939085620981222,0.42385913399327063,0.7674267192990859,0.94,-,+,+,+,False,True,True,False
0.4+0.6C 0.5τ,1.4999999999999998,0.5τ,1.688300991134156,1.5473745753783381,2.454544508071846,1.31,+,+,+,+,True,True,True,True
0.4+0.5C 1.67τ,1.25,1.67τ,1.276545051488938,1.959184820375655,2.5607205594548605,1.46,+,+,+,+,True,True,True,True
0.4+0.6C 1.67τ,1.4999999999999998,1.67τ,2.152522156377427,1.9458930920144666,2.54847857807146,1.51,+,+,+,+,True,True,True,True
0.4+0.6C 5τ,1.4999999999999998,5τ,2.915226008425634,3.969866840061362,2.315870944054253,5.12,+,+,+,+,True,True,True,True
0.4+0.6C 10τ,1.4999999999999998,10τ,2.981435056054549,2.836331840112583,2.2827658901482817,4.72,+,+,+,+,True,True,True,True
0.5+0.5C 1τ,1.0,1τ,1.5624272436691322,1.461431364960087,1.8522542757639562,1.27,+,+,+,+,True,True,True,True
0.9+0.1C 16.7τ,0.11111111111111112,16.7τ,-0.6403572065012971,-0.6542812285379189,-0.676081639850463,0.61,-,-,-,+,False,False,False,True
0.9+0.1C 1.67τ,0.11111111111111112,1.67τ,-0.040590605539440126,-0.03354958042066301,-0.023712189895991286,0.02,0,0,0,0,True,True,True,True
0.9+0.1C 10τ,0.11111111111111112,10τ,-0.2902072697107997,0.18806667276963557,-0.16259956005106535,0.04,-,+,-,0,False,False,False,False
0.9+0.1C 1τ,0.11111111111111112,1τ,-0.015091824912656194,-0.025408156648586554,-0.03370710695899864,-0.05,0,0,0,0,True,True,True,True
