case_id,I_DC_Crate,A_Crate,f_Hz,kappa,wall_clock_s,V_rest_end,V_init_phase2,actual_phase2_start_s,phase_offset_vs_est_s,sin_at_phase2_start,CC_time_s,CV_time_s,CC_time_min,CV_time_min,Q_net_final_mAh,status,condition,tau_label,batch
DC0.10C+AC0.90C_f0.01430Hz_X5beta_phase0,0.1,0.9,0.0143,9.0,11.97228717803955,2.512422948941947,2.348560075170566,8118.77614690114,13.776146901140237,0.9450608172789904,29900.12367058373,4191.717884689715,498.3353945097288,69.86196474482858,5126.311853508456,ok,0.1+0.9C 1τ,1τ,X5beta-phase0
DC0.10C+AC0.20C_f0.01430Hz_X5beta_phase0,0.1,0.2,0.0143,2.0,5.353474855422974,2.512422948941947,2.472574455006555,8118.77614690114,13.776146901140237,0.9450608172789904,35002.92004848244,2837.7946423280446,583.3820008080406,47.296577372134074,5128.103463025033,ok,0.1+0.2C 1τ,1τ,X5beta-phase0
DC0.20C+AC0.30C_f0.01430Hz_X5beta_phase0,0.2,0.3,0.0143,1.4999999999999998,3.7514171600341797,2.512422948941947,2.474748879262162,8118.77614690114,13.776146901140237,0.9450608172789904,16611.846801081694,3534.241996065848,276.8641133513616,58.904033267764135,5126.881116997316,ok,0.2+0.3C 1τ,1τ,X5beta-phase0
DC0.20C+AC0.30C_f0.00143Hz_X5beta_phase0,0.2,0.3,0.00143,1.4999999999999998,1.3307619094848633,2.512422948941947,2.5776099298065063,8118.77614690114,13.776146901140237,0.12346223442476417,16548.838124102433,3693.896928271326,275.81396873504053,61.5649488045221,5126.130598033861,ok,0.2+0.3C 10τ,10τ,X5beta-phase0
DC0.20C+AC0.30C_f0.00041Hz_X5beta_phase0,0.2,0.3,0.00041,1.4999999999999998,1.0435841083526611,2.512422948941947,2.585153779582307,8118.77614690114,13.776146901140237,0.03548136539356794,16429.787466503265,3942.884419645623,273.8297911083877,65.71474032742705,5128.066899784191,ok,0.2+0.3C 34.8τ,34.8τ,X5beta-phase0
DC0.20C+AC0.80C_f0.14300Hz_X5beta_phase0,0.2,0.8,0.143,4.0,64.96516418457031,2.512422948941947,2.6207059204823278,8118.77614690114,13.776146901140237,-0.1874491626016811,14935.473211876362,4220.727705074558,248.9245535312727,70.34546175124264,5123.4509929219175,ok,0.2+0.8C 0.1τ,0.1τ,X5beta-phase0
DC0.20C+AC0.80C_f0.01430Hz_X5beta_phase0,0.2,0.8,0.0143,4.0,7.363252878189087,2.512422948941947,2.3721822657261633,8118.77614690114,13.776146901140237,0.9450608172789904,14655.541688149946,4315.2766335514025,244.25902813583244,71.92127722585671,5123.460351888274,ok,0.2+0.8C 1τ,1τ,X5beta-phase0
DC0.20C+AC0.80C_f0.00143Hz_X5beta_phase0,0.2,0.8,0.00143,4.0,0.9669740200042725,,2.5569534151527784,,,,,,,,,INFEASIBLE_MIN_V: V_min=1.500V,0.2+0.8C 10τ,10τ,X5beta-phase0
DC0.30C+AC0.70C_f0.14300Hz_X5beta_phase0,0.3,0.7,0.143,2.3333333333333335,36.27495288848877,2.512422948941947,2.6345138865169853,8118.77614690114,13.776146901140237,-0.1874491626016811,9753.675211803331,4348.818007675734,162.56125353005552,72.48030012792891,5124.208523820068,ok,0.3+0.7C 0.1τ,0.1τ,X5beta-phase0
DC0.30C+AC0.70C_f0.01430Hz_X5beta_phase0,0.3,0.7,0.0143,2.3333333333333335,3.992408037185669,2.512422948941947,2.402046220551993,8118.77614690114,13.776146901140237,0.9450608172789904,9619.062949073412,4413.858715626862,160.3177158178902,73.56431192711437,5123.911438961269,ok,0.3+0.7C 1τ,1τ,X5beta-phase0
DC0.30C+AC0.70C_f0.00143Hz_X5beta_phase0,0.3,0.7,0.00143,2.3333333333333335,1.4640121459960938,2.512422948941947,2.5915372809088426,8118.77614690114,13.776146901140237,0.12346223442476417,9562.600387261196,4604.968130578989,159.37667312101993,76.74946884298315,5126.848212033633,ok,0.3+0.7C 10τ,10τ,X5beta-phase0
DC0.30C+AC0.40C_f0.14300Hz_X5beta_phase0,0.3,0.4,0.143,1.3333333333333335,25.765088081359863,2.512422948941947,2.625170344193174,8118.77614690114,13.776146901140237,-0.1874491626016811,10201.262460805969,4138.9432040315805,170.0210410134328,68.98238673385967,5126.905742471355,ok,0.3+0.4C 0.1τ,0.1τ,X5beta-phase0
DC0.30C+AC0.40C_f0.01430Hz_X5beta_phase0,0.3,0.4,0.0143,1.3333333333333335,3.166633129119873,2.512422948941947,2.4769670146235057,8118.77614690114,13.776146901140237,0.9450608172789904,10108.139831246508,4193.388414164641,168.4689971874418,69.88980690274403,5126.020414369416,ok,0.3+0.4C 1τ,1τ,X5beta-phase0
DC0.30C+AC0.40C_f0.00143Hz_X5beta_phase0,0.3,0.4,0.00143,1.3333333333333335,1.589735984802246,2.512422948941947,2.600461103802032,8118.77614690114,13.776146901140237,0.12346223442476417,10235.970278350063,4252.592220554132,170.59950463916772,70.87653700923553,5125.472351896619,ok,0.3+0.4C 10τ,10τ,X5beta-phase0
DC0.40C+AC0.60C_f0.02860Hz_X5beta_phase0,0.4,0.6,0.0286,1.4999999999999998,5.122598886489868,2.512422948941947,2.526403177651684,8118.77614690114,13.776146901140237,0.6178704751211712,7144.575018518633,4467.256118314719,119.07625030864389,74.45426863857865,5122.780211508258,ok,0.4+0.6C 0.5τ,0.5τ,X5beta-phase0
DC0.40C+AC0.50C_f0.00860Hz_X5beta_phase0,0.4,0.5,0.0086,1.25,2.217250108718872,2.512422948941947,2.540831730474867,8118.77614690114,13.776146901140237,0.6775302831608585,7163.925751990138,4485.331290910059,119.39876253316898,74.75552151516764,5125.220524582022,ok,0.4+0.5C 1.67τ,1.67τ,X5beta-phase0
DC0.40C+AC0.60C_f0.00860Hz_X5beta_phase0,0.4,0.6,0.0086,1.4999999999999998,2.0891332626342773,2.512422948941947,2.5092828270446663,8118.77614690114,13.776146901140237,0.6775302831608585,7048.821316934638,4545.954746165673,117.48035528224396,75.76591243609455,5125.543266428136,ok,0.4+0.6C 1.67τ,1.67τ,X5beta-phase0
