condition,tau_label,dt_X5β_v2,dt_X5β_p0,dt_X5A,dt_exp,s_X5β_v2,s_X5β_p0,s_X5A,s_exp,X5β_v2_vs_exp,X5β_p0_vs_exp,X5A_vs_exp,X5β_v2_vs_p0
0.1+0.9C 1τ,1τ,-0.6846348762284227,0.6836957901496135,2.1775672496291616,2.88,-,+,+,+,False,True,True,False
0.1+0.2C 1τ,1τ,-0.5132099109549018,-0.27472425565222997,-0.5502150812602243,0.59,-,-,-,+,False,False,False,True
0.2+0.3C 1τ,1τ,-0.5646342524187882,-0.36201595697909095,-0.5765971242286468,0.17,-,-,-,+,False,False,False,True
0.2+0.3C 10τ,10τ,-5.338199395271871,-5.21400704679924,-5.296641195640829,5.05,-,-,-,+,False,False,False,True
0.2+0.3C 34.8τ,34.8τ,-1.4710648812302982,-19.11798142127715,-2.1491048793333904,15.03,-,-,-,+,False,False,False,True
0.2+0.8C 0.1τ,0.1τ,-0.09716834835605065,-0.1826233953942695,1.394549325630578,1.26,-,-,+,+,False,False,True,True
0.2+0.8C 1τ,1τ,1.0066264767708768,1.2999981173785575,4.144834349829307,3.77,+,+,+,+,True,True,True,True
0.3+0.7C 0.1τ,0.1τ,0.8447534219069894,0.8404518918823063,2.486447820769869,0.02,+,+,+,0,False,False,False,True
0.3+0.7C 1τ,1τ,1.8181881793790127,2.079086403078145,3.5853661774760743,2.97,+,+,+,+,True,True,True,True
0.3+0.7C 10τ,10τ,0.1799236280061147,0.33963770773825674,7.268975396650543,8.67,+,+,+,+,True,True,True,True
0.3+0.4C 0.1τ,0.1τ,-0.1458622517337062,-0.14770305612576826,-0.26316298863739573,0.01,-,-,-,0,False,False,False,True
0.3+0.4C 1τ,1τ,-0.15790577714254445,0.0411036499029251,-0.1701515312898664,0.09,-,0,-,+,False,False,False,False
0.3+0.4C 10τ,10τ,-4.934666999775133,-4.939085620981222,0.7674267192990859,0.94,-,-,+,+,False,False,True,True
0.4+0.6C 0.5τ,0.5τ,1.4491156313911233,1.688300991134156,2.454544508071846,1.31,+,+,+,+,True,True,True,True
0.4+0.5C 1.67τ,1.67τ,1.1190232704262446,1.276545051488938,2.5607205594548605,1.46,+,+,+,+,True,True,True,True
0.4+0.6C 1.67τ,1.67τ,1.966398607712002,2.152522156377427,2.54847857807146,1.51,+,+,+,+,True,True,True,True
0.4+0.6C 5τ,5τ,2.776614437122013,2.915226008425634,2.315870944054253,5.12,+,+,+,+,True,True,True,True
0.4+0.6C 10τ,10τ,2.859919383954093,2.981435056054549,2.2827658901482817,4.72,+,+,+,+,True,True,True,True
0.5+0.5C 1τ,1τ,1.3863902246179198,1.5624272436691322,1.8522542757639562,1.27,+,+,+,+,True,True,True,True
0.9+0.1C 16.7τ,16.7τ,-0.6437442951807877,-0.6403572065012971,-0.676081639850463,0.61,-,-,-,+,False,False,False,True
0.9+0.1C 1.67τ,1.67τ,-0.05585248535958272,-0.040590605539440126,-0.023712189895991286,0.02,-,0,0,0,False,True,True,False
0.9+0.1C 10τ,10τ,-0.2733927803936619,-0.2902072697107997,-0.16259956005106535,0.04,-,-,-,0,False,False,False,True
0.9+0.1C 1τ,1τ,-0.029859853251749276,-0.015091824912656194,-0.03370710695899864,-0.05,0,0,0,0,True,True,True,True
