case_id,I_DC_Crate,A_Crate,f_Hz,kappa,V_rest_end,V_init_phase2,sin_at_phase2_start,CC_time_s,CV_time_s,CC_time_min,CV_time_min,Q_net_final_mAh,wall_clock_s,status,condition,tau_label,batch
DC0.10C+AC0.90C_f0.01430Hz_X5beta_v2,0.1,0.9,0.0143,9.0,2.512422948941947,2.5564916748892825,0.0,29914.8404400464,4197.030218808326,498.5806740007733,69.95050364680543,5124.331754542204,12.883729219436646,ok,0.1+0.9C 1τ,1τ,X5beta-v2
DC0.10C+AC0.20C_f0.01430Hz_X5beta_v2,0.1,0.2,0.0143,2.0,2.512422948941947,2.5564916748892825,0.0,35016.64512978747,2837.1805974528834,583.6107521631244,47.28634329088139,5127.6975975766345,5.405054807662964,ok,0.1+0.2C 1τ,1τ,X5beta-v2
DC0.20C+AC0.30C_f0.01430Hz_X5beta_v2,0.2,0.3,0.0143,1.4999999999999998,2.512422948941947,2.5880184058770395,0.0,16625.596388534104,3533.9044647616975,277.0932731422351,58.89840774602829,5127.614586298675,3.915067195892334,ok,0.2+0.3C 1τ,1τ,X5beta-v2
DC0.20C+AC0.30C_f0.00143Hz_X5beta_v2,0.2,0.3,0.00143,1.4999999999999998,2.512422948941947,2.5880184058770395,0.0,16562.102865803536,3690.9558409424753,276.03504776339224,61.51593068237459,5127.275694815162,1.283865213394165,ok,0.2+0.3C 10τ,10τ,X5beta-v2
DC0.20C+AC0.30C_f0.00041Hz_X5beta_v2,0.2,0.3,0.00041,1.4999999999999998,2.512422948941947,2.5880184058770395,0.0,16438.864605543182,3941.913245187752,273.98107675905305,65.69855408646254,5127.2889339775875,1.3085987567901611,ok,0.2+0.3C 34.8τ,34.8τ,X5beta-v2
DC0.20C+AC0.80C_f0.14300Hz_X5beta_v2,0.2,0.8,0.143,4.0,2.512422948941947,2.5880184058770395,0.0,14935.270514607048,4221.050807772701,248.9211752434508,70.35084679621168,5123.721513465351,61.757516860961914,ok,0.2+0.8C 0.1τ,0.1τ,X5beta-v2
DC0.20C+AC0.80C_f0.01430Hz_X5beta_v2,0.2,0.8,0.0143,4.0,2.512422948941947,2.5880184058770395,0.0,14670.23569809783,4321.422062259668,244.50392830163048,72.02370103766113,5124.805634230912,6.620995044708252,ok,0.2+0.8C 1τ,1τ,X5beta-v2
DC0.20C+AC0.80C_f0.00143Hz_X5beta_v2,0.2,0.8,0.00143,4.0,2.512422948941947,2.5880184058770395,,,,,,,0.8990719318389893,INFEASIBLE_MIN_V: V_min=1.500V,0.2+0.8C 10τ,10τ,X5beta-v2
DC0.30C+AC0.70C_f0.14300Hz_X5beta_v2,0.3,0.7,0.143,2.3333333333333335,2.512422948941947,2.611093374162644,0.0,9753.455222510365,4348.649047129971,162.5575870418394,72.47748411883285,5124.100335766481,34.36523771286011,ok,0.3+0.7C 0.1τ,0.1τ,X5beta-v2
DC0.30C+AC0.70C_f0.01430Hz_X5beta_v2,0.3,0.7,0.0143,2.3333333333333335,2.512422948941947,2.611093374162644,0.0,9632.95469790782,4416.211271630129,160.54924496513033,73.60352119383548,5123.49238588691,4.1417930126190186,ok,0.3+0.7C 1τ,1τ,X5beta-v2
