case_id,I_DC_Crate,A_Crate,f_Hz,kappa,wall_clock_s,V_init_phase2,CC_time_s,CV_time_s,total_time_s,CC_time_min,CV_time_min,total_time_min,Q_net_final_mAh,status,condition,tau_label,batch,CC_time_s_partial,V_min_phase2
DC0.10C+AC0.90C_f0.01430Hz_X6alpha,0.1,0.9,0.0143,9.0,12.860640048980713,2.896697263323825,35089.01675898317,3773.1247095135623,38862.14146849673,584.8169459830528,62.885411825226036,647.7023578082789,5796.713361492656,ok,0.1+0.9C 1τ,1τ,X6alpha-A,,
DC0.10C+AC0.20C_f0.01430Hz_X6alpha,0.1,0.2,0.0143,2.0,10.77939510345459,2.896697263323825,39911.99700889979,2383.639847211205,42295.63685611099,665.1999501483298,39.727330786853415,704.9272809351831,5779.077667102195,ok,0.1+0.2C 1τ,1τ,X6alpha-A,,
DC0.20C+AC0.30C_f0.01430Hz_X6alpha,0.2,0.3,0.0143,1.4999999999999998,6.9939329624176025,2.931015143008964,18793.959188209934,3245.57984465377,22039.539032863704,313.23265313683225,54.09299741089617,367.3256505477284,5795.413358085685,ok,0.2+0.3C 1τ,1τ,X6alpha-A,,
DC0.20C+AC0.30C_f0.00143Hz_X6alpha,0.2,0.3,0.00143,1.4999999999999998,1.3348190784454346,2.931015143008964,18668.23502945039,3438.3443962089477,22106.579425659336,311.1372504908398,57.3057399368158,368.4429904276556,5803.173869594747,ok,0.2+0.3C 10τ,10τ,X6alpha-A,,
DC0.20C+AC0.30C_f0.00041Hz_X6alpha,0.2,0.3,0.00041,1.4999999999999998,0.7919652462005615,2.931015143008964,18831.41156991495,3591.8490377504786,22423.26060766543,313.85685949858254,59.864150629174645,373.72101012775715,5806.812168730263,ok,0.2+0.3C 34.8τ,34.8τ,X6alpha-A,,
DC0.20C+AC0.80C_f0.14300Hz_X6alpha,0.2,0.8,0.143,4.0,70.01457405090332,2.9310151430089646,17480.736289941822,3807.796084224199,21288.53237416602,291.3456048323637,63.463268070403316,354.808872902767,5781.167263785305,ok,0.2+0.8C 0.1τ,0.1τ,X6alpha-A,,
DC0.20C+AC0.80C_f0.01430Hz_X6alpha,0.2,0.8,0.0143,4.0,7.700268030166626,2.931015143008964,17325.8293393437,3898.046696948026,21223.876036291727,288.763822322395,64.96744494913376,353.7312672715288,5801.358308346368,ok,0.2+0.8C 1τ,1τ,X6alpha-A,,
DC0.20C+AC0.80C_f0.00143Hz_X6alpha,0.2,0.8,0.00143,4.0,0.4518868923187256,,,,,,,,,INFEASIBLE_MIN_V: V_min=1.500V in Phase 2,0.2+0.8C 10τ,10τ,X6alpha-A,116.60833419322114,1.499999999999999
DC0.30C+AC0.70C_f0.14300Hz_X6alpha,0.3,0.7,0.143,2.3333333333333335,44.76591110229492,2.955746960132906,11431.775185058368,3965.345186549066,15397.120371607434,190.52958641763948,66.08908644248443,256.6186728601239,5767.583222702582,ok,0.3+0.7C 0.1τ,0.1τ,X6alpha-A,,
DC0.30C+AC0.70C_f0.01430Hz_X6alpha,0.3,0.7,0.0143,2.3333333333333335,4.793169021606445,2.9557469601329056,11381.479275822607,4038.098633220581,15419.577909043188,189.6913212637101,67.30164388700969,256.9929651507198,5795.791297057482,ok,0.3+0.7C 1τ,1τ,X6alpha-A,,
DC0.30C+AC0.70C_f0.00143Hz_X6alpha,0.3,0.7,0.00143,2.3333333333333335,0.46273303031921387,,,,,,,,,INFEASIBLE_MIN_V: V_min=1.500V in Phase 2,0.3+0.7C 10τ,10τ,X6alpha-A,170.50315831068033,1.499999999999371
DC0.30C+AC0.40C_f0.14300Hz_X6alpha,0.3,0.4,0.143,1.3333333333333335,40.656424045562744,2.955746960132906,11837.321026921549,3745.5535268616895,15582.874553783238,197.2886837820258,62.425892114361496,259.7145758963873,5771.20847090021,ok,0.3+0.4C 0.1τ,0.1τ,X6alpha-A,,
DC0.30C+AC0.40C_f0.01430Hz_X6alpha,0.3,0.4,0.0143,1.3333333333333335,5.1075050830841064,2.9557469601329056,11801.664355188135,3802.1541106049644,15603.8184657931,196.69440591980225,63.369235176749406,260.06364109655163,5791.431277414135,ok,0.3+0.4C 1τ,1τ,X6alpha-A,,
DC0.30C+AC0.40C_f0.00143Hz_X6alpha,0.3,0.4,0.00143,1.3333333333333335,1.1098113059997559,2.9557469601329056,11687.996638014818,3979.482210014359,15667.478848029177,194.79994396691364,66.32470350023932,261.12464746715295,5797.875596628378,ok,0.3+0.4C 10τ,10τ,X6alpha-A,,
DC0.40C+AC0.60C_f0.02860Hz_X6alpha,0.4,0.6,0.0286,1.4999999999999998,6.89838719367981,2.9754307048940127,8452.198997165951,4124.453853078916,12576.652850244867,140.8699832860992,68.74089755131527,209.61088083741444,5780.107032376889,ok,0.4+0.6C 0.5τ,0.5τ,X6alpha-A,,
DC0.40C+AC0.50C_f0.00860Hz_X6alpha,0.4,0.5,0.0086,1.25,2.4473631381988525,2.9754307048940127,8458.67568064402,4165.575363584594,12624.251044228615,140.97792801073368,69.42625605974324,210.4041840704769,5783.8375437869945,ok,0.4+0.5C 1.67τ,1.67τ,X6alpha-A,,
DC0.40C+AC0.60C_f0.00860Hz_X6alpha,0.4,0.6,0.0086,1.4999999999999998,2.505772829055786,2.9754307048940127,8343.321451119746,4222.282604443155,12565.6040555629,139.05535751866242,70.37137674071924,209.42673425938167,5786.838996134351,ok,0.4+0.6C 1.67τ,1.67τ,X6alpha-A,,
DC0.40C+AC0.60C_f0.00286Hz_X6alpha,0.4,0.6,0.00286,1.4999999999999998,1.2151439189910889,2.9754307048940127,8292.126890001608,4322.855770542652,12614.98266054426,138.20211483336013,72.04759617571086,210.24971100907098,5792.891676586437,ok,0.4+0.6C 5τ,5τ,X6alpha-A,,
DC0.40C+AC0.60C_f0.00143Hz_X6alpha,0.4,0.6,0.00143,1.4999999999999998,1.0054500102996826,2.9754307048940127,8207.396662909145,4426.375377455577,12633.772040364722,136.78994438181908,73.77292295759295,210.56286733941204,5793.357316397404,ok,0.4+0.6C 10τ,10τ,X6alpha-A,,
DC0.50C+AC0.50C_f0.01430Hz_X6alpha,0.5,0.5,0.0143,1.0,1.4172217845916748,2.992090163630866,6624.676379860241,4582.574193502577,11207.250573362817,110.41127299767068,76.37623655837629,186.78750955604696,5759.559277715281,ok,0.5+0.5C 1τ,1τ,X6alpha-A,,
DC0.90C+AC0.10C_f0.00086Hz_X6alpha,0.9,0.1,0.00086,0.11111111111111112,0.5902771949768066,3.043315602988001,3437.4942029135204,4937.262618594258,8374.756821507779,57.291570048558675,82.2877103099043,139.579280358463,5761.026243510073,ok,0.9+0.1C 16.7τ,16.7τ,X6alpha-A,,
