case_id,I_DC_Crate,A_Crate,f_Hz,kappa,wall_clock_s,V_init_phase2,CC_time_s,CV_time_s,total_time_s,CC_time_min,CV_time_min,total_time_min,Q_net_final_mAh,status,condition,tau_label,batch,CC_time_s_partial,V_min_phase2
DC0.10C+AC0.90C_f0.01430Hz_X6alphaNS,0.1,0.9,0.0143,9.0,5.833881855010986,2.8510231941906072,35159.19141268978,3838.396357070691,38997.587769760474,585.9865235448298,63.97327261784485,649.9597961626746,5813.076127278359,ok,0.1+0.9C 1τ,1τ,X6alpha-NS,,
DC0.10C+AC0.20C_f0.01430Hz_X6alphaNS,0.1,0.2,0.0143,2.0,1.9733879566192627,2.8510231941906072,40052.927557344985,2450.1369603428902,42503.064517687875,667.5487926224164,40.83561600571484,708.3844086281313,5817.863991206886,ok,0.1+0.2C 1τ,1τ,X6alpha-NS,,
DC0.20C+AC0.30C_f0.01430Hz_X6alphaNS,0.2,0.3,0.0143,1.4999999999999998,1.7998740673065186,2.8789075101100035,18863.371282881253,3286.1397264135812,22149.511009294834,314.3895213813542,54.768995440226355,369.1585168215806,5818.47241018123,ok,0.2+0.3C 1τ,1τ,X6alpha-NS,,
DC0.20C+AC0.30C_f0.00143Hz_X6alphaNS,0.2,0.3,0.00143,1.4999999999999998,0.6780381202697754,2.8789075101100035,18672.567684308917,3501.2936545285884,22173.861338837505,311.2094614051486,58.35489424214314,369.56435564729173,5821.659820654737,ok,0.2+0.3C 10τ,10τ,X6alpha-NS,,
DC0.20C+AC0.30C_f0.00041Hz_X6alphaNS,0.2,0.3,0.00041,1.4999999999999998,0.7200367450714111,2.8789075101100035,18839.93533684239,3648.9275338177795,22488.86287066017,313.9989222807065,60.815458896962994,374.81438117766953,5821.849980572191,ok,0.2+0.3C 34.8τ,34.8τ,X6alpha-NS,,
DC0.20C+AC0.80C_f0.14300Hz_X6alphaNS,0.2,0.8,0.143,4.0,26.354977130889893,2.878907510110004,17557.677078819244,3867.389127374874,21425.06620619412,292.6279513136541,64.4564854562479,357.08443676990197,5810.86953546837,ok,0.2+0.8C 0.1τ,0.1τ,X6alpha-NS,,
DC0.20C+AC0.80C_f0.01430Hz_X6alphaNS,0.2,0.8,0.0143,4.0,3.4397597312927246,2.8789075101100035,17326.43038856378,3959.1930822128415,21285.62347077662,288.7738398093963,65.98655137021403,354.76039117961034,5812.544514585334,ok,0.2+0.8C 1τ,1τ,X6alpha-NS,,
DC0.20C+AC0.80C_f0.00143Hz_X6alphaNS,0.2,0.8,0.00143,4.0,0.6674709320068359,,,,,,,,,INFEASIBLE_MIN_V: V_min=1.500V,0.2+0.8C 10τ,10τ,X6alpha-NS,115.76725961899318,1.4999999999999982
DC0.30C+AC0.70C_f0.14300Hz_X6alphaNS,0.3,0.7,0.143,2.3333333333333335,14.5652596950531,2.901353735030768,11501.662582070456,4010.3460344845207,15512.008616554976,191.69437636784093,66.839100574742,258.5334769425829,5804.840269752157,ok,0.3+0.7C 0.1τ,0.1τ,X6alpha-NS,,
DC0.30C+AC0.70C_f0.01430Hz_X6alphaNS,0.3,0.7,0.0143,2.3333333333333335,1.872568130493164,2.901353735030768,11382.342688816167,4092.456772796824,15474.79946161299,189.70571148026946,68.20761287994706,257.9133243602165,5815.248223947289,ok,0.3+0.7C 1τ,1τ,X6alpha-NS,,
