case_id,I_DC_Crate,A_Crate,f_Hz,kappa,wall_clock_s,V_rest_end,V_init_phase2,CC_time_s,CV_time_s,total_time_s,CC_time_min,CV_time_min,total_time_min,Q_net_final_mAh,status,condition,tau_label,batch,CC_time_s_partial
DC0.10C+AC0.90C_f0.01430Hz_X6beta,0.1,0.9,0.0143,9.0,17.161659002304077,2.59902064812527,2.470219028269662,33798.01204609232,4325.3031852435815,38123.3152313359,563.3002007682054,72.08838642072637,635.3885871889318,5725.283021431355,ok,0.1+0.9C 1τ,1τ,X6beta,
DC0.10C+AC0.20C_f0.01430Hz_X6beta,0.1,0.2,0.0143,2.0,15.957191944122314,2.59902064812527,2.6648683035710605,39179.70723618526,2814.2968600493405,41994.0040962346,652.9951206030877,46.904947667489004,699.9000682705768,5716.872695027596,ok,0.1+0.2C 1τ,1τ,X6beta,
DC0.20C+AC0.30C_f0.01430Hz_X6beta,0.2,0.3,0.0143,1.4999999999999998,8.920917987823486,2.59902064812527,2.7135096322810743,18482.90595625084,3659.3552037939407,22142.26116004478,308.0484326041807,60.98925339656568,369.03768600074636,5720.8805508515425,ok,0.2+0.3C 1τ,1τ,X6beta,
DC0.20C+AC0.30C_f0.00143Hz_X6beta,0.2,0.3,0.00143,1.4999999999999998,1.807887077331543,2.59902064812527,2.7705572085942216,18043.526154510513,3995.720946640413,22039.247101150926,300.72543590850853,66.59534911067355,367.3207850191821,5723.178567194978,ok,0.2+0.3C 10τ,10τ,X6beta,
DC0.20C+AC0.30C_f0.00041Hz_X6beta,0.2,0.3,0.00041,1.4999999999999998,1.232909917831421,2.59902064812527,2.8053426671632478,19238.22249066461,3469.5303218724184,22707.75281253703,320.63704151107686,57.825505364540305,378.4625468756172,5726.703585134667,ok,0.2+0.3C 34.8τ,34.8τ,X6beta,
DC0.20C+AC0.80C_f0.14300Hz_X6beta,0.2,0.8,0.143,4.0,91.336101770401,2.59902064812527,2.7995333610643867,16952.377444350066,4344.539955655633,21296.9174000057,282.5396240725011,72.40899926092722,354.9486233334283,5718.718430352065,ok,0.2+0.8C 0.1τ,0.1τ,X6beta,
DC0.20C+AC0.80C_f0.01430Hz_X6beta,0.2,0.8,0.0143,4.0,9.488362073898315,2.59902064812527,2.5594458315147226,16665.302333096053,4443.051386832511,21108.353719928564,277.7550388849342,74.05085644720852,351.8058953321427,5724.476232928034,ok,0.2+0.8C 1τ,1τ,X6beta,
DC0.20C+AC0.80C_f0.00143Hz_X6beta,0.2,0.8,0.00143,4.0,2.5102128982543945,,2.8017556795346543,,,,,,,,INFEASIBLE_MIN_V: V_min=1.500V,0.2+0.8C 10τ,10τ,X6beta,131.09321075997286
DC0.30C+AC0.70C_f0.14300Hz_X6beta,0.3,0.7,0.143,2.3333333333333335,53.175861120224,2.59902064812527,2.8101398580544794,11099.250672467493,4457.583519151376,15556.83419161887,184.98751120779156,74.29305865252293,259.2805698603145,5708.454665751257,ok,0.3+0.7C 0.1τ,0.1τ,X6beta,
DC0.30C+AC0.70C_f0.01430Hz_X6beta,0.3,0.7,0.0143,2.3333333333333335,7.155993223190308,2.59902064812527,2.707970394307684,10931.310540970579,4545.387706927675,15476.698247898254,182.1885090161763,75.75646178212791,257.9449707983042,5715.465099481879,ok,0.3+0.7C 1τ,1τ,X6beta,
DC0.30C+AC0.70C_f0.00143Hz_X6beta,0.3,0.7,0.00143,2.3333333333333335,0.9710400104522705,,2.8119132820371813,,,,,,,,INFEASIBLE_MIN_V: V_min=1.500V,0.3+0.7C 10τ,10τ,X6beta,183.8401546641271
DC0.30C+AC0.40C_f0.14300Hz_X6beta,0.3,0.4,0.143,1.3333333333333335,52.16314911842346,2.59902064812527,2.79496049116108,11532.81985733259,4199.530439008497,15732.350296341087,192.2136642888765,69.99217398347494,262.20583827235146,5709.233815010074,ok,0.3+0.4C 0.1τ,0.1τ,X6beta,
