case_id,I_DC_Crate,A_Crate,f_Hz,kappa,wall_clock_s,V_rest_end,V_init_phase2,actual_phase2_start_s,sin_at_phase2_start,CC_time_s,CV_time_s,CC_time_min,CV_time_min,Q_net_final_mAh,status,condition,tau_label,batch
DC0.10C+AC0.90C_f0.01430Hz_X6beta_p0,0.1,0.9,0.0143,9.0,19.79784893989563,2.59902064812527,2.789768953555203,9052.808326379909,-0.3307987611635937,33791.43021291532,4328.271076081852,563.1905035485887,72.13785126803086,5727.331821055274,ok,0.1+0.9C 1τ,1τ,X6beta-phase0
DC0.10C+AC0.20C_f0.01430Hz_X6beta_p0,0.1,0.2,0.0143,2.0,16.27800679206848,2.59902064812527,2.7336746965683916,9052.808326379909,-0.3307987611635937,39173.05039855957,2816.9930739883857,652.8841733093262,46.949884566473095,5716.925306584212,ok,0.1+0.2C 1τ,1τ,X6beta-phase0
DC0.20C+AC0.30C_f0.01430Hz_X6beta_p0,0.2,0.3,0.0143,1.4999999999999998,10.175252914428711,2.59902064812527,2.7702333973147626,9052.808326379909,-0.3307987611635937,18543.953508006416,3632.3969610285567,309.06589180010695,60.53994935047594,5723.98939980279,ok,0.2+0.3C 1τ,1τ,X6beta-phase0
DC0.20C+AC0.30C_f0.00143Hz_X6beta_p0,0.2,0.3,0.00143,1.4999999999999998,1.7834560871124268,2.59902064812527,2.541433454322045,9052.808326379909,0.7887438154303961,17761.8513004373,4003.364252136442,296.0308550072884,66.72273753560737,5721.255133552058,ok,0.2+0.3C 10τ,10τ,X6beta-phase0
DC0.20C+AC0.30C_f0.00041Hz_X6beta_p0,0.2,0.3,0.00041,1.4999999999999998,1.4911677837371826,2.59902064812527,2.613740040444118,9052.808326379909,0.6441702351529782,17796.64134957559,3951.4202076591537,296.61068915959316,65.8570034609859,5724.972412912423,ok,0.2+0.3C 34.8τ,34.8τ,X6beta-phase0
DC0.20C+AC0.80C_f0.14300Hz_X6beta_p0,0.2,0.8,0.143,4.0,97.76150107383728,2.59902064812527,2.7869652063439716,9052.808326379909,-0.22788597329615648,16952.466658443085,4345.219971752944,282.54111097405143,72.42033286254906,5718.5463392384145,ok,0.2+0.8C 0.1τ,0.1τ,X6beta-phase0
DC0.20C+AC0.80C_f0.01430Hz_X6beta_p0,0.2,0.8,0.0143,4.0,12.140437841415405,2.59902064812527,2.8011279949394283,9052.808326379909,-0.3307987611635937,16658.45161194101,4443.950436291103,277.64086019901686,74.06584060485172,5721.350786666827,ok,0.2+0.8C 1τ,1τ,X6beta-phase0
DC0.20C+AC0.80C_f0.00143Hz_X6beta_p0,0.2,0.8,0.00143,4.0,0.9259622097015381,,2.4024622058891247,,,,,,,,INFEASIBLE_MIN_V: V_min=1.500V,0.2+0.8C 10τ,10τ,X6beta-phase0
DC0.30C+AC0.70C_f0.14300Hz_X6beta_p0,0.3,0.7,0.143,2.3333333333333335,57.71460700035095,2.59902064812527,2.800300820850961,9052.808326379909,-0.22788597329615648,11099.350254273439,4458.73228818288,184.9891709045573,74.312204803048,5708.588499724838,ok,0.3+0.7C 0.1τ,0.1τ,X6beta-phase0
DC0.30C+AC0.70C_f0.01430Hz_X6beta_p0,0.3,0.7,0.0143,2.3333333333333335,9.432683944702148,2.59902064812527,2.8114114727765136,9052.808326379909,-0.3307987611635937,10925.263045260439,4545.210852273012,182.0877174210073,75.7535142045502,5715.634898681869,ok,0.3+0.7C 1τ,1τ,X6beta-phase0
DC0.30C+AC0.70C_f0.00143Hz_X6beta_p0,0.3,0.7,0.00143,2.3333333333333335,0.9148170948028564,,2.4389164746087517,,,,,,,,INFEASIBLE_MIN_V: V_min=1.500V,0.3+0.7C 10τ,10τ,X6beta-phase0
DC0.30C+AC0.40C_f0.14300Hz_X6beta_p0,0.3,0.4,0.143,1.3333333333333335,51.20441198348999,2.59902064812527,2.788584223797196,9052.808326379909,-0.22788597329615648,11532.957096031776,4199.790345377096,192.2159516005296,69.99650575628493,5709.582828422144,ok,0.3+0.4C 0.1τ,0.1τ,X6beta-phase0
