condition,tau_label,dt_X6β_v2,dt_X6β_p0,dt_X6α,dt_exp,s_X6β_v2,s_X6β_p0,s_X6α,s_exp,X6β_v2_vs_exp,X6β_p0_vs_exp,X6α_vs_exp,X6β_v2_vs_p0
0.1+0.2C 1τ,1τ,-0.940657769198333,-0.26574147939845716,-1.3011015200352025,0.59,-,-,-,+,False,False,False,True
0.2+0.3C 1τ,1τ,-0.7293300129449563,-0.14278516171949984,-0.8229005549732695,0.17,-,-,-,+,False,False,False,True
0.2+0.8C 0.1τ,0.1τ,0.1448352943448602,0.22826192098400497,-0.537204191134333,1.26,+,+,-,+,True,True,False,True
0.3+0.7C 0.1τ,0.1τ,0.00046878779930921156,0.06761977705994772,-0.24182170567379824,0.02,0,+,-,0,True,False,False,False
0.3+0.4C 0.1τ,0.1τ,-0.11251150012864551,-0.05656412580916973,-0.24632098699415414,0.01,-,-,-,0,False,False,False,True
0.3+0.4C 1τ,1τ,-0.4660758188385444,0.10571614389976579,-0.48683084756297224,0.09,-,+,-,+,False,True,False,False
0.3+0.4C 10τ,10τ,-1.2860981137157372,2.8059390730914555,-1.2525359989736595,0.94,-,+,-,+,False,True,False,False
0.4+0.6C 0.5τ,0.5τ,-0.04198928193613938,-0.023403409743059454,-0.3842477520258399,1.31,0,0,-,+,False,False,False,True
0.4+0.5C 1.67τ,1.67τ,-0.0982574760123498,0.03934355518008488,-0.11558988779317285,1.46,-,0,-,+,False,False,False,False
0.4+0.6C 1.67τ,1.67τ,-0.07451396558629615,,-0.1017964574870651,1.51,-,,-,+,False,,False,
0.5+0.5C 1τ,1τ,-0.35415944104749236,0.14667570002569238,-0.33014695138467687,1.27,-,+,-,+,False,True,False,False
0.9+0.1C 16.7τ,16.7τ,-0.3048360991140953,-0.42368142306293827,-0.30516708470656795,0.61,-,-,-,+,False,False,False,True
0.9+0.1C 1.67τ,1.67τ,-0.06417672534994381,-0.0321681243629655,-0.0661347485744424,0.02,-,0,-,0,False,True,False,False
0.9+0.1C 10τ,10τ,-0.3635708258680628,0.2960961390682996,-0.3643837116693324,0.04,-,+,-,0,False,False,False,False
0.9+0.1C 1τ,1τ,-0.016760890660983328,0.014090159146621772,-0.017070667100513977,-0.05,0,0,0,0,True,True,True,True
