case_id,I_DC_Crate,A_Crate,f_Hz,kappa,wall_clock_s,status,V_rest_end,V_init_phase2,condition,tau_label,batch,sin_at_phase2_start,CC_time_s,CV_time_s,CC_time_min,CV_time_min,Q_net_final_mAh
DC0.10C+AC0.90C_f0.01430Hz_X6beta_v2,0.1,0.9,0.0143,9.0,1.3633489608764648,INFEASIBLE_MIN_V: V_min=1.500V,2.59902064812527,2.7051372425537337,0.1+0.9C 1τ,1τ,X6beta-v2,,,,,,
DC0.10C+AC0.20C_f0.01430Hz_X6beta_v2,0.1,0.2,0.0143,2.0,16.672880172729492,ok,2.59902064812527,2.7051372425537337,0.1+0.2C 1τ,1τ,X6beta-v2,0.0,39211.85215583911,2819.188372363009,653.5308692639851,46.98647287271682,5716.884533384306
DC0.20C+AC0.30C_f0.01430Hz_X6beta_v2,0.2,0.3,0.0143,1.4999999999999998,9.045820951461792,ok,2.59902064812527,2.744732333676083,0.2+0.3C 1τ,1τ,X6beta-v2,0.0,18515.333542055447,3662.983485576551,308.5888923675908,61.049724759609184,5722.285114486731
DC0.20C+AC0.30C_f0.00143Hz_X6beta_v2,0.2,0.3,0.00143,1.4999999999999998,1.026906967163086,INFEASIBLE_MIN_V: V_min=1.500V,2.59902064812527,2.744732333676083,0.2+0.3C 10τ,10τ,X6beta-v2,,,,,,
DC0.20C+AC0.30C_f0.00041Hz_X6beta_v2,0.2,0.3,0.00041,1.4999999999999998,1.564068078994751,INFEASIBLE_MIN_V: V_min=1.500V,2.59902064812527,2.744732333676083,0.2+0.3C 34.8τ,34.8τ,X6beta-v2,,,,,,
DC0.20C+AC0.80C_f0.14300Hz_X6beta_v2,0.2,0.8,0.143,4.0,98.41193008422852,ok,2.59902064812527,2.744732333676083,0.2+0.8C 0.1τ,0.1τ,X6beta-v2,0.0,16963.235445153532,4344.408393401514,282.72059075255885,72.4068065566919,5719.591454034894
DC0.20C+AC0.80C_f0.01430Hz_X6beta_v2,0.2,0.8,0.0143,4.0,4.0403430461883545,INFEASIBLE_MIN_V: V_min=1.500V,2.59902064812527,2.744732333676083,0.2+0.8C 1τ,1τ,X6beta-v2,,,,,,
DC0.20C+AC0.80C_f0.00143Hz_X6beta_v2,0.2,0.8,0.00143,4.0,1.0268847942352295,INFEASIBLE_MIN_V: V_min=1.500V,2.59902064812527,2.744732333676083,0.2+0.8C 10τ,10τ,X6beta-v2,,,,,,
DC0.30C+AC0.70C_f0.14300Hz_X6beta_v2,0.3,0.7,0.143,2.3333333333333335,54.36615610122681,ok,2.59902064812527,2.770401468170151,0.3+0.7C 0.1τ,0.1τ,X6beta-v2,0.0,11110.044650273374,4455.737628848565,185.16741083788958,74.26229381414275,5709.084427908547
DC0.30C+AC0.70C_f0.01430Hz_X6beta_v2,0.3,0.7,0.0143,2.3333333333333335,1.449202060699463,INFEASIBLE_MIN_V: V_min=1.500V,2.59902064812527,2.770401468170151,0.3+0.7C 1τ,1τ,X6beta-v2,,,,,,
DC0.30C+AC0.70C_f0.00143Hz_X6beta_v2,0.3,0.7,0.00143,2.3333333333333335,1.1061558723449707,INFEASIBLE_MIN_V: V_min=1.500V,2.59902064812527,2.770401468170151,0.3+0.7C 10τ,10τ,X6beta-v2,,,,,,
DC0.30C+AC0.40C_f0.14300Hz_X6beta_v2,0.3,0.4,0.143,1.3333333333333335,54.782747983932495,ok,2.59902064812527,2.770401468170151,0.3+0.4C 0.1τ,0.1τ,X6beta-v2,0.0,11543.575243131427,4196.656080666044,192.3929207188571,69.94426801110073,5709.466130205211
DC0.30C+AC0.40C_f0.01430Hz_X6beta_v2,0.3,0.4,0.0143,1.3333333333333335,6.652256965637207,ok,2.59902064812527,2.770401468170151,0.3+0.4C 1τ,1τ,X6beta-v2,0.0,11518.965598618617,4229.901350233908,191.98275997697695,70.4983558372318,5713.085491494592
DC0.30C+AC0.40C_f0.00143Hz_X6beta_v2,0.3,0.4,0.00143,1.3333333333333335,5.772186279296875,ok,2.59902064812527,2.770401468170151,0.3+0.4C 10τ,10τ,X6beta-v2,0.0,11645.465879820073,4332.177603179898,194.0910979970012,72.20296005299831,5717.394196575336
DC0.40C+AC0.60C_f0.02860Hz_X6beta_v2,0.4,0.6,0.0286,1.4999999999999998,9.550865173339844,ok,2.59902064812527,2.7901772577609774,0.4+0.6C 0.5τ,0.5τ,X6beta-v2,0.0,8172.745519773968,4560.588687905227,136.21242532956614,76.00981146508711,5704.626841486815
DC0.40C+AC0.50C_f0.00860Hz_X6beta_v2,0.4,0.5,0.0086,1.25,3.475194215774536,ok,2.59902064812527,2.7901772577609774,0.4+0.5C 1.67τ,1.67τ,X6beta-v2,0.0,8223.325994754756,4543.564183330556,137.0554332459126,75.72606972217594,5706.252766611391
DC0.40C+AC0.60C_f0.00860Hz_X6beta_v2,0.4,0.6,0.0086,1.4999999999999998,3.701932191848755,ok,2.59902064812527,2.7901772577609774,0.4+0.6C 1.67τ,1.67τ,X6beta-v2,0.0,8108.158904879275,4644.124880031957,135.13598174798793,77.40208133386595,5710.135286846007
DC0.40C+AC0.60C_f0.00286Hz_X6beta_v2,0.4,0.6,0.00286,1.4999999999999998,1.0002670288085938,INFEASIBLE_MIN_V: V_min=1.500V,2.59902064812527,2.7901772577609774,0.4+0.6C 5τ,5τ,X6beta-v2,,,,,,
DC0.40C+AC0.60C_f0.00143Hz_X6beta_v2,0.4,0.6,0.00143,1.4999999999999998,1.165632963180542,INFEASIBLE_MIN_V: V_min=1.500V,2.59902064812527,2.7901772577609774,0.4+0.6C 10τ,10τ,X6beta-v2,,,,,,
DC0.50C+AC0.50C_f0.01430Hz_X6beta_v2,0.5,0.5,0.0143,1.0,2.450636148452759,ok,2.59902064812527,2.8066776147631227,0.5+0.5C 1τ,1τ,X6beta-v2,0.0,6414.682293432514,4601.844407406027,106.91137155720857,76.69740679010046,5685.765096650953
DC0.90C+AC0.10C_f0.00086Hz_X6beta_v2,0.9,0.1,0.00086,0.11111111111111112,1.3078029155731201,ok,2.59902064812527,2.8567953985992807,0.9+0.1C 16.7τ,16.7τ,X6beta-v2,0.0,3297.0311407247227,5058.8727802073645,54.950519012078715,84.3145463367894,5689.321189038572
DC0.90C+AC0.10C_f0.00860Hz_X6beta_v2,0.9,0.1,0.0086,0.11111111111111112,1.3944439888000488,ok,2.59902064812527,2.8567953985992807,0.9+0.1C 1.67τ,1.67τ,X6beta-v2,0.0,3332.564500662341,5007.485164954549,55.54274167770568,83.45808608257582,5688.9885883137395
DC0.90C+AC0.10C_f0.00143Hz_X6beta_v2,0.9,0.1,0.00143,0.11111111111111112,1.1477100849151611,ok,2.59902064812527,2.8567953985992807,0.9+0.1C 10τ,10τ,X6beta-v2,0.0,3308.084243663435,5041.749472206826,55.13473739439058,84.02915787011376,5688.83523975116
DC0.90C+AC0.10C_f0.01430Hz_X6beta_v2,0.9,0.1,0.0143,0.11111111111111112,1.406522274017334,ok,2.59902064812527,2.8567953985992807,0.9+0.1C 1τ,1τ,X6beta-v2,0.0,3333.0178276397496,5005.049118020942,55.55029712732916,83.41748530034903,5688.6439009630685
DC0.10C_baseline_X6beta_v2,0.1,0.0,0.0,0.0,1.1332981586456299,ok,2.59902064812527,2.7051372425537337,0.1C_DC,baseline,X6beta-v2,0.0,40096.44377704944,1932.5300590430124,668.274062950824,32.20883431738354,5681.557779681848
DC0.20C_baseline_X6beta_v2,0.2,0.0,0.0,0.0,1.3074729442596436,ok,2.59902064812527,2.744732333676083,0.2C_DC,baseline,X6beta-v2,0.0,19568.820708502288,2677.667667400052,326.1470118083715,44.62779445666753,5685.201242266801
DC0.30C_baseline_X6beta_v2,0.3,0.0,0.0,0.0,1.1310229301452637,ok,2.59902064812527,2.770401468170151,0.3C_DC,baseline,X6beta-v2,0.0,12684.524325379452,3183.4400628419644,211.4087387563242,53.05733438069941,5686.511289860772
DC0.40C_baseline_X6beta_v2,0.4,0.0,0.0,0.0,1.305290937423706,ok,2.59902064812527,2.7901772577609774,0.4C_DC,baseline,X6beta-v2,0.0,9168.878605639971,3631.729943266422,152.81464342733287,60.528832387773704,5686.657224410359
DC0.50C_baseline_X6beta_v2,0.5,0.0,0.0,0.0,1.1679940223693848,ok,2.59902064812527,2.8066776147631227,0.5C_DC,baseline,X6beta-v2,0.0,6953.605795485844,4105.620569239619,115.89342992476408,68.42700948732698,5686.783154393216
DC0.90C_baseline_X6beta_v2,0.9,0.0,0.0,0.0,1.3056278228759766,ok,2.59902064812527,2.8567953985992807,0.9C_DC,baseline,X6beta-v2,0.0,3359.5056668328225,4983.782293961871,55.99176111388037,83.06303823269785,5689.647664544178
DC0.20C+AC0.80C_f0.00143Hz_X6beta_v2,0.2,0.8,0.00143,4.0,1.1202952861785889,INFEASIBLE_MIN_V: V_min=1.500V,2.59902064812527,2.744732333676083,0.2+0.8C 10τ,10τ,X6beta-v2,,,,,,
